,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,Annotation_0305
CELL.35,CELL.35,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,35,12,UnKnown
CELL.36,CELL.36,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,36,12,VLMC
CELL.37,CELL.37,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,37,12,VLMC
CELL.38,CELL.38,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,38,4,MCG
CELL.39,CELL.39,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,39,12,UnKnown
CELL.40,CELL.40,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,40,12,VLMC
CELL.42,CELL.42,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,42,11,CP
CELL.46,CELL.46,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,46,12,VLMC
CELL.47,CELL.47,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,47,4,VLMC
CELL.48,CELL.48,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,48,4,VLMC
CELL.50,CELL.50,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,50,4,VLMC
CELL.51,CELL.51,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,51,12,UnKnown
CELL.52,CELL.52,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,52,12,VLMC
CELL.57,CELL.57,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,57,4,VLMC
CELL.62,CELL.62,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,62,5,SFRPEGC
CELL.67,CELL.67,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,67,4,VLMC
CELL.68,CELL.68,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,68,12,VLMC
CELL.75,CELL.75,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,75,4,VLMC
CELL.87,CELL.87,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,87,12,VLMC
CELL.103,CELL.103,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,103,4,VLMC
CELL.105,CELL.105,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,105,4,MCG
CELL.112,CELL.112,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,112,2,CP
CELL.116,CELL.116,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,116,4,VLMC
CELL.117,CELL.117,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,117,2,MCG
CELL.122,CELL.122,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,122,4,VLMC
CELL.125,CELL.125,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,125,4,VLMC
CELL.126,CELL.126,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,126,4,VLMC
CELL.140,CELL.140,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,140,4,VLMC
CELL.143,CELL.143,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,143,4,VLMC
CELL.144,CELL.144,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,144,4,VLMC
CELL.146,CELL.146,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,146,4,VLMC
CELL.151,CELL.151,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,151,4,VLMC
CELL.153,CELL.153,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,153,4,VLMC
CELL.158,CELL.158,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,158,2,VLMC
CELL.162,CELL.162,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,162,4,VLMC
CELL.165,CELL.165,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,165,11,VLMC
CELL.167,CELL.167,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,167,4,MCG
CELL.170,CELL.170,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,170,4,VLMC
CELL.177,CELL.177,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,177,2,OLIGO
CELL.192,CELL.192,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,192,4,VLMC
CELL.193,CELL.193,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,193,11,VLMC
CELL.195,CELL.195,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,195,4,VLMC
CELL.196,CELL.196,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,196,4,VLMC
CELL.197,CELL.197,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,197,4,VLMC
CELL.201,CELL.201,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,201,4,VLMC
CELL.202,CELL.202,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,202,4,VLMC
CELL.203,CELL.203,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,203,4,VLMC
CELL.207,CELL.207,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,207,4,VLMC
CELL.208,CELL.208,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,208,4,VLMC
CELL.212,CELL.212,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,212,4,VLMC
CELL.213,CELL.213,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,213,4,VLMC
CELL.219,CELL.219,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,219,4,VLMC
CELL.251,CELL.251,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,251,4,VLMC
CELL.252,CELL.252,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,252,4,MCG
CELL.263,CELL.263,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,263,4,VLMC
CELL.268,CELL.268,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,268,11,VLMC
CELL.269,CELL.269,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,269,4,VLMC
CELL.270,CELL.270,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,270,4,VLMC
CELL.273,CELL.273,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,273,4,VLMC
CELL.274,CELL.274,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,274,4,VLMC
CELL.277,CELL.277,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,277,4,VLMC
CELL.278,CELL.278,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,278,4,VLMC
CELL.282,CELL.282,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,282,2,OLIGO
CELL.289,CELL.289,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,289,4,VLMC
CELL.292,CELL.292,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,292,4,VLMC
CELL.294,CELL.294,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,294,4,VLMC
CELL.295,CELL.295,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,295,4,VLMC
CELL.343,CELL.343,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,343,4,VLMC
CELL.345,CELL.345,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,345,4,VLMC
CELL.348,CELL.348,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,348,4,VLMC
CELL.351,CELL.351,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,351,4,VLMC
CELL.355,CELL.355,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,355,4,VLMC
CELL.368,CELL.368,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,368,4,VLMC
CELL.374,CELL.374,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,374,4,VLMC
CELL.382,CELL.382,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,382,4,VLMC
CELL.388,CELL.388,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,388,4,VLMC
CELL.392,CELL.392,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,392,4,VLMC
CELL.398,CELL.398,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,398,4,VLMC
CELL.399,CELL.399,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,399,4,MCG
CELL.409,CELL.409,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,409,2,OLIGO
CELL.411,CELL.411,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,411,4,VLMC
CELL.441,CELL.441,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,441,11,VLMC
CELL.449,CELL.449,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,449,4,VLMC
CELL.451,CELL.451,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,451,2,CP
CELL.452,CELL.452,9,Meta_telencephalon_rep1_DP8400015234BLB2_1,452,0,CMPN
CELL.455,CELL.455,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,455,4,VLMC
CELL.457,CELL.457,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,457,4,VLMC
CELL.460,CELL.460,9,Meta_telencephalon_rep1_DP8400015234BLB2_1,460,1,MSN
CELL.461,CELL.461,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,461,4,MCG
CELL.464,CELL.464,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,464,2,OLIGO
CELL.468,CELL.468,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,468,4,MCG
CELL.469,CELL.469,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,469,2,MCG
CELL.481,CELL.481,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,481,8,CCKIN
CELL.488,CELL.488,9,Meta_telencephalon_rep1_DP8400015234BLB2_1,488,8,CCKIN
CELL.524,CELL.524,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,524,4,VLMC
CELL.526,CELL.526,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,526,8,CCKIN
CELL.529,CELL.529,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,529,4,MCG
CELL.534,CELL.534,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,534,4,VLMC
CELL.536,CELL.536,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,536,12,VLMC
CELL.537,CELL.537,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,537,4,VLMC
CELL.544,CELL.544,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,544,4,VLMC
CELL.548,CELL.548,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,548,4,VLMC
CELL.549,CELL.549,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,549,12,VLMC
CELL.553,CELL.553,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,553,4,MCG
CELL.555,CELL.555,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,555,11,CP
CELL.565,CELL.565,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,565,4,VLMC
CELL.567,CELL.567,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,567,2,OLIGO
CELL.593,CELL.593,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,593,4,VLMC
CELL.594,CELL.594,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,594,4,VLMC
CELL.595,CELL.595,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,595,8,CCKIN
CELL.606,CELL.606,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,606,8,CCKIN
CELL.616,CELL.616,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,616,8,CCKIN
CELL.620,CELL.620,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,620,8,CCKIN
CELL.623,CELL.623,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,623,4,VLMC
CELL.626,CELL.626,9,Meta_telencephalon_rep1_DP8400015234BLB2_1,626,8,CCKIN
CELL.636,CELL.636,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,636,8,CCKIN
CELL.639,CELL.639,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,639,4,VLMC
CELL.656,CELL.656,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,656,12,VLMC
CELL.671,CELL.671,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,671,8,CCKIN
CELL.672,CELL.672,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,672,8,CCKIN
CELL.675,CELL.675,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,675,4,VLMC
CELL.692,CELL.692,9,Meta_telencephalon_rep1_DP8400015234BLB2_1,692,8,CCKIN
CELL.700,CELL.700,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,700,8,CCKIN
CELL.702,CELL.702,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,702,4,VLMC
CELL.711,CELL.711,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,711,8,CCKIN
CELL.716,CELL.716,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,716,8,CCKIN
CELL.717,CELL.717,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,717,4,VLMC
CELL.718,CELL.718,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,718,4,VLMC
CELL.726,CELL.726,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,726,2,CP
CELL.733,CELL.733,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,733,8,CCKIN
CELL.735,CELL.735,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,735,4,VLMC
CELL.739,CELL.739,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,739,4,VLMC
CELL.742,CELL.742,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,742,4,VLMC
CELL.743,CELL.743,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,743,2,CP
CELL.764,CELL.764,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,764,4,VLMC
CELL.771,CELL.771,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,771,8,CCKIN
CELL.779,CELL.779,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,779,4,VLMC
CELL.780,CELL.780,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,780,4,VLMC
CELL.791,CELL.791,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,791,8,CCKIN
CELL.798,CELL.798,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,798,8,CCKIN
CELL.800,CELL.800,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,800,8,MCG
CELL.805,CELL.805,7,Meta_telencephalon_rep1_DP8400015234BLB2_1,805,4,MCG
CELL.806,CELL.806,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,806,4,MCG
CELL.808,CELL.808,9,Meta_telencephalon_rep1_DP8400015234BLB2_1,808,0,CMPN
CELL.810,CELL.810,9,Meta_telencephalon_rep1_DP8400015234BLB2_1,810,2,OLIGO
CELL.813,CELL.813,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,813,8,CCKIN
CELL.814,CELL.814,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,814,8,CCKIN
CELL.815,CELL.815,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,815,8,CCKIN
CELL.822,CELL.822,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,822,4,VLMC
CELL.823,CELL.823,2,Meta_telencephalon_rep1_DP8400015234BLB2_1,823,0,CMPN
CELL.830,CELL.830,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,830,8,CCKIN
CELL.839,CELL.839,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,839,8,CCKIN
CELL.846,CELL.846,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,846,4,MCG
CELL.850,CELL.850,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,850,8,CCKIN
CELL.853,CELL.853,9,Meta_telencephalon_rep1_DP8400015234BLB2_1,853,0,CMPN
CELL.854,CELL.854,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,854,2,CP
CELL.855,CELL.855,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,855,11,VLMC
CELL.857,CELL.857,9,Meta_telencephalon_rep1_DP8400015234BLB2_1,857,8,CCKIN
CELL.858,CELL.858,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,858,2,CP
CELL.859,CELL.859,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,859,4,VLMC
CELL.866,CELL.866,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,866,8,CCKIN
CELL.869,CELL.869,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,869,4,VLMC
CELL.871,CELL.871,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,871,8,CCKIN
CELL.872,CELL.872,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,872,4,MCG
CELL.876,CELL.876,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,876,8,CCKIN
CELL.882,CELL.882,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,882,8,CCKIN
CELL.888,CELL.888,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,888,8,CCKIN
CELL.894,CELL.894,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,894,8,CCKIN
CELL.895,CELL.895,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,895,4,VLMC
CELL.898,CELL.898,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,898,8,CCKIN
CELL.899,CELL.899,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,899,8,CCKIN
CELL.901,CELL.901,2,Meta_telencephalon_rep1_DP8400015234BLB2_1,901,8,CCKIN
CELL.905,CELL.905,9,Meta_telencephalon_rep1_DP8400015234BLB2_1,905,1,MSN
CELL.913,CELL.913,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,913,8,CCKIN
CELL.915,CELL.915,2,Meta_telencephalon_rep1_DP8400015234BLB2_1,915,8,CCKIN
CELL.925,CELL.925,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,925,8,CCKIN
CELL.932,CELL.932,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,932,11,CP
CELL.937,CELL.937,2,Meta_telencephalon_rep1_DP8400015234BLB2_1,937,0,CMPN
CELL.942,CELL.942,2,Meta_telencephalon_rep1_DP8400015234BLB2_1,942,0,CMPN
CELL.948,CELL.948,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,948,4,MCG
CELL.954,CELL.954,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,954,1,MSN
CELL.955,CELL.955,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,955,1,MSN
CELL.956,CELL.956,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,956,8,CCKIN
CELL.957,CELL.957,7,Meta_telencephalon_rep1_DP8400015234BLB2_1,957,8,CCKIN
CELL.958,CELL.958,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,958,2,CP
CELL.959,CELL.959,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,959,8,CCKIN
CELL.960,CELL.960,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,960,8,CCKIN
CELL.964,CELL.964,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,964,11,VLMC
CELL.970,CELL.970,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,970,4,VLMC
CELL.973,CELL.973,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,973,4,MCG
CELL.974,CELL.974,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,974,8,CCKIN
CELL.987,CELL.987,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,987,8,CCKIN
CELL.998,CELL.998,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,998,11,CP
CELL.1000,CELL.1000,2,Meta_telencephalon_rep1_DP8400015234BLB2_1,1000,0,CMPN
CELL.1001,CELL.1001,2,Meta_telencephalon_rep1_DP8400015234BLB2_1,1001,0,CMPN
CELL.1002,CELL.1002,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,1002,8,CCKIN
CELL.1004,CELL.1004,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,1004,2,OLIGO
CELL.1008,CELL.1008,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,1008,4,VLMC
CELL.1010,CELL.1010,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,1010,11,VLMC
CELL.1013,CELL.1013,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,1013,11,VLMC
CELL.1014,CELL.1014,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,1014,4,MCG
CELL.1015,CELL.1015,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,1015,8,CCKIN
CELL.1016,CELL.1016,2,Meta_telencephalon_rep1_DP8400015234BLB2_1,1016,0,CMPN
CELL.1017,CELL.1017,2,Meta_telencephalon_rep1_DP8400015234BLB2_1,1017,0,CMPN
CELL.1024,CELL.1024,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,1024,8,CCKIN
CELL.1025,CELL.1025,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,1025,8,CCKIN
CELL.1026,CELL.1026,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,1026,8,CCKIN
CELL.1027,CELL.1027,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,1027,4,VLMC
CELL.1032,CELL.1032,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,1032,8,CCKIN
CELL.1033,CELL.1033,2,Meta_telencephalon_rep1_DP8400015234BLB2_1,1033,0,CMPN
CELL.1036,CELL.1036,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,1036,4,VLMC
CELL.1037,CELL.1037,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,1037,8,CCKIN
CELL.1038,CELL.1038,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,1038,8,CCKIN
CELL.1041,CELL.1041,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,1041,2,OLIGO
CELL.1042,CELL.1042,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,1042,8,CCKIN
CELL.1043,CELL.1043,2,Meta_telencephalon_rep1_DP8400015234BLB2_1,1043,0,CMPN
CELL.1044,CELL.1044,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,1044,12,VLMC
CELL.1047,CELL.1047,9,Meta_telencephalon_rep1_DP8400015234BLB2_1,1047,4,VLMC
CELL.1048,CELL.1048,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,1048,12,VLMC
CELL.1050,CELL.1050,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,1050,12,VLMC
CELL.1058,CELL.1058,7,Meta_telencephalon_rep1_DP8400015234BLB2_1,1058,0,CMPN
CELL.1062,CELL.1062,9,Meta_telencephalon_rep1_DP8400015234BLB2_1,1062,1,CCKIN
CELL.1065,CELL.1065,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,1065,8,CCKIN
CELL.1069,CELL.1069,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,1069,5,SFRPEGC
CELL.1080,CELL.1080,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,1080,4,VLMC
CELL.1081,CELL.1081,7,Meta_telencephalon_rep1_DP8400015234BLB2_1,1081,0,CMPN
CELL.1082,CELL.1082,7,Meta_telencephalon_rep1_DP8400015234BLB2_1,1082,0,CMPN
CELL.1084,CELL.1084,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,1084,1,MSN
CELL.1085,CELL.1085,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,1085,1,MSN
CELL.1088,CELL.1088,9,Meta_telencephalon_rep1_DP8400015234BLB2_1,1088,0,CMPN
CELL.1091,CELL.1091,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,1091,4,VLMC
CELL.1096,CELL.1096,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,1096,8,CCKIN
CELL.1098,CELL.1098,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,1098,8,MCG
CELL.1099,CELL.1099,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,1099,8,CCKIN
CELL.1100,CELL.1100,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,1100,8,CCKIN
CELL.1101,CELL.1101,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,1101,8,CCKIN
CELL.1103,CELL.1103,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,1103,4,VLMC
CELL.1104,CELL.1104,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,1104,2,CP
CELL.1106,CELL.1106,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,1106,8,CCKIN
CELL.1107,CELL.1107,7,Meta_telencephalon_rep1_DP8400015234BLB2_1,1107,0,CMPN
CELL.1108,CELL.1108,9,Meta_telencephalon_rep1_DP8400015234BLB2_1,1108,2,CP
CELL.1117,CELL.1117,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,1117,8,CCKIN
CELL.1118,CELL.1118,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,1118,12,VLMC
CELL.1123,CELL.1123,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,1123,2,CP
CELL.1135,CELL.1135,0,Meta_telencephalon_rep1_DP8400015234BLB2_1,1135,8,CCKIN
CELL.1137,CELL.1137,7,Meta_telencephalon_rep1_DP8400015234BLB2_1,1137,0,CMPN
CELL.1140,CELL.1140,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,1140,4,MCG
