,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,Annotation_0305
CELL.131,CELL.131,1,Stage44_telencephalon_rep2_FP200000239BL_E4,131,1,Immature MSN
CELL.134,CELL.134,4,Stage44_telencephalon_rep2_FP200000239BL_E4,134,3,Immature NPTXEX
CELL.135,CELL.135,1,Stage44_telencephalon_rep2_FP200000239BL_E4,135,1,Immature MSN
CELL.136,CELL.136,4,Stage44_telencephalon_rep2_FP200000239BL_E4,136,3,Immature NPTXEX
CELL.137,CELL.137,2,Stage44_telencephalon_rep2_FP200000239BL_E4,137,1,Immature MSN
CELL.140,CELL.140,1,Stage44_telencephalon_rep2_FP200000239BL_E4,140,1,Immature MSN
CELL.142,CELL.142,2,Stage44_telencephalon_rep2_FP200000239BL_E4,142,6,VLMC
CELL.144,CELL.144,4,Stage44_telencephalon_rep2_FP200000239BL_E4,144,3,Immature NPTXEX
CELL.145,CELL.145,4,Stage44_telencephalon_rep2_FP200000239BL_E4,145,3,Immature NPTXEX
CELL.146,CELL.146,4,Stage44_telencephalon_rep2_FP200000239BL_E4,146,3,DNBL1
CELL.147,CELL.147,1,Stage44_telencephalon_rep2_FP200000239BL_E4,147,1,Immature MSN
CELL.148,CELL.148,4,Stage44_telencephalon_rep2_FP200000239BL_E4,148,3,DNBL2
CELL.149,CELL.149,1,Stage44_telencephalon_rep2_FP200000239BL_E4,149,1,Immature MSN
CELL.150,CELL.150,1,Stage44_telencephalon_rep2_FP200000239BL_E4,150,1,Immature MSN
CELL.151,CELL.151,2,Stage44_telencephalon_rep2_FP200000239BL_E4,151,6,VLMC
CELL.152,CELL.152,2,Stage44_telencephalon_rep2_FP200000239BL_E4,152,1,Immature MSN
CELL.153,CELL.153,2,Stage44_telencephalon_rep2_FP200000239BL_E4,153,4,CP
CELL.154,CELL.154,4,Stage44_telencephalon_rep2_FP200000239BL_E4,154,3,Immature NPTXEX
CELL.155,CELL.155,4,Stage44_telencephalon_rep2_FP200000239BL_E4,155,3,Immature NPTXEX
CELL.156,CELL.156,1,Stage44_telencephalon_rep2_FP200000239BL_E4,156,1,Immature MSN
CELL.158,CELL.158,4,Stage44_telencephalon_rep2_FP200000239BL_E4,158,4,CP
CELL.159,CELL.159,4,Stage44_telencephalon_rep2_FP200000239BL_E4,159,3,DNBL2
CELL.161,CELL.161,4,Stage44_telencephalon_rep2_FP200000239BL_E4,161,3,Immature NPTXEX
CELL.163,CELL.163,1,Stage44_telencephalon_rep2_FP200000239BL_E4,163,1,Immature MSN
CELL.165,CELL.165,1,Stage44_telencephalon_rep2_FP200000239BL_E4,165,1,Immature MSN
CELL.166,CELL.166,4,Stage44_telencephalon_rep2_FP200000239BL_E4,166,3,Immature NPTXEX
CELL.167,CELL.167,1,Stage44_telencephalon_rep2_FP200000239BL_E4,167,1,Immature MSN
CELL.168,CELL.168,4,Stage44_telencephalon_rep2_FP200000239BL_E4,168,3,Immature NPTXEX
CELL.169,CELL.169,1,Stage44_telencephalon_rep2_FP200000239BL_E4,169,1,Immature MSN
CELL.170,CELL.170,2,Stage44_telencephalon_rep2_FP200000239BL_E4,170,6,VLMC
CELL.171,CELL.171,1,Stage44_telencephalon_rep2_FP200000239BL_E4,171,1,Immature MSN
CELL.172,CELL.172,2,Stage44_telencephalon_rep2_FP200000239BL_E4,172,5,Immature CMPN
CELL.173,CELL.173,1,Stage44_telencephalon_rep2_FP200000239BL_E4,173,3,Immature NPTXEX
CELL.174,CELL.174,1,Stage44_telencephalon_rep2_FP200000239BL_E4,174,1,Immature MSN
CELL.175,CELL.175,4,Stage44_telencephalon_rep2_FP200000239BL_E4,175,3,DNBL2
CELL.176,CELL.176,1,Stage44_telencephalon_rep2_FP200000239BL_E4,176,1,Immature MSN
CELL.177,CELL.177,4,Stage44_telencephalon_rep2_FP200000239BL_E4,177,3,DNBL2
CELL.179,CELL.179,1,Stage44_telencephalon_rep2_FP200000239BL_E4,179,1,Immature MSN
CELL.181,CELL.181,2,Stage44_telencephalon_rep2_FP200000239BL_E4,181,6,VLMC
CELL.182,CELL.182,4,Stage44_telencephalon_rep2_FP200000239BL_E4,182,0,DNBL1
CELL.185,CELL.185,4,Stage44_telencephalon_rep2_FP200000239BL_E4,185,3,DNBL2
CELL.186,CELL.186,1,Stage44_telencephalon_rep2_FP200000239BL_E4,186,1,Immature MSN
CELL.188,CELL.188,4,Stage44_telencephalon_rep2_FP200000239BL_E4,188,3,DNBL2
CELL.189,CELL.189,4,Stage44_telencephalon_rep2_FP200000239BL_E4,189,0,DNBL1
CELL.190,CELL.190,1,Stage44_telencephalon_rep2_FP200000239BL_E4,190,1,Immature MSN
CELL.191,CELL.191,1,Stage44_telencephalon_rep2_FP200000239BL_E4,191,1,Immature MSN
CELL.192,CELL.192,4,Stage44_telencephalon_rep2_FP200000239BL_E4,192,3,DNBL2
CELL.193,CELL.193,1,Stage44_telencephalon_rep2_FP200000239BL_E4,193,1,Immature MSN
CELL.194,CELL.194,1,Stage44_telencephalon_rep2_FP200000239BL_E4,194,3,DNBL2
CELL.195,CELL.195,4,Stage44_telencephalon_rep2_FP200000239BL_E4,195,3,DNBL2
CELL.196,CELL.196,4,Stage44_telencephalon_rep2_FP200000239BL_E4,196,3,DNBL1
CELL.197,CELL.197,1,Stage44_telencephalon_rep2_FP200000239BL_E4,197,1,Immature MSN
CELL.198,CELL.198,2,Stage44_telencephalon_rep2_FP200000239BL_E4,198,6,VLMC
CELL.200,CELL.200,1,Stage44_telencephalon_rep2_FP200000239BL_E4,200,1,Immature MSN
CELL.202,CELL.202,1,Stage44_telencephalon_rep2_FP200000239BL_E4,202,1,Immature MSN
CELL.203,CELL.203,2,Stage44_telencephalon_rep2_FP200000239BL_E4,203,6,VLMC
CELL.204,CELL.204,2,Stage44_telencephalon_rep2_FP200000239BL_E4,204,6,VLMC
CELL.205,CELL.205,3,Stage44_telencephalon_rep2_FP200000239BL_E4,205,0,DNBL1
CELL.206,CELL.206,1,Stage44_telencephalon_rep2_FP200000239BL_E4,206,1,Immature MSN
CELL.208,CELL.208,3,Stage44_telencephalon_rep2_FP200000239BL_E4,208,0,DNBL1
CELL.209,CELL.209,3,Stage44_telencephalon_rep2_FP200000239BL_E4,209,0,DNBL1
CELL.210,CELL.210,1,Stage44_telencephalon_rep2_FP200000239BL_E4,210,1,Immature MSN
CELL.212,CELL.212,3,Stage44_telencephalon_rep2_FP200000239BL_E4,212,2,DEGC
CELL.213,CELL.213,1,Stage44_telencephalon_rep2_FP200000239BL_E4,213,1,DNBL1
CELL.214,CELL.214,1,Stage44_telencephalon_rep2_FP200000239BL_E4,214,1,Immature MSN
CELL.216,CELL.216,1,Stage44_telencephalon_rep2_FP200000239BL_E4,216,1,Immature MSN
CELL.217,CELL.217,1,Stage44_telencephalon_rep2_FP200000239BL_E4,217,1,Immature MSN
CELL.218,CELL.218,4,Stage44_telencephalon_rep2_FP200000239BL_E4,218,3,DNBL2
CELL.219,CELL.219,0,Stage44_telencephalon_rep2_FP200000239BL_E4,219,0,DNBL1
CELL.221,CELL.221,1,Stage44_telencephalon_rep2_FP200000239BL_E4,221,1,Immature MSN
CELL.222,CELL.222,1,Stage44_telencephalon_rep2_FP200000239BL_E4,222,1,Immature MSN
CELL.223,CELL.223,0,Stage44_telencephalon_rep2_FP200000239BL_E4,223,2,DEGC
CELL.224,CELL.224,4,Stage44_telencephalon_rep2_FP200000239BL_E4,224,3,DNBL2
CELL.226,CELL.226,1,Stage44_telencephalon_rep2_FP200000239BL_E4,226,1,Immature MSN
CELL.227,CELL.227,1,Stage44_telencephalon_rep2_FP200000239BL_E4,227,1,Immature MSN
CELL.229,CELL.229,4,Stage44_telencephalon_rep2_FP200000239BL_E4,229,3,DNBL2
CELL.230,CELL.230,1,Stage44_telencephalon_rep2_FP200000239BL_E4,230,1,Immature MSN
CELL.231,CELL.231,0,Stage44_telencephalon_rep2_FP200000239BL_E4,231,0,DEGC
CELL.232,CELL.232,1,Stage44_telencephalon_rep2_FP200000239BL_E4,232,1,DNBL1
CELL.233,CELL.233,1,Stage44_telencephalon_rep2_FP200000239BL_E4,233,1,Immature MSN
CELL.236,CELL.236,1,Stage44_telencephalon_rep2_FP200000239BL_E4,236,3,DNBL1
CELL.237,CELL.237,1,Stage44_telencephalon_rep2_FP200000239BL_E4,237,1,Immature MSN
CELL.238,CELL.238,0,Stage44_telencephalon_rep2_FP200000239BL_E4,238,0,DEGC
CELL.239,CELL.239,3,Stage44_telencephalon_rep2_FP200000239BL_E4,239,0,DNBL1
CELL.240,CELL.240,3,Stage44_telencephalon_rep2_FP200000239BL_E4,240,0,DNBL1
CELL.241,CELL.241,2,Stage44_telencephalon_rep2_FP200000239BL_E4,241,6,VLMC
CELL.242,CELL.242,1,Stage44_telencephalon_rep2_FP200000239BL_E4,242,1,Immature MSN
CELL.244,CELL.244,3,Stage44_telencephalon_rep2_FP200000239BL_E4,244,0,DNBL1
CELL.245,CELL.245,1,Stage44_telencephalon_rep2_FP200000239BL_E4,245,1,DNBL1
CELL.246,CELL.246,1,Stage44_telencephalon_rep2_FP200000239BL_E4,246,1,Immature MSN
CELL.247,CELL.247,4,Stage44_telencephalon_rep2_FP200000239BL_E4,247,6,VLMC
CELL.248,CELL.248,0,Stage44_telencephalon_rep2_FP200000239BL_E4,248,0,DNBL1
CELL.249,CELL.249,0,Stage44_telencephalon_rep2_FP200000239BL_E4,249,0,DEGC
CELL.250,CELL.250,1,Stage44_telencephalon_rep2_FP200000239BL_E4,250,1,Immature MSN
CELL.251,CELL.251,0,Stage44_telencephalon_rep2_FP200000239BL_E4,251,2,DEGC
CELL.253,CELL.253,1,Stage44_telencephalon_rep2_FP200000239BL_E4,253,1,Immature MSN
CELL.255,CELL.255,3,Stage44_telencephalon_rep2_FP200000239BL_E4,255,3,DNBL1
CELL.256,CELL.256,1,Stage44_telencephalon_rep2_FP200000239BL_E4,256,1,Immature MSN
CELL.257,CELL.257,1,Stage44_telencephalon_rep2_FP200000239BL_E4,257,3,DNBL1
CELL.258,CELL.258,1,Stage44_telencephalon_rep2_FP200000239BL_E4,258,1,Immature MSN
CELL.259,CELL.259,0,Stage44_telencephalon_rep2_FP200000239BL_E4,259,2,DNBL1
CELL.260,CELL.260,1,Stage44_telencephalon_rep2_FP200000239BL_E4,260,1,Immature MSN
CELL.261,CELL.261,1,Stage44_telencephalon_rep2_FP200000239BL_E4,261,1,Immature MSN
CELL.262,CELL.262,0,Stage44_telencephalon_rep2_FP200000239BL_E4,262,2,DEGC
CELL.263,CELL.263,1,Stage44_telencephalon_rep2_FP200000239BL_E4,263,1,DNBL1
CELL.266,CELL.266,0,Stage44_telencephalon_rep2_FP200000239BL_E4,266,0,DEGC
CELL.267,CELL.267,3,Stage44_telencephalon_rep2_FP200000239BL_E4,267,0,DEGC
CELL.268,CELL.268,1,Stage44_telencephalon_rep2_FP200000239BL_E4,268,3,DNBL1
CELL.269,CELL.269,1,Stage44_telencephalon_rep2_FP200000239BL_E4,269,1,DNBL1
CELL.271,CELL.271,1,Stage44_telencephalon_rep2_FP200000239BL_E4,271,1,Immature MSN
CELL.272,CELL.272,1,Stage44_telencephalon_rep2_FP200000239BL_E4,272,1,Immature MSN
CELL.274,CELL.274,1,Stage44_telencephalon_rep2_FP200000239BL_E4,274,1,Immature MSN
CELL.275,CELL.275,0,Stage44_telencephalon_rep2_FP200000239BL_E4,275,0,DEGC
CELL.276,CELL.276,1,Stage44_telencephalon_rep2_FP200000239BL_E4,276,1,Immature MSN
CELL.277,CELL.277,1,Stage44_telencephalon_rep2_FP200000239BL_E4,277,1,Immature MSN
CELL.278,CELL.278,3,Stage44_telencephalon_rep2_FP200000239BL_E4,278,0,DNBL1
CELL.280,CELL.280,0,Stage44_telencephalon_rep2_FP200000239BL_E4,280,0,DEGC
CELL.281,CELL.281,1,Stage44_telencephalon_rep2_FP200000239BL_E4,281,3,DNBL1
CELL.282,CELL.282,4,Stage44_telencephalon_rep2_FP200000239BL_E4,282,3,DNBL2
CELL.283,CELL.283,1,Stage44_telencephalon_rep2_FP200000239BL_E4,283,1,Immature MSN
CELL.284,CELL.284,1,Stage44_telencephalon_rep2_FP200000239BL_E4,284,1,Immature MSN
CELL.286,CELL.286,0,Stage44_telencephalon_rep2_FP200000239BL_E4,286,2,DEGC
CELL.287,CELL.287,1,Stage44_telencephalon_rep2_FP200000239BL_E4,287,5,Immature CMPN
CELL.289,CELL.289,1,Stage44_telencephalon_rep2_FP200000239BL_E4,289,1,Immature MSN
CELL.290,CELL.290,1,Stage44_telencephalon_rep2_FP200000239BL_E4,290,1,Immature MSN
CELL.291,CELL.291,3,Stage44_telencephalon_rep2_FP200000239BL_E4,291,0,DNBL1
CELL.292,CELL.292,1,Stage44_telencephalon_rep2_FP200000239BL_E4,292,1,Immature MSN
CELL.293,CELL.293,1,Stage44_telencephalon_rep2_FP200000239BL_E4,293,1,Immature MSN
CELL.294,CELL.294,1,Stage44_telencephalon_rep2_FP200000239BL_E4,294,1,Immature MSN
CELL.295,CELL.295,0,Stage44_telencephalon_rep2_FP200000239BL_E4,295,0,DEGC
CELL.297,CELL.297,0,Stage44_telencephalon_rep2_FP200000239BL_E4,297,2,DEGC
CELL.298,CELL.298,0,Stage44_telencephalon_rep2_FP200000239BL_E4,298,0,DEGC
CELL.299,CELL.299,1,Stage44_telencephalon_rep2_FP200000239BL_E4,299,3,DNBL1
CELL.300,CELL.300,2,Stage44_telencephalon_rep2_FP200000239BL_E4,300,6,VLMC
CELL.302,CELL.302,0,Stage44_telencephalon_rep2_FP200000239BL_E4,302,2,DEGC
CELL.303,CELL.303,1,Stage44_telencephalon_rep2_FP200000239BL_E4,303,0,DNBL1
CELL.304,CELL.304,1,Stage44_telencephalon_rep2_FP200000239BL_E4,304,3,DNBL1
CELL.305,CELL.305,2,Stage44_telencephalon_rep2_FP200000239BL_E4,305,6,VLMC
CELL.307,CELL.307,0,Stage44_telencephalon_rep2_FP200000239BL_E4,307,2,DEGC
CELL.308,CELL.308,0,Stage44_telencephalon_rep2_FP200000239BL_E4,308,2,DEGC
CELL.309,CELL.309,1,Stage44_telencephalon_rep2_FP200000239BL_E4,309,1,Immature MSN
CELL.310,CELL.310,1,Stage44_telencephalon_rep2_FP200000239BL_E4,310,1,Immature MSN
CELL.312,CELL.312,3,Stage44_telencephalon_rep2_FP200000239BL_E4,312,2,DNBL1
CELL.313,CELL.313,0,Stage44_telencephalon_rep2_FP200000239BL_E4,313,0,DEGC
CELL.314,CELL.314,4,Stage44_telencephalon_rep2_FP200000239BL_E4,314,3,DNBL2
CELL.315,CELL.315,1,Stage44_telencephalon_rep2_FP200000239BL_E4,315,1,Immature MSN
CELL.316,CELL.316,1,Stage44_telencephalon_rep2_FP200000239BL_E4,316,3,DNBL1
CELL.317,CELL.317,1,Stage44_telencephalon_rep2_FP200000239BL_E4,317,3,DNBL1
CELL.318,CELL.318,1,Stage44_telencephalon_rep2_FP200000239BL_E4,318,1,Immature MSN
CELL.319,CELL.319,1,Stage44_telencephalon_rep2_FP200000239BL_E4,319,1,Immature MSN
CELL.320,CELL.320,1,Stage44_telencephalon_rep2_FP200000239BL_E4,320,1,Immature MSN
CELL.321,CELL.321,2,Stage44_telencephalon_rep2_FP200000239BL_E4,321,6,VLMC
CELL.322,CELL.322,3,Stage44_telencephalon_rep2_FP200000239BL_E4,322,2,DNBL1
CELL.323,CELL.323,1,Stage44_telencephalon_rep2_FP200000239BL_E4,323,1,Immature MSN
CELL.327,CELL.327,0,Stage44_telencephalon_rep2_FP200000239BL_E4,327,0,DEGC
CELL.328,CELL.328,1,Stage44_telencephalon_rep2_FP200000239BL_E4,328,3,DNBL1
CELL.329,CELL.329,2,Stage44_telencephalon_rep2_FP200000239BL_E4,329,6,VLMC
CELL.330,CELL.330,0,Stage44_telencephalon_rep2_FP200000239BL_E4,330,0,DNBL1
CELL.331,CELL.331,1,Stage44_telencephalon_rep2_FP200000239BL_E4,331,5,Immature CMPN
CELL.333,CELL.333,0,Stage44_telencephalon_rep2_FP200000239BL_E4,333,2,DEGC
CELL.334,CELL.334,1,Stage44_telencephalon_rep2_FP200000239BL_E4,334,1,Immature MSN
CELL.335,CELL.335,1,Stage44_telencephalon_rep2_FP200000239BL_E4,335,1,Immature MSN
CELL.336,CELL.336,3,Stage44_telencephalon_rep2_FP200000239BL_E4,336,0,DNBL1
CELL.337,CELL.337,2,Stage44_telencephalon_rep2_FP200000239BL_E4,337,2,DEGC
CELL.338,CELL.338,0,Stage44_telencephalon_rep2_FP200000239BL_E4,338,0,DEGC
CELL.339,CELL.339,0,Stage44_telencephalon_rep2_FP200000239BL_E4,339,2,DEGC
CELL.340,CELL.340,3,Stage44_telencephalon_rep2_FP200000239BL_E4,340,3,DNBL1
CELL.341,CELL.341,0,Stage44_telencephalon_rep2_FP200000239BL_E4,341,3,DNBL2
CELL.342,CELL.342,3,Stage44_telencephalon_rep2_FP200000239BL_E4,342,3,DNBL1
CELL.343,CELL.343,1,Stage44_telencephalon_rep2_FP200000239BL_E4,343,1,Immature MSN
CELL.344,CELL.344,3,Stage44_telencephalon_rep2_FP200000239BL_E4,344,4,CP
CELL.345,CELL.345,0,Stage44_telencephalon_rep2_FP200000239BL_E4,345,0,DEGC
CELL.346,CELL.346,3,Stage44_telencephalon_rep2_FP200000239BL_E4,346,0,DNBL1
CELL.347,CELL.347,1,Stage44_telencephalon_rep2_FP200000239BL_E4,347,1,Immature MSN
CELL.348,CELL.348,3,Stage44_telencephalon_rep2_FP200000239BL_E4,348,1,Immature MSN
CELL.349,CELL.349,1,Stage44_telencephalon_rep2_FP200000239BL_E4,349,1,Immature MSN
CELL.350,CELL.350,1,Stage44_telencephalon_rep2_FP200000239BL_E4,350,5,Immature CMPN
CELL.351,CELL.351,2,Stage44_telencephalon_rep2_FP200000239BL_E4,351,6,VLMC
CELL.352,CELL.352,0,Stage44_telencephalon_rep2_FP200000239BL_E4,352,2,DEGC
CELL.353,CELL.353,0,Stage44_telencephalon_rep2_FP200000239BL_E4,353,0,DEGC
CELL.354,CELL.354,1,Stage44_telencephalon_rep2_FP200000239BL_E4,354,1,Immature MSN
CELL.357,CELL.357,1,Stage44_telencephalon_rep2_FP200000239BL_E4,357,1,Immature MSN
CELL.358,CELL.358,0,Stage44_telencephalon_rep2_FP200000239BL_E4,358,0,DEGC
CELL.359,CELL.359,0,Stage44_telencephalon_rep2_FP200000239BL_E4,359,0,DEGC
CELL.360,CELL.360,3,Stage44_telencephalon_rep2_FP200000239BL_E4,360,0,DNBL1
CELL.361,CELL.361,1,Stage44_telencephalon_rep2_FP200000239BL_E4,361,5,Immature CMPN
CELL.363,CELL.363,0,Stage44_telencephalon_rep2_FP200000239BL_E4,363,3,DNBL2
CELL.364,CELL.364,3,Stage44_telencephalon_rep2_FP200000239BL_E4,364,0,DNBL1
CELL.365,CELL.365,0,Stage44_telencephalon_rep2_FP200000239BL_E4,365,3,DNBL2
CELL.366,CELL.366,1,Stage44_telencephalon_rep2_FP200000239BL_E4,366,1,DNBL1
CELL.367,CELL.367,1,Stage44_telencephalon_rep2_FP200000239BL_E4,367,1,Immature MSN
CELL.368,CELL.368,2,Stage44_telencephalon_rep2_FP200000239BL_E4,368,6,VLMC
CELL.369,CELL.369,1,Stage44_telencephalon_rep2_FP200000239BL_E4,369,1,Immature MSN
CELL.370,CELL.370,4,Stage44_telencephalon_rep2_FP200000239BL_E4,370,2,DNBL2
CELL.371,CELL.371,3,Stage44_telencephalon_rep2_FP200000239BL_E4,371,4,CP
CELL.372,CELL.372,1,Stage44_telencephalon_rep2_FP200000239BL_E4,372,1,Immature MSN
