CellID,Batch,Annotation,cell_id,Annotation_0305
CELL.68,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,68,VLMC
CELL.69,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,69,VLMC
CELL.71,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,71,VLMC
CELL.72,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,72,VLMC
CELL.74,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,74,VLMC
CELL.75,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,75,VLMC
CELL.76,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,76,VLMC
CELL.77,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,77,VLMC
CELL.78,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,78,VLMC
CELL.79,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,79,VLMC
CELL.81,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,81,VLMC
CELL.82,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,82,VLMC
CELL.84,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,84,VLMC
CELL.85,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,85,VLMC
CELL.86,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,86,VLMC
CELL.88,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,88,VLMC
CELL.89,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,89,VLMC
CELL.91,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,91,VLMC
CELL.92,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,92,VLMC
CELL.93,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,93,VLMC
CELL.94,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,94,VLMC
CELL.95,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,95,VLMC
CELL.96,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,96,VLMC
CELL.97,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,97,VLMC
CELL.98,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,98,VLMC
CELL.99,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,99,VLMC
CELL.100,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,100,VLMC
CELL.101,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,101,VLMC
CELL.102,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,102,VLMC
CELL.103,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,103,VLMC
CELL.104,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,104,VLMC
CELL.106,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,106,VLMC
CELL.107,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,107,VLMC
CELL.108,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,108,VLMC
CELL.109,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,109,VLMC
CELL.110,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,110,VLMC
CELL.111,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,111,VLMC
CELL.112,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,112,VLMC
CELL.113,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,113,VLMC
CELL.114,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,114,VLMC
CELL.115,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,115,VLMC
CELL.116,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,116,VLMC
CELL.117,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,117,VLMC
CELL.118,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,118,VLMC
CELL.119,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,119,VLMC
CELL.121,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,121,VLMC
CELL.123,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,123,VLMC
CELL.124,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,124,VLMC
CELL.125,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,125,VLMC
CELL.126,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,126,VLMC
CELL.127,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,127,VLMC
CELL.128,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,128,VLMC
CELL.129,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,129,VLMC
CELL.130,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,130,VLMC
CELL.131,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,131,VLMC
CELL.132,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,132,VLMC
CELL.133,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,133,VLMC
CELL.134,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,134,VLMC
CELL.135,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,135,VLMC
CELL.136,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,136,VLMC
CELL.137,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,137,VLMC
CELL.138,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,138,VLMC
CELL.139,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,139,VLMC
CELL.140,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,140,VLMC
CELL.141,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,141,VLMC
CELL.142,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,142,VLMC
CELL.143,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,143,VLMC
CELL.145,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,145,VLMC
CELL.146,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,146,VLMC
CELL.147,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,147,VLMC
CELL.148,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,148,VLMC
CELL.149,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,149,VLMC
CELL.150,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,150,VLMC
CELL.151,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,151,VLMC
CELL.152,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,152,VLMC
CELL.153,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,153,VLMC
CELL.154,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,154,VLMC
CELL.155,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,155,VLMC
CELL.157,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,157,VLMC
CELL.158,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,158,VLMC
CELL.159,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,159,VLMC
CELL.160,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,160,VLMC
CELL.161,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,161,VLMC
CELL.162,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,162,VLMC
CELL.163,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,163,VLMC
CELL.164,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,164,VLMC
CELL.165,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,165,VLMC
CELL.166,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,166,VLMC
CELL.167,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,167,VLMC
CELL.170,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,170,VLMC
CELL.171,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,171,VLMC
CELL.172,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,172,VLMC
CELL.173,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,173,VLMC
CELL.175,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,175,VLMC
CELL.176,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,176,VLMC
CELL.178,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,178,VLMC
CELL.179,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,179,VLMC
CELL.181,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,181,VLMC
CELL.182,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,182,VLMC
CELL.183,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,183,VLMC
CELL.184,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,184,VLMC
CELL.186,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,186,VLMC
CELL.188,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,188,VLMC
CELL.191,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,191,VLMC
CELL.192,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,192,VLMC
CELL.193,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,193,VLMC
CELL.194,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,194,VLMC
CELL.195,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,195,VLMC
CELL.197,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,197,VLMC
CELL.200,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,200,VLMC
CELL.201,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,201,VLMC
CELL.202,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,202,VLMC
CELL.203,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,203,VLMC
CELL.204,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,204,VLMC
CELL.206,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,206,VLMC
CELL.208,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,208,VLMC
CELL.210,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,210,VLMC
CELL.213,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,213,VLMC
CELL.214,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,214,VLMC
CELL.220,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,220,VLMC
CELL.221,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,221,VLMC
CELL.223,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,223,VLMC
CELL.224,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,224,VLMC
CELL.225,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,225,VLMC
CELL.226,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,226,VLMC
CELL.227,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,227,VLMC
CELL.228,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,228,VLMC
CELL.231,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,231,VLMC
CELL.234,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,234,VLMC
CELL.235,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,235,VLMC
CELL.236,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,236,VLMC
CELL.237,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,237,NTNG1EX
CELL.238,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,238,VLMC
CELL.241,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,241,VLMC
CELL.243,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,243,VLMC
CELL.247,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,247,VLMC
CELL.249,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,249,VLMC
CELL.251,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,251,VLMC
CELL.252,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,252,VLMC
CELL.253,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,253,VLMC
CELL.254,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,254,VLMC
CELL.256,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,256,VLMC
CELL.257,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,257,VLMC
CELL.260,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,260,VLMC
CELL.262,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,262,VLMC
CELL.264,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,264,VLMC
CELL.265,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,265,VLMC
CELL.268,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,268,VLMC
CELL.269,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,269,VLMC
CELL.270,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,270,VLMC
CELL.272,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,272,VLMC
CELL.275,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,275,VLMC
CELL.280,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,280,VLMC
CELL.281,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,281,VLMC
CELL.282,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,282,VLMC
CELL.283,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,283,VLMC
CELL.286,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,286,VLMC
CELL.290,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,290,VLMC
CELL.291,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,291,VLMC
CELL.292,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,292,VLMC
CELL.294,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,294,VLMC
CELL.295,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,295,VLMC
CELL.296,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,296,VLMC
CELL.297,Adult_telencephalon_rep2_DP8400015234BLA3_1,CP,297,CP
CELL.299,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,299,VLMC
CELL.300,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,300,VLMC
CELL.301,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,301,VLMC
CELL.303,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,303,VLMC
CELL.304,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,304,VLMC
CELL.305,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,305,VLMC
CELL.308,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,308,VLMC
CELL.311,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,311,VLMC
CELL.313,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,313,VLMC
CELL.315,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,315,VLMC
CELL.317,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,317,NTNG1EX
CELL.319,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,319,NTNG1EX
CELL.321,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,321,VLMC
CELL.322,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,322,VLMC
CELL.328,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,328,VLMC
CELL.329,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,329,NTNG1EX
CELL.330,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,330,VLMC
CELL.332,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,332,VLMC
CELL.339,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,339,VLMC
CELL.340,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,340,VLMC
CELL.342,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,342,VLMC
CELL.343,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,343,CMPN
CELL.346,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,346,VLMC
CELL.347,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,347,VLMC
CELL.348,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,348,VLMC
CELL.349,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,349,VLMC
CELL.351,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,351,VLMC
CELL.352,Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,352,SCGNIN
CELL.353,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,353,VLMC
CELL.356,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,356,VLMC
CELL.358,Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,358,SCGNIN
CELL.359,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,359,VLMC
CELL.360,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,360,VLMC
CELL.361,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,361,VLMC
CELL.363,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,363,VLMC
CELL.364,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,364,NTNG1EX
CELL.366,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,366,NTNG1EX
CELL.368,Adult_telencephalon_rep2_DP8400015234BLA3_1,SSTIN,368,SSTIN
CELL.369,Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBRGC,369,RIBEGC
CELL.371,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,371,VLMC
CELL.372,Adult_telencephalon_rep2_DP8400015234BLA3_1,CP,372,CP
CELL.375,Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,375,SCGNIN
CELL.378,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,378,CMPN
CELL.379,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,379,NTNG1EX
CELL.380,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,380,VLMC
CELL.382,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,382,VLMC
CELL.383,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,383,CMPN
CELL.385,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,385,VLMC
CELL.386,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,386,VLMC
CELL.387,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,387,VLMC
CELL.388,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,388,VLMC
CELL.389,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,389,NTNG1EX
CELL.391,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,391,VLMC
CELL.394,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,394,NTNG1EX
CELL.396,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,396,CMPN
CELL.397,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,397,VLMC
CELL.400,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,400,NTNG1EX
CELL.401,Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,401,SCGNIN
CELL.403,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,403,VLMC
CELL.405,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,405,NTNG1EX
CELL.407,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,407,NTNG1EX
CELL.408,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,408,VLMC
CELL.409,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,409,CMPN
CELL.410,Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,410,SCGNIN
CELL.413,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,413,NTNG1EX
CELL.414,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,414,NTNG1EX
CELL.415,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,415,NTNG1EX
CELL.416,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,416,NTNG1EX
CELL.418,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,418,CMPN
CELL.419,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,419,NTNG1EX
CELL.423,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,423,CMPN
CELL.424,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,424,VLMC
CELL.425,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,425,CMPN
CELL.430,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,430,VLMC
CELL.431,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,431,NTNG1EX
CELL.432,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,432,CMPN
CELL.433,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,433,VLMC
CELL.434,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,434,CMPN
CELL.435,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,435,CMPN
CELL.436,Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,436,NTNG1EX
CELL.437,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,437,VLMC
CELL.439,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,439,VLMC
CELL.440,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,440,CMPN
CELL.441,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,441,CMPN
CELL.442,Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,442,CMPN
