,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,Celltype,inj_uninj,D_V,Annotation_Final,Annotation_0306
CELL.201,CELL.201,4,Injury_15DPI_rep4_FP200000266TR_E4,201,4,CP,uninj,V,VLMC,VLMC
CELL.202,CELL.202,8,Injury_15DPI_rep4_FP200000266TR_E4,202,15,VLMC,uninj,V,VLMC,VLMC
CELL.203,CELL.203,4,Injury_15DPI_rep4_FP200000266TR_E4,203,15,VLMC,uninj,V,VLMC,VLMC
CELL.204,CELL.204,3,Injury_15DPI_rep4_FP200000266TR_E4,204,2,MSN,inj,V,MSN,MSN
CELL.205,CELL.205,3,Injury_15DPI_rep4_FP200000266TR_E4,205,10,BKC,inj,V,CCKIN,CCKIN
CELL.206,CELL.206,3,Injury_15DPI_rep4_FP200000266TR_E4,206,10,BKC,inj,V,CCKIN,CCKIN
CELL.207,CELL.207,1,Injury_15DPI_rep4_FP200000266TR_E4,207,0,CMPN,inj,V,CMPN,CMPN
CELL.208,CELL.208,3,Injury_15DPI_rep4_FP200000266TR_E4,208,10,BKC,inj,V,CCKIN,CCKIN
CELL.209,CELL.209,5,Injury_15DPI_rep4_FP200000266TR_E4,209,2,StriatumIN,inj,V,MSN,MSN
CELL.210,CELL.210,8,Injury_15DPI_rep4_FP200000266TR_E4,210,2,StriatumIN,inj,V,MSN,MSN
CELL.211,CELL.211,1,Injury_15DPI_rep4_FP200000266TR_E4,211,8,RIPC2,inj,V,RIPC3,RIPC2
CELL.212,CELL.212,4,Injury_15DPI_rep4_FP200000266TR_E4,212,15,VLMC,uninj,V,VLMC,VLMC
CELL.213,CELL.213,3,Injury_15DPI_rep4_FP200000266TR_E4,213,2,SSTIN,inj,V,SSTIN,SSTIN
CELL.214,CELL.214,8,Injury_15DPI_rep4_FP200000266TR_E4,214,6,CP,inj,V,VLMC,VLMC
CELL.215,CELL.215,4,Injury_15DPI_rep4_FP200000266TR_E4,215,15,VLMC,uninj,V,VLMC,VLMC
CELL.216,CELL.216,3,Injury_15DPI_rep4_FP200000266TR_E4,216,2,StriatumIN,inj,V,MSN,MSN
CELL.217,CELL.217,8,Injury_15DPI_rep4_FP200000266TR_E4,217,0,CMPN,inj,V,CMPN,CMPN
CELL.218,CELL.218,8,Injury_15DPI_rep4_FP200000266TR_E4,218,15,VLMC,uninj,V,VLMC,VLMC
CELL.219,CELL.219,4,Injury_15DPI_rep4_FP200000266TR_E4,219,15,VLMC,uninj,V,VLMC,VLMC
CELL.220,CELL.220,3,Injury_15DPI_rep4_FP200000266TR_E4,220,10,BKC,inj,V,MSN,MSN
CELL.221,CELL.221,4,Injury_15DPI_rep4_FP200000266TR_E4,221,15,VLMC,uninj,V,VLMC,VLMC
CELL.222,CELL.222,3,Injury_15DPI_rep4_FP200000266TR_E4,222,10,BKC,inj,V,CCKIN,CCKIN
CELL.223,CELL.223,1,Injury_15DPI_rep4_FP200000266TR_E4,223,0,CMPN,inj,V,CMPN,CMPN
CELL.224,CELL.224,4,Injury_15DPI_rep4_FP200000266TR_E4,224,15,VLMC,inj,V,VLMC,VLMC
CELL.225,CELL.225,4,Injury_15DPI_rep4_FP200000266TR_E4,225,15,VLMC,uninj,V,VLMC,VLMC
CELL.226,CELL.226,3,Injury_15DPI_rep4_FP200000266TR_E4,226,10,BKC,inj,V,CCKIN,CCKIN
CELL.228,CELL.228,4,Injury_15DPI_rep4_FP200000266TR_E4,228,15,VLMC,uninj,V,VLMC,VLMC
CELL.229,CELL.229,4,Injury_15DPI_rep4_FP200000266TR_E4,229,15,VLMC,uninj,V,VLMC,VLMC
CELL.230,CELL.230,4,Injury_15DPI_rep4_FP200000266TR_E4,230,15,VLMC,uninj,V,VLMC,VLMC
CELL.231,CELL.231,5,Injury_15DPI_rep4_FP200000266TR_E4,231,0,CMPN,inj,V,CMPN,CMPN
CELL.233,CELL.233,4,Injury_15DPI_rep4_FP200000266TR_E4,233,6,CP,uninj,V,VLMC,VLMC
CELL.234,CELL.234,4,Injury_15DPI_rep4_FP200000266TR_E4,234,15,VLMC,uninj,V,VLMC,VLMC
CELL.235,CELL.235,4,Injury_15DPI_rep4_FP200000266TR_E4,235,15,VLMC,uninj,V,VLMC,VLMC
CELL.236,CELL.236,3,Injury_15DPI_rep4_FP200000266TR_E4,236,10,BKC,inj,V,CCKIN,CCKIN
CELL.237,CELL.237,4,Injury_15DPI_rep4_FP200000266TR_E4,237,15,VLMC,uninj,V,VLMC,VLMC
CELL.238,CELL.238,4,Injury_15DPI_rep4_FP200000266TR_E4,238,15,VLMC,uninj,V,VLMC,VLMC
CELL.239,CELL.239,3,Injury_15DPI_rep4_FP200000266TR_E4,239,10,BKC,inj,V,CCKIN,CCKIN
CELL.240,CELL.240,1,Injury_15DPI_rep4_FP200000266TR_E4,240,0,CMPN,inj,V,CMPN,CMPN
CELL.241,CELL.241,4,Injury_15DPI_rep4_FP200000266TR_E4,241,15,VLMC,uninj,V,VLMC,VLMC
CELL.242,CELL.242,4,Injury_15DPI_rep4_FP200000266TR_E4,242,15,VLMC,uninj,V,VLMC,VLMC
CELL.243,CELL.243,4,Injury_15DPI_rep4_FP200000266TR_E4,243,15,VLMC,uninj,V,VLMC,VLMC
CELL.247,CELL.247,4,Injury_15DPI_rep4_FP200000266TR_E4,247,15,VLMC,uninj,V,VLMC,VLMC
CELL.249,CELL.249,1,Injury_15DPI_rep4_FP200000266TR_E4,249,0,CMPN,inj,V,CMPN,CMPN
CELL.250,CELL.250,5,Injury_15DPI_rep4_FP200000266TR_E4,250,0,CMPN,inj,V,CMPN,CMPN
CELL.251,CELL.251,4,Injury_15DPI_rep4_FP200000266TR_E4,251,15,VLMC,uninj,V,VLMC,VLMC
CELL.252,CELL.252,3,Injury_15DPI_rep4_FP200000266TR_E4,252,10,BKC,inj,V,CCKIN,CCKIN
CELL.253,CELL.253,3,Injury_15DPI_rep4_FP200000266TR_E4,253,10,BKC,inj,V,MSN,MSN
CELL.255,CELL.255,4,Injury_15DPI_rep4_FP200000266TR_E4,255,15,VLMC,uninj,V,VLMC,VLMC
CELL.256,CELL.256,3,Injury_15DPI_rep4_FP200000266TR_E4,256,0,CMPN,inj,V,CMPN,CMPN
CELL.257,CELL.257,4,Injury_15DPI_rep4_FP200000266TR_E4,257,15,VLMC,uninj,V,VLMC,VLMC
CELL.258,CELL.258,3,Injury_15DPI_rep4_FP200000266TR_E4,258,2,StriatumIN,inj,V,MSN,MSN
CELL.259,CELL.259,1,Injury_15DPI_rep4_FP200000266TR_E4,259,0,CMPN,inj,V,CMPN,CMPN
CELL.260,CELL.260,1,Injury_15DPI_rep4_FP200000266TR_E4,260,0,CMPN,inj,V,CMPN,CMPN
CELL.261,CELL.261,3,Injury_15DPI_rep4_FP200000266TR_E4,261,10,BKC,inj,V,CCKIN,CCKIN
CELL.262,CELL.262,3,Injury_15DPI_rep4_FP200000266TR_E4,262,2,SSTIN,inj,V,SSTIN,SSTIN
CELL.263,CELL.263,3,Injury_15DPI_rep4_FP200000266TR_E4,263,10,BKC,inj,V,CCKIN,CCKIN
CELL.264,CELL.264,3,Injury_15DPI_rep4_FP200000266TR_E4,264,10,BKC,inj,V,CCKIN,CCKIN
CELL.265,CELL.265,3,Injury_15DPI_rep4_FP200000266TR_E4,265,10,BKC,inj,V,CCKIN,CCKIN
CELL.266,CELL.266,1,Injury_15DPI_rep4_FP200000266TR_E4,266,0,CMPN,inj,V,CMPN,CMPN
CELL.267,CELL.267,4,Injury_15DPI_rep4_FP200000266TR_E4,267,15,VLMC,inj,V,VLMC,VLMC
CELL.268,CELL.268,1,Injury_15DPI_rep4_FP200000266TR_E4,268,0,CMPN,inj,V,CMPN,CMPN
CELL.270,CELL.270,1,Injury_15DPI_rep4_FP200000266TR_E4,270,0,CMPN,inj,V,CMPN,CMPN
CELL.271,CELL.271,1,Injury_15DPI_rep4_FP200000266TR_E4,271,6,CP,inj,V,VLMC,VLMC
CELL.273,CELL.273,4,Injury_15DPI_rep4_FP200000266TR_E4,273,15,VLMC,uninj,V,VLMC,VLMC
CELL.274,CELL.274,4,Injury_15DPI_rep4_FP200000266TR_E4,274,15,VLMC,uninj,V,VLMC,VLMC
CELL.275,CELL.275,3,Injury_15DPI_rep4_FP200000266TR_E4,275,10,BKC,inj,V,CCKIN,CCKIN
CELL.276,CELL.276,1,Injury_15DPI_rep4_FP200000266TR_E4,276,0,CMPN,inj,V,CMPN,CMPN
CELL.277,CELL.277,4,Injury_15DPI_rep4_FP200000266TR_E4,277,15,VLMC,uninj,V,VLMC,VLMC
