,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,x_center,y_center,inj_uninj,D_V,Annotation_Final,Annotation_0306
CELL.127,CELL.127,3,Injury_20DPI_rep1_SS200000147BL_B4,127,3,446.0,9582.0,uninj,V,SSTIN,SSTIN
CELL.128,CELL.128,3,Injury_20DPI_rep1_SS200000147BL_B4,128,14,446.0,9256.0,uninj,V,SSTIN,SSTIN
CELL.129,CELL.129,3,Injury_20DPI_rep1_SS200000147BL_B4,129,14,450.0,9222.0,uninj,V,SSTIN,SSTIN
CELL.130,CELL.130,3,Injury_20DPI_rep1_SS200000147BL_B4,130,3,463.0,9339.0,uninj,V,SSTIN,SSTIN
CELL.131,CELL.131,3,Injury_20DPI_rep1_SS200000147BL_B4,131,3,458.0,9186.0,uninj,V,SSTIN,SSTIN
CELL.132,CELL.132,5,Injury_20DPI_rep1_SS200000147BL_B4,132,12,453.0,6072.0,inj,V,VLMC,VLMC
CELL.133,CELL.133,3,Injury_20DPI_rep1_SS200000147BL_B4,133,14,463.0,9473.0,uninj,V,SSTIN,SSTIN
CELL.135,CELL.135,3,Injury_20DPI_rep1_SS200000147BL_B4,135,3,468.0,9784.0,uninj,V,SSTIN,SSTIN
CELL.136,CELL.136,6,Injury_20DPI_rep1_SS200000147BL_B4,136,3,471.0,9058.0,uninj,V,SSTIN,SSTIN
CELL.137,CELL.137,3,Injury_20DPI_rep1_SS200000147BL_B4,137,3,472.0,9377.0,uninj,V,CMPN,CMPN
CELL.138,CELL.138,4,Injury_20DPI_rep1_SS200000147BL_B4,138,7,466.0,9626.0,uninj,V,VLMC,VLMC
CELL.139,CELL.139,3,Injury_20DPI_rep1_SS200000147BL_B4,139,14,473.0,9136.0,uninj,V,SSTIN,SSTIN
CELL.140,CELL.140,3,Injury_20DPI_rep1_SS200000147BL_B4,140,14,464.0,9279.0,uninj,V,SSTIN,SSTIN
CELL.141,CELL.141,5,Injury_20DPI_rep1_SS200000147BL_B4,141,7,468.0,9669.0,uninj,V,VLMC,VLMC
CELL.142,CELL.142,5,Injury_20DPI_rep1_SS200000147BL_B4,142,7,470.0,10220.0,uninj,V,VLMC,VLMC
CELL.143,CELL.143,5,Injury_20DPI_rep1_SS200000147BL_B4,143,7,478.0,5975.0,inj,V,VLMC,VLMC
CELL.144,CELL.144,3,Injury_20DPI_rep1_SS200000147BL_B4,144,3,479.0,9511.0,uninj,V,SSTIN,SSTIN
CELL.145,CELL.145,3,Injury_20DPI_rep1_SS200000147BL_B4,145,4,468.0,9568.0,uninj,V,Immature Neuron-Wound,RIPC4
CELL.146,CELL.146,3,Injury_20DPI_rep1_SS200000147BL_B4,146,3,485.0,9754.0,uninj,V,SSTIN,SSTIN
CELL.148,CELL.148,6,Injury_20DPI_rep1_SS200000147BL_B4,148,3,475.0,9082.0,uninj,V,SSTIN,SSTIN
CELL.149,CELL.149,3,Injury_20DPI_rep1_SS200000147BL_B4,149,14,478.0,9246.0,uninj,V,SSTIN,SSTIN
CELL.150,CELL.150,3,Injury_20DPI_rep1_SS200000147BL_B4,150,3,478.0,9545.0,uninj,V,CMPN,CMPN
CELL.151,CELL.151,3,Injury_20DPI_rep1_SS200000147BL_B4,151,14,479.0,9213.0,uninj,V,SSTIN,SSTIN
CELL.152,CELL.152,3,Injury_20DPI_rep1_SS200000147BL_B4,152,3,488.0,9178.0,uninj,V,SSTIN,SSTIN
CELL.153,CELL.153,3,Injury_20DPI_rep1_SS200000147BL_B4,153,3,484.0,9438.0,uninj,V,SSTIN,SSTIN
CELL.154,CELL.154,5,Injury_20DPI_rep1_SS200000147BL_B4,154,7,489.0,7097.0,inj,V,VLMC,VLMC
CELL.155,CELL.155,5,Injury_20DPI_rep1_SS200000147BL_B4,155,7,483.0,6020.0,inj,V,VLMC,VLMC
CELL.156,CELL.156,3,Injury_20DPI_rep1_SS200000147BL_B4,156,3,490.0,9412.0,uninj,V,SSTIN,SSTIN
CELL.157,CELL.157,3,Injury_20DPI_rep1_SS200000147BL_B4,157,3,496.0,9093.0,uninj,V,SSTIN,SSTIN
CELL.158,CELL.158,5,Injury_20DPI_rep1_SS200000147BL_B4,158,7,491.0,10082.0,uninj,V,VLMC,VLMC
CELL.159,CELL.159,3,Injury_20DPI_rep1_SS200000147BL_B4,159,3,489.0,9126.0,uninj,V,SSTIN,SSTIN
CELL.160,CELL.160,3,Injury_20DPI_rep1_SS200000147BL_B4,160,3,488.0,9474.0,uninj,V,SSTIN,SSTIN
CELL.161,CELL.161,3,Injury_20DPI_rep1_SS200000147BL_B4,161,3,495.0,9353.0,uninj,V,SSTIN,SSTIN
CELL.162,CELL.162,3,Injury_20DPI_rep1_SS200000147BL_B4,162,5,490.0,9828.0,uninj,V,NPTXEX,NPTXEX
CELL.164,CELL.164,5,Injury_20DPI_rep1_SS200000147BL_B4,164,7,496.0,7151.0,inj,V,VLMC,VLMC
CELL.165,CELL.165,3,Injury_20DPI_rep1_SS200000147BL_B4,165,3,488.0,9309.0,uninj,V,SSTIN,SSTIN
CELL.167,CELL.167,5,Injury_20DPI_rep1_SS200000147BL_B4,167,7,494.0,5928.0,inj,V,VLMC,VLMC
CELL.168,CELL.168,5,Injury_20DPI_rep1_SS200000147BL_B4,168,7,497.0,10278.0,uninj,V,VLMC,VLMC
CELL.169,CELL.169,5,Injury_20DPI_rep1_SS200000147BL_B4,169,7,503.0,7199.0,inj,V,VLMC,VLMC
CELL.170,CELL.170,6,Injury_20DPI_rep1_SS200000147BL_B4,170,11,497.0,8230.0,uninj,V,VLMC,VLMC
CELL.171,CELL.171,3,Injury_20DPI_rep1_SS200000147BL_B4,171,3,504.0,9269.0,uninj,V,SSTIN,SSTIN
CELL.173,CELL.173,3,Injury_20DPI_rep1_SS200000147BL_B4,173,3,499.0,9573.0,uninj,V,CMPN,CMPN
CELL.174,CELL.174,6,Injury_20DPI_rep1_SS200000147BL_B4,174,14,505.0,8990.0,uninj,V,SSTIN,SSTIN
CELL.175,CELL.175,3,Injury_20DPI_rep1_SS200000147BL_B4,175,3,506.0,9441.0,uninj,V,SSTIN,SSTIN
CELL.177,CELL.177,3,Injury_20DPI_rep1_SS200000147BL_B4,177,14,506.0,9154.0,uninj,V,SSTIN,SSTIN
CELL.178,CELL.178,5,Injury_20DPI_rep1_SS200000147BL_B4,178,7,505.0,5974.0,inj,V,VLMC,VLMC
CELL.179,CELL.179,3,Injury_20DPI_rep1_SS200000147BL_B4,179,3,509.0,9217.0,uninj,V,SSTIN,SSTIN
CELL.180,CELL.180,3,Injury_20DPI_rep1_SS200000147BL_B4,180,3,508.0,9396.0,uninj,V,CMPN,CMPN
CELL.181,CELL.181,5,Injury_20DPI_rep1_SS200000147BL_B4,181,7,513.0,5888.0,inj,V,VLMC,VLMC
CELL.182,CELL.182,3,Injury_20DPI_rep1_SS200000147BL_B4,182,14,510.0,9040.0,uninj,V,SSTIN,SSTIN
CELL.183,CELL.183,3,Injury_20DPI_rep1_SS200000147BL_B4,183,11,518.0,9638.0,uninj,V,VLMC,VLMC
CELL.184,CELL.184,5,Injury_20DPI_rep1_SS200000147BL_B4,184,7,520.0,10310.0,uninj,V,VLMC,VLMC
CELL.185,CELL.185,5,Injury_20DPI_rep1_SS200000147BL_B4,185,7,512.0,5951.0,inj,V,VLMC,VLMC
CELL.186,CELL.186,3,Injury_20DPI_rep1_SS200000147BL_B4,186,3,517.0,9377.0,uninj,V,CMPN,CMPN
CELL.187,CELL.187,5,Injury_20DPI_rep1_SS200000147BL_B4,187,7,518.0,10065.0,uninj,V,VLMC,VLMC
CELL.188,CELL.188,5,Injury_20DPI_rep1_SS200000147BL_B4,188,7,521.0,7222.0,inj,V,VLMC,VLMC
CELL.189,CELL.189,3,Injury_20DPI_rep1_SS200000147BL_B4,189,3,523.0,9522.0,uninj,V,SSTIN,SSTIN
CELL.190,CELL.190,3,Injury_20DPI_rep1_SS200000147BL_B4,190,3,528.0,9767.0,uninj,V,SSTIN,SSTIN
CELL.191,CELL.191,3,Injury_20DPI_rep1_SS200000147BL_B4,191,14,523.0,9317.0,uninj,V,SSTIN,SSTIN
CELL.192,CELL.192,5,Injury_20DPI_rep1_SS200000147BL_B4,192,7,532.0,7160.0,inj,V,VLMC,VLMC
CELL.193,CELL.193,3,Injury_20DPI_rep1_SS200000147BL_B4,193,3,523.0,9342.0,uninj,V,SSTIN,SSTIN
CELL.194,CELL.194,3,Injury_20DPI_rep1_SS200000147BL_B4,194,3,531.0,9470.0,uninj,V,SSTIN,SSTIN
CELL.195,CELL.195,5,Injury_20DPI_rep1_SS200000147BL_B4,195,7,531.0,7131.0,inj,V,VLMC,VLMC
CELL.196,CELL.196,5,Injury_20DPI_rep1_SS200000147BL_B4,196,7,533.0,5837.0,inj,V,VLMC,VLMC
CELL.197,CELL.197,3,Injury_20DPI_rep1_SS200000147BL_B4,197,3,531.0,9107.0,uninj,V,SSTIN,SSTIN
CELL.198,CELL.198,3,Injury_20DPI_rep1_SS200000147BL_B4,198,14,533.0,9135.0,uninj,V,SSTIN,SSTIN
CELL.199,CELL.199,5,Injury_20DPI_rep1_SS200000147BL_B4,199,7,530.0,7202.0,inj,V,VLMC,VLMC
CELL.200,CELL.200,5,Injury_20DPI_rep1_SS200000147BL_B4,200,12,527.0,8164.0,uninj,V,VLMC,VLMC
CELL.201,CELL.201,5,Injury_20DPI_rep1_SS200000147BL_B4,201,7,532.0,7249.0,inj,V,VLMC,VLMC
CELL.202,CELL.202,3,Injury_20DPI_rep1_SS200000147BL_B4,202,3,535.0,9209.0,uninj,V,SSTIN,SSTIN
CELL.203,CELL.203,5,Injury_20DPI_rep1_SS200000147BL_B4,203,7,529.0,5890.0,inj,V,VLMC,VLMC
CELL.204,CELL.204,3,Injury_20DPI_rep1_SS200000147BL_B4,204,3,529.0,9410.0,uninj,V,SSTIN,SSTIN
CELL.205,CELL.205,3,Injury_20DPI_rep1_SS200000147BL_B4,205,2,538.0,9588.0,uninj,V,MPIN,MPIN
CELL.206,CELL.206,3,Injury_20DPI_rep1_SS200000147BL_B4,206,3,538.0,9366.0,uninj,V,SSTIN,SSTIN
CELL.207,CELL.207,3,Injury_20DPI_rep1_SS200000147BL_B4,207,3,550.0,9537.0,uninj,V,CMPN,CMPN
CELL.208,CELL.208,5,Injury_20DPI_rep1_SS200000147BL_B4,208,7,542.0,10291.0,uninj,V,VLMC,VLMC
CELL.209,CELL.209,6,Injury_20DPI_rep1_SS200000147BL_B4,209,5,547.0,8919.0,uninj,V,NPTXEX,NPTXEX
CELL.211,CELL.211,3,Injury_20DPI_rep1_SS200000147BL_B4,211,14,551.0,9499.0,uninj,V,SSTIN,SSTIN
CELL.212,CELL.212,3,Injury_20DPI_rep1_SS200000147BL_B4,212,3,554.0,9678.0,uninj,V,SSTIN,SSTIN
CELL.213,CELL.213,3,Injury_20DPI_rep1_SS200000147BL_B4,213,3,554.0,9440.0,uninj,V,SSTIN,SSTIN
CELL.214,CELL.214,3,Injury_20DPI_rep1_SS200000147BL_B4,214,3,549.0,9642.0,uninj,V,SSTIN,SSTIN
CELL.216,CELL.216,5,Injury_20DPI_rep1_SS200000147BL_B4,216,7,558.0,7254.0,inj,V,VLMC,VLMC
CELL.217,CELL.217,3,Injury_20DPI_rep1_SS200000147BL_B4,217,3,541.0,9181.0,uninj,V,SSTIN,SSTIN
CELL.218,CELL.218,3,Injury_20DPI_rep1_SS200000147BL_B4,218,3,548.0,9154.0,uninj,V,SSTIN,SSTIN
CELL.219,CELL.219,3,Injury_20DPI_rep1_SS200000147BL_B4,219,3,556.0,9317.0,uninj,V,SSTIN,SSTIN
CELL.220,CELL.220,5,Injury_20DPI_rep1_SS200000147BL_B4,220,7,551.0,7222.0,inj,V,VLMC,VLMC
CELL.221,CELL.221,5,Injury_20DPI_rep1_SS200000147BL_B4,221,7,565.0,8136.0,uninj,V,VLMC,VLMC
CELL.222,CELL.222,3,Injury_20DPI_rep1_SS200000147BL_B4,222,6,555.0,9389.0,uninj,V,OBNBL,OBNBL
CELL.223,CELL.223,3,Injury_20DPI_rep1_SS200000147BL_B4,223,14,553.0,9257.0,uninj,V,SSTIN,SSTIN
CELL.225,CELL.225,3,Injury_20DPI_rep1_SS200000147BL_B4,225,14,550.0,9011.0,uninj,V,SSTIN,SSTIN
CELL.227,CELL.227,3,Injury_20DPI_rep1_SS200000147BL_B4,227,3,561.0,9350.0,uninj,V,SSTIN,SSTIN
CELL.228,CELL.228,3,Injury_20DPI_rep1_SS200000147BL_B4,228,3,559.0,9475.0,uninj,V,SSTIN,SSTIN
CELL.230,CELL.230,6,Injury_20DPI_rep1_SS200000147BL_B4,230,14,561.0,9887.0,uninj,V,SSTIN,SSTIN
CELL.231,CELL.231,3,Injury_20DPI_rep1_SS200000147BL_B4,231,14,568.0,9751.0,uninj,V,SSTIN,SSTIN
CELL.232,CELL.232,6,Injury_20DPI_rep1_SS200000147BL_B4,232,3,560.0,9059.0,uninj,V,SSTIN,SSTIN
CELL.233,CELL.233,5,Injury_20DPI_rep1_SS200000147BL_B4,233,7,563.0,5817.0,inj,V,VLMC,VLMC
CELL.234,CELL.234,3,Injury_20DPI_rep1_SS200000147BL_B4,234,14,573.0,8970.0,uninj,V,SSTIN,SSTIN
CELL.235,CELL.235,5,Injury_20DPI_rep1_SS200000147BL_B4,235,12,570.0,8624.0,uninj,V,OLIGO,OLIGO
