,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,x_center,y_center,inj_uninj,D_V,inj_M_L,Annotation_Final,Annotation_0306
CELL.523,CELL.523,4,Injury_5DPI_rep2_SS200000147BL_D2,523,7,2867.0,12792.0,uninj,V,NO,VLMC,VLMC
CELL.524,CELL.524,3,Injury_5DPI_rep2_SS200000147BL_D2,524,6,2869.0,12305.0,uninj,V,NO,CCKIN,CCKIN
CELL.525,CELL.525,3,Injury_5DPI_rep2_SS200000147BL_D2,525,2,2875.0,12125.0,uninj,V,NO,CMPN,CMPN
CELL.526,CELL.526,4,Injury_5DPI_rep2_SS200000147BL_D2,526,7,2875.0,12818.0,uninj,V,NO,VLMC,VLMC
CELL.527,CELL.527,4,Injury_5DPI_rep2_SS200000147BL_D2,527,7,2877.0,11686.0,uninj,V,NO,VLMC,VLMC
CELL.528,CELL.528,4,Injury_5DPI_rep2_SS200000147BL_D2,528,7,2872.0,12761.0,uninj,V,NO,VLMC,VLMC
CELL.529,CELL.529,4,Injury_5DPI_rep2_SS200000147BL_D2,529,4,2873.0,11063.0,uninj,V,NO,VLMC,VLMC
CELL.530,CELL.530,3,Injury_5DPI_rep2_SS200000147BL_D2,530,13,2876.0,11889.0,uninj,V,NO,SSTIN,SSTIN
CELL.532,CELL.532,3,Injury_5DPI_rep2_SS200000147BL_D2,532,7,2883.0,11649.0,uninj,V,NO,VLMC,VLMC
CELL.533,CELL.533,3,Injury_5DPI_rep2_SS200000147BL_D2,533,2,2889.0,11934.0,uninj,V,NO,CMPN,CMPN
CELL.534,CELL.534,3,Injury_5DPI_rep2_SS200000147BL_D2,534,6,2893.0,12384.0,uninj,V,NO,CCKIN,CCKIN
CELL.535,CELL.535,3,Injury_5DPI_rep2_SS200000147BL_D2,535,2,2889.0,12158.0,uninj,V,NO,CMPN,CMPN
CELL.536,CELL.536,3,Injury_5DPI_rep2_SS200000147BL_D2,536,2,2898.0,12028.0,uninj,V,NO,CMPN,CMPN
CELL.537,CELL.537,3,Injury_5DPI_rep2_SS200000147BL_D2,537,2,2900.0,12070.0,uninj,V,NO,CMPN,CMPN
CELL.538,CELL.538,4,Injury_5DPI_rep2_SS200000147BL_D2,538,7,2894.0,12789.0,uninj,V,NO,VLMC,VLMC
CELL.540,CELL.540,3,Injury_5DPI_rep2_SS200000147BL_D2,540,2,2904.0,11767.0,uninj,V,NO,CMPN,CMPN
CELL.541,CELL.541,5,Injury_5DPI_rep2_SS200000147BL_D2,541,2,2906.0,12222.0,uninj,V,NO,CMPN,CMPN
CELL.542,CELL.542,3,Injury_5DPI_rep2_SS200000147BL_D2,542,2,2906.0,12119.0,uninj,V,NO,CMPN,CMPN
CELL.543,CELL.543,3,Injury_5DPI_rep2_SS200000147BL_D2,543,13,2904.0,11719.0,uninj,V,NO,SSTIN,SSTIN
CELL.544,CELL.544,3,Injury_5DPI_rep2_SS200000147BL_D2,544,2,2907.0,11819.0,uninj,V,NO,CMPN,CMPN
CELL.546,CELL.546,4,Injury_5DPI_rep2_SS200000147BL_D2,546,7,2909.0,11666.0,uninj,V,NO,VLMC,VLMC
CELL.547,CELL.547,4,Injury_5DPI_rep2_SS200000147BL_D2,547,4,2920.0,11933.0,uninj,V,NO,MPEX,MPEX
CELL.549,CELL.549,3,Injury_5DPI_rep2_SS200000147BL_D2,549,2,2926.0,12091.0,uninj,V,NO,CMPN,CMPN
CELL.550,CELL.550,6,Injury_5DPI_rep2_SS200000147BL_D2,550,6,2924.0,12309.0,uninj,V,NO,CCKIN,CCKIN
CELL.551,CELL.551,4,Injury_5DPI_rep2_SS200000147BL_D2,551,12,2930.0,10922.0,uninj,V,NO,VLMC,VLMC
CELL.552,CELL.552,3,Injury_5DPI_rep2_SS200000147BL_D2,552,2,2921.0,11908.0,uninj,V,NO,CMPN,CMPN
CELL.553,CELL.553,3,Injury_5DPI_rep2_SS200000147BL_D2,553,2,2933.0,12042.0,uninj,V,NO,CMPN,CMPN
CELL.554,CELL.554,3,Injury_5DPI_rep2_SS200000147BL_D2,554,13,2934.0,12129.0,uninj,V,NO,SSTIN,SSTIN
CELL.555,CELL.555,5,Injury_5DPI_rep2_SS200000147BL_D2,555,2,2927.0,11749.0,uninj,V,NO,CMPN,CMPN
CELL.556,CELL.556,3,Injury_5DPI_rep2_SS200000147BL_D2,556,2,2935.0,11864.0,uninj,V,NO,CMPN,CMPN
CELL.557,CELL.557,3,Injury_5DPI_rep2_SS200000147BL_D2,557,13,2934.0,12215.0,uninj,V,NO,CCKIN,CCKIN
CELL.558,CELL.558,4,Injury_5DPI_rep2_SS200000147BL_D2,558,12,2934.0,10939.0,uninj,V,NO,VLMC,VLMC
CELL.559,CELL.559,3,Injury_5DPI_rep2_SS200000147BL_D2,559,2,2937.0,11963.0,uninj,V,NO,CMPN,CMPN
CELL.560,CELL.560,6,Injury_5DPI_rep2_SS200000147BL_D2,560,6,2938.0,12361.0,uninj,V,NO,CCKIN,CCKIN
CELL.561,CELL.561,3,Injury_5DPI_rep2_SS200000147BL_D2,561,2,2938.0,11829.0,uninj,V,NO,CMPN,CMPN
CELL.562,CELL.562,3,Injury_5DPI_rep2_SS200000147BL_D2,562,2,2943.0,11995.0,uninj,V,NO,CMPN,CMPN
CELL.563,CELL.563,5,Injury_5DPI_rep2_SS200000147BL_D2,563,0,2945.0,11565.0,uninj,V,NO,OBNBL,OBNBL
CELL.564,CELL.564,3,Injury_5DPI_rep2_SS200000147BL_D2,564,2,2948.0,11777.0,uninj,V,NO,CMPN,CMPN
CELL.565,CELL.565,4,Injury_5DPI_rep2_SS200000147BL_D2,565,12,2951.0,10905.0,uninj,V,NO,VLMC,VLMC
CELL.566,CELL.566,6,Injury_5DPI_rep2_SS200000147BL_D2,566,13,2949.0,12180.0,uninj,V,NO,SSTIN,SSTIN
CELL.567,CELL.567,3,Injury_5DPI_rep2_SS200000147BL_D2,567,13,2949.0,12152.0,uninj,V,NO,SSTIN,SSTIN
CELL.568,CELL.568,3,Injury_5DPI_rep2_SS200000147BL_D2,568,13,2952.0,12106.0,uninj,V,NO,SSTIN,SSTIN
CELL.569,CELL.569,3,Injury_5DPI_rep2_SS200000147BL_D2,569,6,2959.0,12415.0,uninj,V,NO,CCKIN,CCKIN
CELL.570,CELL.570,3,Injury_5DPI_rep2_SS200000147BL_D2,570,6,2957.0,12326.0,uninj,V,NO,CCKIN,CCKIN
CELL.571,CELL.571,4,Injury_5DPI_rep2_SS200000147BL_D2,571,7,2963.0,11454.0,uninj,V,NO,VLMC,VLMC
CELL.572,CELL.572,4,Injury_5DPI_rep2_SS200000147BL_D2,572,11,2955.0,10926.0,uninj,V,NO,RIPC2,REAEGC
CELL.573,CELL.573,6,Injury_5DPI_rep2_SS200000147BL_D2,573,6,2955.0,12283.0,uninj,V,NO,CCKIN,CCKIN
CELL.574,CELL.574,3,Injury_5DPI_rep2_SS200000147BL_D2,574,2,2962.0,11809.0,uninj,V,NO,CMPN,CMPN
CELL.576,CELL.576,3,Injury_5DPI_rep2_SS200000147BL_D2,576,2,2964.0,12023.0,uninj,V,NO,CMPN,CMPN
CELL.577,CELL.577,5,Injury_5DPI_rep2_SS200000147BL_D2,577,2,2966.0,11866.0,uninj,V,NO,CMPN,CMPN
CELL.578,CELL.578,3,Injury_5DPI_rep2_SS200000147BL_D2,578,2,2966.0,12054.0,uninj,V,NO,CMPN,CMPN
CELL.579,CELL.579,3,Injury_5DPI_rep2_SS200000147BL_D2,579,2,2969.0,11634.0,uninj,V,NO,CMPN,CMPN
CELL.580,CELL.580,3,Injury_5DPI_rep2_SS200000147BL_D2,580,2,2973.0,11929.0,uninj,V,NO,CMPN,CMPN
CELL.581,CELL.581,3,Injury_5DPI_rep2_SS200000147BL_D2,581,13,2971.0,12080.0,uninj,V,NO,SSTIN,SSTIN
CELL.582,CELL.582,6,Injury_5DPI_rep2_SS200000147BL_D2,582,13,2975.0,12199.0,uninj,V,NO,SSTIN,SSTIN
CELL.583,CELL.583,6,Injury_5DPI_rep2_SS200000147BL_D2,583,6,2980.0,12444.0,uninj,V,NO,CCKIN,CCKIN
CELL.584,CELL.584,4,Injury_5DPI_rep2_SS200000147BL_D2,584,7,2981.0,10890.0,uninj,V,NO,VLMC,VLMC
CELL.585,CELL.585,5,Injury_5DPI_rep2_SS200000147BL_D2,585,12,2977.0,12654.0,uninj,V,NO,VLMC,VLMC
CELL.586,CELL.586,3,Injury_5DPI_rep2_SS200000147BL_D2,586,13,2987.0,12112.0,uninj,V,NO,SSTIN,SSTIN
CELL.587,CELL.587,6,Injury_5DPI_rep2_SS200000147BL_D2,587,6,2984.0,12404.0,uninj,V,NO,CCKIN,CCKIN
CELL.588,CELL.588,6,Injury_5DPI_rep2_SS200000147BL_D2,588,6,2983.0,12253.0,uninj,V,NO,CCKIN,CCKIN
CELL.589,CELL.589,6,Injury_5DPI_rep2_SS200000147BL_D2,589,13,2990.0,12141.0,uninj,V,NO,SSTIN,SSTIN
CELL.590,CELL.590,3,Injury_5DPI_rep2_SS200000147BL_D2,590,6,2984.0,12347.0,uninj,V,NO,CCKIN,CCKIN
CELL.592,CELL.592,3,Injury_5DPI_rep2_SS200000147BL_D2,592,2,2985.0,11815.0,uninj,V,NO,CMPN,CMPN
CELL.593,CELL.593,3,Injury_5DPI_rep2_SS200000147BL_D2,593,13,2996.0,12073.0,uninj,V,NO,SSTIN,SSTIN
CELL.594,CELL.594,5,Injury_5DPI_rep2_SS200000147BL_D2,594,2,2998.0,11579.0,uninj,V,NO,CMPN,CMPN
CELL.595,CELL.595,4,Injury_5DPI_rep2_SS200000147BL_D2,595,12,3005.0,10865.0,uninj,V,NO,VLMC,VLMC
CELL.596,CELL.596,3,Injury_5DPI_rep2_SS200000147BL_D2,596,2,2997.0,11908.0,uninj,V,NO,CMPN,CMPN
CELL.597,CELL.597,6,Injury_5DPI_rep2_SS200000147BL_D2,597,6,3004.0,12280.0,uninj,V,NO,CCKIN,CCKIN
CELL.598,CELL.598,6,Injury_5DPI_rep2_SS200000147BL_D2,598,13,3001.0,12169.0,uninj,V,NO,SSTIN,SSTIN
CELL.599,CELL.599,3,Injury_5DPI_rep2_SS200000147BL_D2,599,2,3007.0,11754.0,uninj,V,NO,CMPN,CMPN
CELL.600,CELL.600,3,Injury_5DPI_rep2_SS200000147BL_D2,600,2,3005.0,11798.0,uninj,V,NO,CMPN,CMPN
CELL.601,CELL.601,3,Injury_5DPI_rep2_SS200000147BL_D2,601,2,3005.0,11956.0,uninj,V,NO,CMPN,CMPN
CELL.602,CELL.602,3,Injury_5DPI_rep2_SS200000147BL_D2,602,2,3002.0,12000.0,uninj,V,NO,CMPN,CMPN
CELL.603,CELL.603,6,Injury_5DPI_rep2_SS200000147BL_D2,603,6,3011.0,12387.0,uninj,V,NO,CCKIN,CCKIN
CELL.604,CELL.604,3,Injury_5DPI_rep2_SS200000147BL_D2,604,6,3007.0,12456.0,uninj,V,NO,CCKIN,CCKIN
CELL.605,CELL.605,3,Injury_5DPI_rep2_SS200000147BL_D2,605,13,3012.0,12050.0,uninj,V,NO,SSTIN,SSTIN
CELL.606,CELL.606,3,Injury_5DPI_rep2_SS200000147BL_D2,606,6,3012.0,12319.0,uninj,V,NO,CCKIN,CCKIN
CELL.607,CELL.607,3,Injury_5DPI_rep2_SS200000147BL_D2,607,2,3012.0,11670.0,uninj,V,NO,CMPN,CMPN
CELL.608,CELL.608,6,Injury_5DPI_rep2_SS200000147BL_D2,608,6,3019.0,12217.0,uninj,V,NO,CCKIN,CCKIN
CELL.610,CELL.610,3,Injury_5DPI_rep2_SS200000147BL_D2,610,2,3021.0,11842.0,uninj,V,NO,CMPN,CMPN
CELL.612,CELL.612,6,Injury_5DPI_rep2_SS200000147BL_D2,612,13,3018.0,12133.0,uninj,V,NO,SSTIN,SSTIN
CELL.614,CELL.614,6,Injury_5DPI_rep2_SS200000147BL_D2,614,6,3018.0,12425.0,uninj,V,NO,CCKIN,CCKIN
CELL.615,CELL.615,4,Injury_5DPI_rep2_SS200000147BL_D2,615,7,3020.0,11467.0,uninj,V,NO,VLMC,VLMC
CELL.616,CELL.616,3,Injury_5DPI_rep2_SS200000147BL_D2,616,2,3024.0,11786.0,uninj,V,NO,CMPN,CMPN
CELL.617,CELL.617,6,Injury_5DPI_rep2_SS200000147BL_D2,617,6,3027.0,12252.0,uninj,V,NO,CCKIN,CCKIN
CELL.618,CELL.618,3,Injury_5DPI_rep2_SS200000147BL_D2,618,2,3031.0,12067.0,uninj,V,NO,CMPN,CMPN
CELL.619,CELL.619,3,Injury_5DPI_rep2_SS200000147BL_D2,619,13,3026.0,12023.0,uninj,V,NO,SSTIN,SSTIN
CELL.620,CELL.620,5,Injury_5DPI_rep2_SS200000147BL_D2,620,6,3033.0,12356.0,uninj,V,NO,CCKIN,CCKIN
CELL.622,CELL.622,3,Injury_5DPI_rep2_SS200000147BL_D2,622,4,3029.0,11870.0,uninj,V,NO,MPEX,MPEX
CELL.623,CELL.623,3,Injury_5DPI_rep2_SS200000147BL_D2,623,13,3027.0,12099.0,uninj,V,NO,SSTIN,SSTIN
CELL.624,CELL.624,6,Injury_5DPI_rep2_SS200000147BL_D2,624,6,3027.0,12285.0,uninj,V,NO,CCKIN,CCKIN
CELL.625,CELL.625,5,Injury_5DPI_rep2_SS200000147BL_D2,625,6,3029.0,12182.0,uninj,V,NO,CCKIN,CCKIN
CELL.626,CELL.626,3,Injury_5DPI_rep2_SS200000147BL_D2,626,13,3033.0,12156.0,uninj,V,NO,SSTIN,SSTIN
CELL.627,CELL.627,4,Injury_5DPI_rep2_SS200000147BL_D2,627,12,3037.0,9668.0,inj,V,NO,VLMC,VLMC
CELL.628,CELL.628,5,Injury_5DPI_rep2_SS200000147BL_D2,628,6,3034.0,12460.0,uninj,V,NO,CCKIN,CCKIN
CELL.629,CELL.629,3,Injury_5DPI_rep2_SS200000147BL_D2,629,2,3039.0,11701.0,uninj,V,NO,CMPN,CMPN
CELL.630,CELL.630,3,Injury_5DPI_rep2_SS200000147BL_D2,630,2,3041.0,11951.0,uninj,V,NO,CMPN,CMPN
CELL.631,CELL.631,6,Injury_5DPI_rep2_SS200000147BL_D2,631,6,3042.0,12307.0,uninj,V,NO,CCKIN,CCKIN
CELL.632,CELL.632,3,Injury_5DPI_rep2_SS200000147BL_D2,632,2,3045.0,11811.0,uninj,V,NO,CMPN,CMPN
CELL.633,CELL.633,4,Injury_5DPI_rep2_SS200000147BL_D2,633,12,3042.0,10859.0,uninj,V,NO,VLMC,VLMC
CELL.635,CELL.635,6,Injury_5DPI_rep2_SS200000147BL_D2,635,6,3041.0,12395.0,uninj,V,NO,CCKIN,CCKIN
CELL.636,CELL.636,3,Injury_5DPI_rep2_SS200000147BL_D2,636,2,3054.0,11728.0,uninj,V,NO,CMPN,CMPN
CELL.637,CELL.637,4,Injury_5DPI_rep2_SS200000147BL_D2,637,12,3052.0,12930.0,uninj,V,NO,VLMC,VLMC
CELL.638,CELL.638,4,Injury_5DPI_rep2_SS200000147BL_D2,638,4,3053.0,9355.0,inj,V,NO,VLMC,VLMC
CELL.639,CELL.639,5,Injury_5DPI_rep2_SS200000147BL_D2,639,4,3052.0,11304.0,uninj,V,NO,MPEX,MPEX
CELL.640,CELL.640,3,Injury_5DPI_rep2_SS200000147BL_D2,640,2,3055.0,11914.0,uninj,V,NO,CMPN,CMPN
CELL.642,CELL.642,3,Injury_5DPI_rep2_SS200000147BL_D2,642,6,3054.0,12523.0,uninj,V,NO,CCKIN,CCKIN
CELL.643,CELL.643,4,Injury_5DPI_rep2_SS200000147BL_D2,643,2,3057.0,11282.0,uninj,V,NO,CMPN,CMPN
CELL.644,CELL.644,6,Injury_5DPI_rep2_SS200000147BL_D2,644,6,3050.0,12276.0,uninj,V,NO,CCKIN,CCKIN
CELL.645,CELL.645,4,Injury_5DPI_rep2_SS200000147BL_D2,645,12,3053.0,9734.0,inj,V,NO,VLMC,VLMC
CELL.646,CELL.646,4,Injury_5DPI_rep2_SS200000147BL_D2,646,12,3054.0,9635.0,inj,V,NO,VLMC,VLMC
CELL.647,CELL.647,3,Injury_5DPI_rep2_SS200000147BL_D2,647,2,3050.0,12088.0,uninj,V,NO,CMPN,CMPN
CELL.648,CELL.648,3,Injury_5DPI_rep2_SS200000147BL_D2,648,13,3056.0,12007.0,uninj,V,NO,SSTIN,SSTIN
CELL.649,CELL.649,6,Injury_5DPI_rep2_SS200000147BL_D2,649,6,3062.0,12467.0,uninj,V,NO,CCKIN,CCKIN
CELL.650,CELL.650,4,Injury_5DPI_rep2_SS200000147BL_D2,650,12,3055.0,9686.0,inj,V,NO,VLMC,VLMC
CELL.651,CELL.651,4,Injury_5DPI_rep2_SS200000147BL_D2,651,7,3058.0,10885.0,uninj,V,NO,VLMC,VLMC
CELL.652,CELL.652,6,Injury_5DPI_rep2_SS200000147BL_D2,652,2,3056.0,12038.0,uninj,V,NO,CMPN,CMPN
CELL.653,CELL.653,6,Injury_5DPI_rep2_SS200000147BL_D2,653,4,3059.0,12141.0,uninj,V,NO,VLMC,VLMC
CELL.654,CELL.654,6,Injury_5DPI_rep2_SS200000147BL_D2,654,6,3060.0,12204.0,uninj,V,NO,CCKIN,CCKIN
CELL.655,CELL.655,6,Injury_5DPI_rep2_SS200000147BL_D2,655,6,3061.0,12228.0,uninj,V,NO,CCKIN,CCKIN
CELL.656,CELL.656,6,Injury_5DPI_rep2_SS200000147BL_D2,656,6,3061.0,12253.0,uninj,V,NO,CCKIN,CCKIN
CELL.658,CELL.658,3,Injury_5DPI_rep2_SS200000147BL_D2,658,2,3060.0,11780.0,uninj,V,NO,CMPN,CMPN
CELL.659,CELL.659,6,Injury_5DPI_rep2_SS200000147BL_D2,659,6,3064.0,12418.0,uninj,V,NO,CCKIN,CCKIN
CELL.660,CELL.660,3,Injury_5DPI_rep2_SS200000147BL_D2,660,2,3064.0,11682.0,uninj,V,NO,CMPN,CMPN
CELL.661,CELL.661,3,Injury_5DPI_rep2_SS200000147BL_D2,661,2,3065.0,11882.0,uninj,V,NO,CMPN,CMPN
CELL.662,CELL.662,3,Injury_5DPI_rep2_SS200000147BL_D2,662,2,3063.0,11951.0,uninj,V,NO,CMPN,CMPN
CELL.663,CELL.663,6,Injury_5DPI_rep2_SS200000147BL_D2,663,6,3063.0,12352.0,uninj,V,NO,CCKIN,CCKIN
CELL.664,CELL.664,4,Injury_5DPI_rep2_SS200000147BL_D2,664,4,3067.0,9566.0,inj,V,NO,VLMC,VLMC
CELL.665,CELL.665,3,Injury_5DPI_rep2_SS200000147BL_D2,665,2,3065.0,11589.0,uninj,V,NO,NPYIN,NPYIN
CELL.666,CELL.666,3,Injury_5DPI_rep2_SS200000147BL_D2,666,2,3066.0,11839.0,uninj,V,NO,CMPN,CMPN
CELL.667,CELL.667,6,Injury_5DPI_rep2_SS200000147BL_D2,667,6,3075.0,12179.0,uninj,V,NO,CCKIN,CCKIN
CELL.668,CELL.668,3,Injury_5DPI_rep2_SS200000147BL_D2,668,6,3069.0,12292.0,uninj,V,NO,CCKIN,CCKIN
CELL.670,CELL.670,4,Injury_5DPI_rep2_SS200000147BL_D2,670,12,3069.0,9639.0,inj,V,NO,VLMC,VLMC
CELL.672,CELL.672,4,Injury_5DPI_rep2_SS200000147BL_D2,672,7,3069.0,9527.0,inj,V,NO,VLMC,VLMC
CELL.673,CELL.673,4,Injury_5DPI_rep2_SS200000147BL_D2,673,7,3068.0,9815.0,inj,V,NO,VLMC,VLMC
CELL.674,CELL.674,3,Injury_5DPI_rep2_SS200000147BL_D2,674,2,3069.0,11978.0,uninj,V,NO,CMPN,CMPN
CELL.675,CELL.675,5,Injury_5DPI_rep2_SS200000147BL_D2,675,4,3074.0,11296.0,uninj,V,NO,MPEX,MPEX
CELL.676,CELL.676,6,Injury_5DPI_rep2_SS200000147BL_D2,676,7,3074.0,12064.0,uninj,V,NO,VLMC,VLMC
CELL.677,CELL.677,4,Injury_5DPI_rep2_SS200000147BL_D2,677,12,3072.0,9406.0,inj,V,NO,VLMC,VLMC
CELL.679,CELL.679,6,Injury_5DPI_rep2_SS200000147BL_D2,679,6,3073.0,12320.0,uninj,V,NO,CCKIN,CCKIN
CELL.680,CELL.680,4,Injury_5DPI_rep2_SS200000147BL_D2,680,12,3084.0,10832.0,uninj,V,NO,VLMC,VLMC
CELL.681,CELL.681,4,Injury_5DPI_rep2_SS200000147BL_D2,681,4,3087.0,9240.0,inj,V,NO,MPEX,MPEX
CELL.682,CELL.682,4,Injury_5DPI_rep2_SS200000147BL_D2,682,4,3081.0,9887.0,inj,V,NO,MPEX,MPEX
CELL.683,CELL.683,3,Injury_5DPI_rep2_SS200000147BL_D2,683,2,3081.0,11535.0,uninj,V,NO,CMPN,CMPN
CELL.684,CELL.684,4,Injury_5DPI_rep2_SS200000147BL_D2,684,12,3076.0,12927.0,uninj,V,NO,VLMC,VLMC
CELL.685,CELL.685,6,Injury_5DPI_rep2_SS200000147BL_D2,685,7,3082.0,12100.0,uninj,V,NO,VLMC,VLMC
CELL.686,CELL.686,3,Injury_5DPI_rep2_SS200000147BL_D2,686,6,3084.0,12532.0,uninj,V,NO,CCKIN,CCKIN
CELL.688,CELL.688,4,Injury_5DPI_rep2_SS200000147BL_D2,688,7,3085.0,10898.0,uninj,V,NO,VLMC,VLMC
CELL.689,CELL.689,4,Injury_5DPI_rep2_SS200000147BL_D2,689,7,3087.0,9555.0,inj,V,NO,VLMC,VLMC
CELL.690,CELL.690,6,Injury_5DPI_rep2_SS200000147BL_D2,690,7,3089.0,12155.0,uninj,V,NO,VLMC,VLMC
