,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,Celltype,inj_uninj,D_V,inj_M_L,x_center,y_center,Annotation_Final,Annotation_0306
CELL.27,CELL.27,0,Injury_15DPI_rep2_FP200000266TR_E2,27,1,VLMC,inj,V,NO,105.0,1389.0,VLMC,VLMC
CELL.28,CELL.28,0,Injury_15DPI_rep2_FP200000266TR_E2,28,9,VLMC,inj,V,NO,109.0,1341.0,VLMC,VLMC
CELL.29,CELL.29,0,Injury_15DPI_rep2_FP200000266TR_E2,29,1,VLMC,inj,V,NO,109.0,1582.0,VLMC,VLMC
CELL.30,CELL.30,0,Injury_15DPI_rep2_FP200000266TR_E2,30,1,VLMC,inj,V,NO,109.0,1432.0,VLMC,VLMC
CELL.31,CELL.31,0,Injury_15DPI_rep2_FP200000266TR_E2,31,1,VLMC,inj,V,NO,115.0,2109.0,VLMC,VLMC
CELL.32,CELL.32,0,Injury_15DPI_rep2_FP200000266TR_E2,32,1,VLMC,inj,V,NO,109.0,1616.0,VLMC,VLMC
CELL.33,CELL.33,0,Injury_15DPI_rep2_FP200000266TR_E2,33,1,VLMC,inj,V,NO,127.0,1219.0,VLMC,VLMC
CELL.34,CELL.34,0,Injury_15DPI_rep2_FP200000266TR_E2,34,1,VLMC,inj,V,NO,118.0,2064.0,VLMC,VLMC
CELL.36,CELL.36,0,Injury_15DPI_rep2_FP200000266TR_E2,36,9,VLMC,uninj,V,NO,133.0,4151.0,VLMC,VLMC
CELL.37,CELL.37,0,Injury_15DPI_rep2_FP200000266TR_E2,37,9,VLMC,uninj,V,NO,137.0,4077.0,VLMC,VLMC
CELL.38,CELL.38,0,Injury_15DPI_rep2_FP200000266TR_E2,38,1,VLMC,inj,V,NO,139.0,1651.0,VLMC,VLMC
CELL.39,CELL.39,0,Injury_15DPI_rep2_FP200000266TR_E2,39,9,VLMC,uninj,V,NO,142.0,3844.0,VLMC,VLMC
CELL.40,CELL.40,0,Injury_15DPI_rep2_FP200000266TR_E2,40,9,VLMC,uninj,V,NO,138.0,4120.0,VLMC,VLMC
CELL.41,CELL.41,0,Injury_15DPI_rep2_FP200000266TR_E2,41,1,VLMC,inj,V,NO,140.0,1255.0,VLMC,VLMC
CELL.42,CELL.42,0,Injury_15DPI_rep2_FP200000266TR_E2,42,1,VLMC,inj,V,NO,145.0,1619.0,VLMC,VLMC
CELL.43,CELL.43,0,Injury_15DPI_rep2_FP200000266TR_E2,43,1,VLMC,inj,V,NO,146.0,2142.0,VLMC,VLMC
CELL.44,CELL.44,0,Injury_15DPI_rep2_FP200000266TR_E2,44,1,VLMC,inj,V,NO,150.0,1182.0,VLMC,VLMC
CELL.45,CELL.45,0,Injury_15DPI_rep2_FP200000266TR_E2,45,1,VLMC,inj,V,NO,144.0,2096.0,VLMC,VLMC
CELL.46,CELL.46,0,Injury_15DPI_rep2_FP200000266TR_E2,46,9,VLMC,uninj,V,NO,158.0,3710.0,VLMC,VLMC
CELL.47,CELL.47,0,Injury_15DPI_rep2_FP200000266TR_E2,47,9,VLMC,uninj,V,NO,164.0,3892.0,VLMC,VLMC
CELL.48,CELL.48,0,Injury_15DPI_rep2_FP200000266TR_E2,48,9,VLMC,uninj,V,NO,162.0,3805.0,VLMC,VLMC
CELL.49,CELL.49,0,Injury_15DPI_rep2_FP200000266TR_E2,49,9,VLMC,uninj,V,NO,174.0,3742.0,VLMC,VLMC
CELL.50,CELL.50,0,Injury_15DPI_rep2_FP200000266TR_E2,50,9,VLMC,uninj,V,NO,158.0,4027.0,VLMC,VLMC
CELL.51,CELL.51,0,Injury_15DPI_rep2_FP200000266TR_E2,51,9,VLMC,uninj,V,NO,175.0,4256.0,VLMC,VLMC
CELL.52,CELL.52,0,Injury_15DPI_rep2_FP200000266TR_E2,52,9,VLMC,uninj,V,NO,161.0,4001.0,VLMC,VLMC
CELL.54,CELL.54,0,Injury_15DPI_rep2_FP200000266TR_E2,54,9,VLMC,uninj,V,NO,168.0,3964.0,VLMC,VLMC
CELL.55,CELL.55,0,Injury_15DPI_rep2_FP200000266TR_E2,55,9,VLMC,uninj,V,NO,167.0,4151.0,VLMC,VLMC
CELL.56,CELL.56,0,Injury_15DPI_rep2_FP200000266TR_E2,56,9,VLMC,inj,V,NO,164.0,1958.0,VLMC,VLMC
CELL.57,CELL.57,0,Injury_15DPI_rep2_FP200000266TR_E2,57,9,VLMC,uninj,V,NO,166.0,4105.0,VLMC,VLMC
CELL.58,CELL.58,0,Injury_15DPI_rep2_FP200000266TR_E2,58,9,VLMC,uninj,V,NO,174.0,3605.0,VLMC,VLMC
CELL.59,CELL.59,0,Injury_15DPI_rep2_FP200000266TR_E2,59,1,VLMC,inj,V,NO,172.0,1649.0,VLMC,VLMC
CELL.60,CELL.60,0,Injury_15DPI_rep2_FP200000266TR_E2,60,1,VLMC,inj,V,NO,172.0,2138.0,VLMC,VLMC
CELL.61,CELL.61,0,Injury_15DPI_rep2_FP200000266TR_E2,61,9,VLMC,uninj,V,NO,176.0,4183.0,VLMC,VLMC
CELL.62,CELL.62,0,Injury_15DPI_rep2_FP200000266TR_E2,62,1,VLMC,uninj,V,NO,182.0,3551.0,VLMC,VLMC
CELL.63,CELL.63,0,Injury_15DPI_rep2_FP200000266TR_E2,63,9,VLMC,inj,V,NO,181.0,1065.0,VLMC,VLMC
CELL.64,CELL.64,0,Injury_15DPI_rep2_FP200000266TR_E2,64,1,CP,inj,V,NO,172.0,1142.0,VLMC,VLMC
CELL.65,CELL.65,0,Injury_15DPI_rep2_FP200000266TR_E2,65,1,VLMC,inj,V,NO,182.0,2215.0,VLMC,VLMC
CELL.67,CELL.67,0,Injury_15DPI_rep2_FP200000266TR_E2,67,9,VLMC,uninj,V,NO,180.0,3684.0,VLMC,VLMC
CELL.68,CELL.68,0,Injury_15DPI_rep2_FP200000266TR_E2,68,13,IMC,uninj,V,NO,191.0,4304.0,Microglia,MCG
CELL.69,CELL.69,0,Injury_15DPI_rep2_FP200000266TR_E2,69,9,VLMC,uninj,V,NO,178.0,3861.0,VLMC,VLMC
CELL.70,CELL.70,11,Injury_15DPI_rep2_FP200000266TR_E2,70,9,VLMC,inj,V,NO,189.0,1113.0,VLMC,VLMC
CELL.71,CELL.71,0,Injury_15DPI_rep2_FP200000266TR_E2,71,1,VLMC,inj,V,NO,194.0,2184.0,VLMC,VLMC
CELL.72,CELL.72,0,Injury_15DPI_rep2_FP200000266TR_E2,72,1,VLMC,uninj,V,NO,190.0,3581.0,VLMC,VLMC
CELL.73,CELL.73,0,Injury_15DPI_rep2_FP200000266TR_E2,73,9,VLMC,uninj,V,NO,184.0,4209.0,VLMC,VLMC
CELL.74,CELL.74,11,Injury_15DPI_rep2_FP200000266TR_E2,74,9,VLMC,uninj,V,NO,195.0,3407.0,VLMC,VLMC
CELL.75,CELL.75,0,Injury_15DPI_rep2_FP200000266TR_E2,75,9,VLMC,uninj,V,NO,190.0,4232.0,VLMC,VLMC
CELL.76,CELL.76,0,Injury_15DPI_rep2_FP200000266TR_E2,76,1,VLMC,inj,V,NO,195.0,1673.0,VLMC,VLMC
CELL.77,CELL.77,0,Injury_15DPI_rep2_FP200000266TR_E2,77,13,IMC,uninj,V,NO,207.0,3511.0,Microglia,MCG
CELL.78,CELL.78,0,Injury_15DPI_rep2_FP200000266TR_E2,78,1,VLMC,inj,V,NO,205.0,1644.0,VLMC,VLMC
CELL.79,CELL.79,0,Injury_15DPI_rep2_FP200000266TR_E2,79,1,VLMC,uninj,V,NO,205.0,3638.0,VLMC,VLMC
CELL.80,CELL.80,0,Injury_15DPI_rep2_FP200000266TR_E2,80,1,VLMC,inj,V,NO,213.0,2224.0,VLMC,VLMC
CELL.81,CELL.81,0,Injury_15DPI_rep2_FP200000266TR_E2,81,1,VLMC,inj,V,NO,204.0,2258.0,VLMC,VLMC
CELL.83,CELL.83,0,Injury_15DPI_rep2_FP200000266TR_E2,83,9,VLMC,uninj,V,NO,209.0,4346.0,VLMC,VLMC
CELL.84,CELL.84,0,Injury_15DPI_rep2_FP200000266TR_E2,84,1,CP,inj,V,NO,220.0,1074.0,VLMC,VLMC
CELL.85,CELL.85,11,Injury_15DPI_rep2_FP200000266TR_E2,85,13,IMC,uninj,V,NO,209.0,4261.0,Microglia,MCG
CELL.86,CELL.86,0,Injury_15DPI_rep2_FP200000266TR_E2,86,9,VLMC,uninj,V,NO,211.0,4437.0,VLMC,VLMC
CELL.88,CELL.88,0,Injury_15DPI_rep2_FP200000266TR_E2,88,9,VLMC,uninj,V,NO,213.0,4479.0,VLMC,VLMC
CELL.89,CELL.89,11,Injury_15DPI_rep2_FP200000266TR_E2,89,9,VLMC,uninj,V,NO,212.0,3869.0,VLMC,VLMC
CELL.90,CELL.90,0,Injury_15DPI_rep2_FP200000266TR_E2,90,9,VLMC,uninj,V,NO,225.0,3459.0,VLMC,VLMC
CELL.91,CELL.91,0,Injury_15DPI_rep2_FP200000266TR_E2,91,9,VLMC,inj,V,NO,216.0,1304.0,VLMC,VLMC
CELL.92,CELL.92,0,Injury_15DPI_rep2_FP200000266TR_E2,92,1,VLMC,uninj,V,NO,215.0,3555.0,VLMC,VLMC
CELL.93,CELL.93,0,Injury_15DPI_rep2_FP200000266TR_E2,93,1,VLMC,inj,V,NO,220.0,2353.0,VLMC,VLMC
CELL.96,CELL.96,0,Injury_15DPI_rep2_FP200000266TR_E2,96,1,VLMC,inj,V,NO,230.0,2300.0,VLMC,VLMC
CELL.97,CELL.97,0,Injury_15DPI_rep2_FP200000266TR_E2,97,9,VLMC,uninj,V,NO,227.0,3358.0,VLMC,VLMC
CELL.98,CELL.98,0,Injury_15DPI_rep2_FP200000266TR_E2,98,1,VLMC,uninj,V,NO,227.0,3597.0,VLMC,VLMC
CELL.99,CELL.99,0,Injury_15DPI_rep2_FP200000266TR_E2,99,1,VLMC,inj,V,NO,225.0,1674.0,VLMC,VLMC
CELL.100,CELL.100,0,Injury_15DPI_rep2_FP200000266TR_E2,100,9,VLMC,inj,V,NO,229.0,1026.0,VLMC,VLMC
CELL.101,CELL.101,0,Injury_15DPI_rep2_FP200000266TR_E2,101,9,VLMC,inj,V,NO,233.0,1261.0,VLMC,VLMC
CELL.104,CELL.104,0,Injury_15DPI_rep2_FP200000266TR_E2,104,9,VLMC,uninj,V,NO,235.0,4461.0,VLMC,VLMC
CELL.105,CELL.105,0,Injury_15DPI_rep2_FP200000266TR_E2,105,9,VLMC,uninj,V,NO,247.0,4500.0,VLMC,VLMC
CELL.106,CELL.106,0,Injury_15DPI_rep2_FP200000266TR_E2,106,1,VLMC,inj,V,NO,239.0,1555.0,VLMC,VLMC
CELL.107,CELL.107,0,Injury_15DPI_rep2_FP200000266TR_E2,107,9,VLMC,uninj,V,NO,242.0,4439.0,VLMC,VLMC
CELL.108,CELL.108,11,Injury_15DPI_rep2_FP200000266TR_E2,108,1,VLMC,inj,V,NO,240.0,1585.0,VLMC,VLMC
CELL.109,CELL.109,11,Injury_15DPI_rep2_FP200000266TR_E2,109,9,VLMC,uninj,V,NO,235.0,4410.0,VLMC,VLMC
CELL.110,CELL.110,0,Injury_15DPI_rep2_FP200000266TR_E2,110,9,VLMC,uninj,V,NO,244.0,3416.0,VLMC,VLMC
CELL.112,CELL.112,0,Injury_15DPI_rep2_FP200000266TR_E2,112,9,VLMC,inj,V,NO,247.0,1332.0,VLMC,VLMC
CELL.113,CELL.113,0,Injury_15DPI_rep2_FP200000266TR_E2,113,1,CP,inj,V,NO,251.0,977.0,VLMC,VLMC
CELL.114,CELL.114,11,Injury_15DPI_rep2_FP200000266TR_E2,114,1,CP,inj,V,NO,255.0,939.0,VLMC,VLMC
CELL.115,CELL.115,0,Injury_15DPI_rep2_FP200000266TR_E2,115,9,VLMC,inj,V,NO,253.0,2268.0,VLMC,VLMC
CELL.117,CELL.117,0,Injury_15DPI_rep2_FP200000266TR_E2,117,1,VLMC,inj,V,NO,254.0,1679.0,VLMC,VLMC
CELL.118,CELL.118,0,Injury_15DPI_rep2_FP200000266TR_E2,118,9,VLMC,uninj,V,NO,272.0,3354.0,VLMC,VLMC
CELL.121,CELL.121,0,Injury_15DPI_rep2_FP200000266TR_E2,121,9,VLMC,uninj,V,NO,258.0,4462.0,VLMC,VLMC
CELL.123,CELL.123,0,Injury_15DPI_rep2_FP200000266TR_E2,123,1,VLMC,uninj,V,NO,266.0,3381.0,VLMC,VLMC
CELL.124,CELL.124,0,Injury_15DPI_rep2_FP200000266TR_E2,124,1,VLMC,uninj,V,NO,256.0,3332.0,VLMC,VLMC
CELL.125,CELL.125,11,Injury_15DPI_rep2_FP200000266TR_E2,125,9,VLMC,uninj,V,NO,260.0,4413.0,VLMC,VLMC
CELL.126,CELL.126,11,Injury_15DPI_rep2_FP200000266TR_E2,126,9,VLMC,uninj,V,NO,264.0,4483.0,VLMC,VLMC
CELL.127,CELL.127,0,Injury_15DPI_rep2_FP200000266TR_E2,127,1,VLMC,inj,V,NO,269.0,899.0,VLMC,VLMC
CELL.130,CELL.130,0,Injury_15DPI_rep2_FP200000266TR_E2,130,1,VLMC,uninj,V,NO,286.0,3271.0,VLMC,VLMC
CELL.131,CELL.131,0,Injury_15DPI_rep2_FP200000266TR_E2,131,9,VLMC,uninj,V,NO,277.0,3421.0,VLMC,VLMC
CELL.132,CELL.132,0,Injury_15DPI_rep2_FP200000266TR_E2,132,9,VLMC,uninj,V,NO,272.0,4535.0,VLMC,VLMC
CELL.133,CELL.133,0,Injury_15DPI_rep2_FP200000266TR_E2,133,1,VLMC,inj,V,NO,288.0,2245.0,VLMC,VLMC
CELL.134,CELL.134,0,Injury_15DPI_rep2_FP200000266TR_E2,134,1,VLMC,inj,V,NO,280.0,2353.0,VLMC,VLMC
CELL.135,CELL.135,0,Injury_15DPI_rep2_FP200000266TR_E2,135,1,VLMC,inj,V,NO,285.0,1690.0,VLMC,VLMC
CELL.136,CELL.136,0,Injury_15DPI_rep2_FP200000266TR_E2,136,1,CP,inj,V,NO,282.0,1105.0,VLMC,VLMC
CELL.137,CELL.137,1,Injury_15DPI_rep2_FP200000266TR_E2,137,1,CP,inj,V,NO,277.0,1856.0,VLMC,VLMC
CELL.139,CELL.139,0,Injury_15DPI_rep2_FP200000266TR_E2,139,1,VLMC,inj,V,NO,282.0,2327.0,VLMC,VLMC
CELL.141,CELL.141,0,Injury_15DPI_rep2_FP200000266TR_E2,141,9,VLMC,uninj,V,NO,287.0,3311.0,VLMC,VLMC
CELL.142,CELL.142,0,Injury_15DPI_rep2_FP200000266TR_E2,142,1,CP,inj,V,NO,293.0,1922.0,VLMC,VLMC
CELL.143,CELL.143,0,Injury_15DPI_rep2_FP200000266TR_E2,143,1,VLMC,inj,V,NO,295.0,931.0,VLMC,VLMC
CELL.145,CELL.145,0,Injury_15DPI_rep2_FP200000266TR_E2,145,1,VLMC,inj,V,NO,288.0,2308.0,VLMC,VLMC
CELL.146,CELL.146,0,Injury_15DPI_rep2_FP200000266TR_E2,146,1,VLMC,uninj,V,NO,307.0,4158.0,VLMC,VLMC
CELL.147,CELL.147,0,Injury_15DPI_rep2_FP200000266TR_E2,147,1,VLMC,uninj,V,NO,296.0,3195.0,VLMC,VLMC
CELL.148,CELL.148,0,Injury_15DPI_rep2_FP200000266TR_E2,148,1,VLMC,uninj,V,NO,302.0,3226.0,VLMC,VLMC
CELL.149,CELL.149,0,Injury_15DPI_rep2_FP200000266TR_E2,149,1,VLMC,inj,V,NO,311.0,2343.0,VLMC,VLMC
CELL.150,CELL.150,0,Injury_15DPI_rep2_FP200000266TR_E2,150,9,VLMC,uninj,V,NO,308.0,4588.0,VLMC,VLMC
CELL.152,CELL.152,0,Injury_15DPI_rep2_FP200000266TR_E2,152,9,VLMC,uninj,V,NO,300.0,4498.0,VLMC,VLMC
CELL.154,CELL.154,0,Injury_15DPI_rep2_FP200000266TR_E2,154,1,VLMC,inj,V,NO,317.0,2372.0,VLMC,VLMC
CELL.156,CELL.156,0,Injury_15DPI_rep2_FP200000266TR_E2,156,9,VLMC,uninj,V,NO,314.0,3290.0,VLMC,VLMC
CELL.159,CELL.159,0,Injury_15DPI_rep2_FP200000266TR_E2,159,1,CP,inj,V,NO,319.0,881.0,VLMC,VLMC
CELL.161,CELL.161,0,Injury_15DPI_rep2_FP200000266TR_E2,161,1,VLMC,inj,V,NO,323.0,1723.0,VLMC,VLMC
CELL.162,CELL.162,0,Injury_15DPI_rep2_FP200000266TR_E2,162,1,VLMC,inj,V,NO,324.0,2297.0,VLMC,VLMC
CELL.163,CELL.163,0,Injury_15DPI_rep2_FP200000266TR_E2,163,9,VLMC,uninj,V,NO,324.0,3328.0,VLMC,VLMC
CELL.164,CELL.164,11,Injury_15DPI_rep2_FP200000266TR_E2,164,1,CP,uninj,V,NO,326.0,4326.0,VLMC,VLMC
CELL.165,CELL.165,1,Injury_15DPI_rep2_FP200000266TR_E2,165,1,CP,uninj,V,NO,331.0,4283.0,VLMC,VLMC
CELL.167,CELL.167,0,Injury_15DPI_rep2_FP200000266TR_E2,167,1,VLMC,uninj,V,NO,327.0,3245.0,VLMC,VLMC
CELL.168,CELL.168,11,Injury_15DPI_rep2_FP200000266TR_E2,168,1,CP,inj,V,NO,329.0,1410.0,VLMC,VLMC
CELL.169,CELL.169,0,Injury_15DPI_rep2_FP200000266TR_E2,169,1,VLMC,uninj,V,NO,331.0,3207.0,VLMC,VLMC
CELL.171,CELL.171,0,Injury_15DPI_rep2_FP200000266TR_E2,171,1,VLMC,uninj,V,NO,338.0,3182.0,VLMC,VLMC
CELL.173,CELL.173,0,Injury_15DPI_rep2_FP200000266TR_E2,173,1,VLMC,inj,V,NO,344.0,2353.0,VLMC,VLMC
CELL.174,CELL.174,0,Injury_15DPI_rep2_FP200000266TR_E2,174,18,OLIGO,uninj,V,NO,338.0,3434.0,OLIGO,OLIGO
CELL.175,CELL.175,11,Injury_15DPI_rep2_FP200000266TR_E2,175,12,NPYIN,uninj,V,NO,342.0,4680.0,NPYIN,NPYIN
CELL.176,CELL.176,0,Injury_15DPI_rep2_FP200000266TR_E2,176,1,VLMC,uninj,V,NO,355.0,3154.0,VLMC,VLMC
CELL.177,CELL.177,0,Injury_15DPI_rep2_FP200000266TR_E2,177,1,VLMC,inj,V,NO,351.0,2424.0,VLMC,VLMC
CELL.178,CELL.178,0,Injury_15DPI_rep2_FP200000266TR_E2,178,1,VLMC,uninj,V,NO,343.0,4197.0,VLMC,VLMC
CELL.179,CELL.179,0,Injury_15DPI_rep2_FP200000266TR_E2,179,9,VLMC,uninj,V,NO,338.0,4628.0,VLMC,VLMC
CELL.181,CELL.181,11,Injury_15DPI_rep2_FP200000266TR_E2,181,1,CP,inj,V,NO,347.0,2320.0,VLMC,VLMC
CELL.182,CELL.182,0,Injury_15DPI_rep2_FP200000266TR_E2,182,1,CP,inj,V,NO,352.0,1250.0,VLMC,VLMC
CELL.183,CELL.183,0,Injury_15DPI_rep2_FP200000266TR_E2,183,1,VLMC,inj,V,NO,351.0,2447.0,VLMC,VLMC
CELL.184,CELL.184,0,Injury_15DPI_rep2_FP200000266TR_E2,184,1,VLMC,inj,V,NO,354.0,2476.0,VLMC,VLMC
CELL.186,CELL.186,0,Injury_15DPI_rep2_FP200000266TR_E2,186,1,CP,inj,V,NO,346.0,848.0,VLMC,VLMC
CELL.187,CELL.187,0,Injury_15DPI_rep2_FP200000266TR_E2,187,1,VLMC,uninj,V,NO,360.0,3219.0,VLMC,VLMC
CELL.188,CELL.188,0,Injury_15DPI_rep2_FP200000266TR_E2,188,9,VLMC,uninj,V,NO,361.0,4675.0,VLMC,VLMC
CELL.190,CELL.190,1,Injury_15DPI_rep2_FP200000266TR_E2,190,15,NBL,inj,V,NO,364.0,1600.0,NTNG1EX,NTNG1EX
CELL.192,CELL.192,0,Injury_15DPI_rep2_FP200000266TR_E2,192,1,CP,inj,V,NO,373.0,820.0,VLMC,VLMC
CELL.193,CELL.193,0,Injury_15DPI_rep2_FP200000266TR_E2,193,1,VLMC,inj,V,NO,366.0,2401.0,VLMC,VLMC
CELL.195,CELL.195,11,Injury_15DPI_rep2_FP200000266TR_E2,195,9,VLMC,inj,V,NO,373.0,775.0,VLMC,VLMC
CELL.196,CELL.196,0,Injury_15DPI_rep2_FP200000266TR_E2,196,1,VLMC,inj,V,NO,385.0,1404.0,VLMC,VLMC
CELL.197,CELL.197,1,Injury_15DPI_rep2_FP200000266TR_E2,197,15,NBL,inj,V,NO,373.0,1633.0,NTNG1EX,NTNG1EX
CELL.199,CELL.199,0,Injury_15DPI_rep2_FP200000266TR_E2,199,1,VLMC,inj,V,NO,375.0,1938.0,VLMC,VLMC
CELL.200,CELL.200,0,Injury_15DPI_rep2_FP200000266TR_E2,200,1,VLMC,inj,V,NO,374.0,2497.0,VLMC,VLMC
CELL.201,CELL.201,0,Injury_15DPI_rep2_FP200000266TR_E2,201,14,SCGNIN,uninj,V,NO,386.0,4702.0,SCGNIN,SCGNIN
CELL.202,CELL.202,0,Injury_15DPI_rep2_FP200000266TR_E2,202,9,VLMC,uninj,V,NO,378.0,3638.0,VLMC,VLMC
CELL.205,CELL.205,0,Injury_15DPI_rep2_FP200000266TR_E2,205,13,IMC,inj,V,NO,388.0,1040.0,Microglia,MCG
CELL.208,CELL.208,1,Injury_15DPI_rep2_FP200000266TR_E2,208,1,CP,inj,V,NO,384.0,1657.0,VLMC,VLMC
CELL.209,CELL.209,0,Injury_15DPI_rep2_FP200000266TR_E2,209,9,VLMC,uninj,V,NO,385.0,4667.0,VLMC,VLMC
CELL.210,CELL.210,0,Injury_15DPI_rep2_FP200000266TR_E2,210,9,VLMC,uninj,V,NO,394.0,3042.0,VLMC,VLMC
CELL.211,CELL.211,0,Injury_15DPI_rep2_FP200000266TR_E2,211,1,VLMC,inj,V,NO,379.0,2458.0,VLMC,VLMC
CELL.212,CELL.212,0,Injury_15DPI_rep2_FP200000266TR_E2,212,1,VLMC,inj,V,NO,392.0,2525.0,VLMC,VLMC
CELL.213,CELL.213,0,Injury_15DPI_rep2_FP200000266TR_E2,213,13,IMC,uninj,V,NO,390.0,3138.0,Microglia,MCG
CELL.214,CELL.214,11,Injury_15DPI_rep2_FP200000266TR_E2,214,1,CP,uninj,V,NO,391.0,3322.0,VLMC,VLMC
CELL.215,CELL.215,1,Injury_15DPI_rep2_FP200000266TR_E2,215,15,NBL,inj,V,NO,392.0,1599.0,NTNG1EX,NTNG1EX
CELL.216,CELL.216,1,Injury_15DPI_rep2_FP200000266TR_E2,216,1,CP,inj,V,NO,392.0,1677.0,VLMC,VLMC
CELL.217,CELL.217,0,Injury_15DPI_rep2_FP200000266TR_E2,217,9,VLMC,inj,V,NO,402.0,780.0,VLMC,VLMC
CELL.219,CELL.219,0,Injury_15DPI_rep2_FP200000266TR_E2,219,13,IMC,uninj,V,NO,394.0,3176.0,Microglia,MCG
CELL.221,CELL.221,0,Injury_15DPI_rep2_FP200000266TR_E2,221,1,VLMC,inj,V,NO,395.0,2427.0,VLMC,VLMC
CELL.222,CELL.222,0,Injury_15DPI_rep2_FP200000266TR_E2,222,13,IMC,uninj,V,NO,394.0,3108.0,Microglia,MCG
CELL.225,CELL.225,0,Injury_15DPI_rep2_FP200000266TR_E2,225,9,VLMC,uninj,V,NO,419.0,3077.0,VLMC,VLMC
CELL.226,CELL.226,0,Injury_15DPI_rep2_FP200000266TR_E2,226,9,VLMC,uninj,V,NO,405.0,4741.0,VLMC,VLMC
CELL.227,CELL.227,0,Injury_15DPI_rep2_FP200000266TR_E2,227,1,VLMC,inj,V,NO,409.0,2492.0,VLMC,VLMC
CELL.230,CELL.230,0,Injury_15DPI_rep2_FP200000266TR_E2,230,1,VLMC,inj,V,NO,407.0,2449.0,VLMC,VLMC
CELL.232,CELL.232,0,Injury_15DPI_rep2_FP200000266TR_E2,232,1,VLMC,inj,V,NO,408.0,1758.0,VLMC,VLMC
