,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,y_center,x_center,inj_uninj,D_V,Annotation_Final,Annotation_0306
CELL.3379,CELL.3379,5,Injury_20DPI_rep2_SS200000147BL_B4,3379,9,9173.0,1995.0,uninj,V,VLMC,VLMC
CELL.3381,CELL.3381,5,Injury_20DPI_rep2_SS200000147BL_B4,3381,9,9530.0,2004.0,uninj,V,VLMC,VLMC
CELL.3394,CELL.3394,1,Injury_20DPI_rep2_SS200000147BL_B4,3394,14,10489.0,2011.0,uninj,V,SSTIN,SSTIN
CELL.3412,CELL.3412,1,Injury_20DPI_rep2_SS200000147BL_B4,3412,4,10398.0,2020.0,uninj,V,CMPN,CMPN
CELL.3424,CELL.3424,1,Injury_20DPI_rep2_SS200000147BL_B4,3424,11,10596.0,2032.0,uninj,V,CCKIN,CCKIN
CELL.3431,CELL.3431,6,Injury_20DPI_rep2_SS200000147BL_B4,3431,11,10566.0,2027.0,uninj,V,CCKIN,CCKIN
CELL.3432,CELL.3432,5,Injury_20DPI_rep2_SS200000147BL_B4,3432,7,11166.0,2029.0,uninj,V,VLMC,VLMC
CELL.3445,CELL.3445,1,Injury_20DPI_rep2_SS200000147BL_B4,3445,11,10624.0,2033.0,uninj,V,CCKIN,CCKIN
CELL.3449,CELL.3449,5,Injury_20DPI_rep2_SS200000147BL_B4,3449,9,9161.0,2027.0,uninj,V,VLMC,VLMC
CELL.3451,CELL.3451,1,Injury_20DPI_rep2_SS200000147BL_B4,3451,4,10342.0,2038.0,uninj,V,CMPN,CMPN
CELL.3454,CELL.3454,6,Injury_20DPI_rep2_SS200000147BL_B4,3454,4,10253.0,2038.0,uninj,V,CMPN,CMPN
CELL.3455,CELL.3455,3,Injury_20DPI_rep2_SS200000147BL_B4,3455,11,10520.0,2030.0,uninj,V,CCKIN,CCKIN
CELL.3460,CELL.3460,5,Injury_20DPI_rep2_SS200000147BL_B4,3460,9,9139.0,2042.0,uninj,V,VLMC,VLMC
CELL.3469,CELL.3469,5,Injury_20DPI_rep2_SS200000147BL_B4,3469,7,11132.0,2043.0,uninj,V,VLMC,VLMC
CELL.3474,CELL.3474,5,Injury_20DPI_rep2_SS200000147BL_B4,3474,9,9104.0,2045.0,uninj,V,VLMC,VLMC
CELL.3476,CELL.3476,5,Injury_20DPI_rep2_SS200000147BL_B4,3476,7,11186.0,2047.0,uninj,V,VLMC,VLMC
CELL.3479,CELL.3479,1,Injury_20DPI_rep2_SS200000147BL_B4,3479,14,10424.0,2044.0,uninj,V,SSTIN,SSTIN
CELL.3487,CELL.3487,1,Injury_20DPI_rep2_SS200000147BL_B4,3487,14,10368.0,2051.0,uninj,V,SSTIN,SSTIN
CELL.3489,CELL.3489,1,Injury_20DPI_rep2_SS200000147BL_B4,3489,4,10176.0,2054.0,uninj,V,CMPN,CMPN
CELL.3490,CELL.3490,3,Injury_20DPI_rep2_SS200000147BL_B4,3490,11,10490.0,2052.0,uninj,V,CCKIN,CCKIN
CELL.3491,CELL.3491,6,Injury_20DPI_rep2_SS200000147BL_B4,3491,7,10879.0,2047.0,uninj,V,VLMC,VLMC
CELL.3495,CELL.3495,1,Injury_20DPI_rep2_SS200000147BL_B4,3495,13,9977.0,2058.0,uninj,V,NPYIN,NPYIN
CELL.3503,CELL.3503,6,Injury_20DPI_rep2_SS200000147BL_B4,3503,14,10112.0,2057.0,uninj,V,SSTIN,SSTIN
CELL.3506,CELL.3506,6,Injury_20DPI_rep2_SS200000147BL_B4,3506,7,10814.0,2061.0,uninj,V,VLMC,VLMC
CELL.3510,CELL.3510,1,Injury_20DPI_rep2_SS200000147BL_B4,3510,11,10789.0,2063.0,uninj,V,CCKIN,CCKIN
CELL.3513,CELL.3513,6,Injury_20DPI_rep2_SS200000147BL_B4,3513,7,9873.0,2067.0,uninj,V,VLMC,VLMC
CELL.3514,CELL.3514,5,Injury_20DPI_rep2_SS200000147BL_B4,3514,7,11153.0,2058.0,uninj,V,VLMC,VLMC
CELL.3517,CELL.3517,6,Injury_20DPI_rep2_SS200000147BL_B4,3517,4,10237.0,2069.0,uninj,V,CMPN,CMPN
CELL.3523,CELL.3523,5,Injury_20DPI_rep2_SS200000147BL_B4,3523,7,10278.0,2065.0,uninj,V,VLMC,VLMC
CELL.3524,CELL.3524,1,Injury_20DPI_rep2_SS200000147BL_B4,3524,4,10327.0,2069.0,uninj,V,CMPN,CMPN
CELL.3525,CELL.3525,3,Injury_20DPI_rep2_SS200000147BL_B4,3525,11,10569.0,2071.0,uninj,V,CCKIN,CCKIN
CELL.3531,CELL.3531,5,Injury_20DPI_rep2_SS200000147BL_B4,3531,9,9072.0,2072.0,uninj,V,VLMC,VLMC
CELL.3536,CELL.3536,1,Injury_20DPI_rep2_SS200000147BL_B4,3536,14,10407.0,2083.0,uninj,V,SSTIN,SSTIN
CELL.3537,CELL.3537,1,Injury_20DPI_rep2_SS200000147BL_B4,3537,11,10627.0,2072.0,uninj,V,CCKIN,CCKIN
CELL.3539,CELL.3539,5,Injury_20DPI_rep2_SS200000147BL_B4,3539,9,9100.0,2073.0,uninj,V,VLMC,VLMC
CELL.3545,CELL.3545,1,Injury_20DPI_rep2_SS200000147BL_B4,3545,7,9847.0,2075.0,uninj,V,NTNG1EX,NTNG1EX
CELL.3548,CELL.3548,3,Injury_20DPI_rep2_SS200000147BL_B4,3548,17,10686.0,2084.0,uninj,V,NTNG1EX,NTNG1EX
CELL.3551,CELL.3551,1,Injury_20DPI_rep2_SS200000147BL_B4,3551,3,10192.0,2084.0,uninj,V,Microglia,MCG
CELL.3552,CELL.3552,3,Injury_20DPI_rep2_SS200000147BL_B4,3552,11,10519.0,2081.0,uninj,V,CCKIN,CCKIN
CELL.3556,CELL.3556,6,Injury_20DPI_rep2_SS200000147BL_B4,3556,4,10465.0,2082.0,uninj,V,CMPN,CMPN
CELL.3557,CELL.3557,1,Injury_20DPI_rep2_SS200000147BL_B4,3557,11,10491.0,2080.0,uninj,V,CCKIN,CCKIN
CELL.3560,CELL.3560,1,Injury_20DPI_rep2_SS200000147BL_B4,3560,4,10216.0,2084.0,uninj,V,CMPN,CMPN
CELL.3563,CELL.3563,5,Injury_20DPI_rep2_SS200000147BL_B4,3563,7,9423.0,2081.0,uninj,V,VLMC,VLMC
CELL.3564,CELL.3564,1,Injury_20DPI_rep2_SS200000147BL_B4,3564,14,10436.0,2087.0,uninj,V,SSTIN,SSTIN
CELL.3565,CELL.3565,5,Injury_20DPI_rep2_SS200000147BL_B4,3565,7,10100.0,2089.0,uninj,V,VLMC,VLMC
CELL.3569,CELL.3569,5,Injury_20DPI_rep2_SS200000147BL_B4,3569,7,9374.0,2090.0,uninj,V,NTNG1EX,NTNG1EX
CELL.3573,CELL.3573,5,Injury_20DPI_rep2_SS200000147BL_B4,3573,9,9059.0,2095.0,uninj,V,VLMC,VLMC
CELL.3574,CELL.3574,5,Injury_20DPI_rep2_SS200000147BL_B4,3574,9,9913.0,2095.0,uninj,V,VLMC,VLMC
CELL.3575,CELL.3575,1,Injury_20DPI_rep2_SS200000147BL_B4,3575,9,9959.0,2090.0,uninj,V,VLMC,VLMC
CELL.3576,CELL.3576,6,Injury_20DPI_rep2_SS200000147BL_B4,3576,7,9873.0,2092.0,uninj,V,VLMC,VLMC
CELL.3581,CELL.3581,1,Injury_20DPI_rep2_SS200000147BL_B4,3581,4,10804.0,2091.0,uninj,V,CMPN,CMPN
CELL.3591,CELL.3591,1,Injury_20DPI_rep2_SS200000147BL_B4,3591,4,10319.0,2094.0,uninj,V,CMPN,CMPN
CELL.3594,CELL.3594,3,Injury_20DPI_rep2_SS200000147BL_B4,3594,11,10557.0,2097.0,uninj,V,CCKIN,CCKIN
CELL.3597,CELL.3597,1,Injury_20DPI_rep2_SS200000147BL_B4,3597,11,10615.0,2103.0,uninj,V,CCKIN,CCKIN
CELL.3598,CELL.3598,1,Injury_20DPI_rep2_SS200000147BL_B4,3598,17,10488.0,2103.0,uninj,V,NTNG1EX,NTNG1EX
CELL.3601,CELL.3601,1,Injury_20DPI_rep2_SS200000147BL_B4,3601,4,10153.0,2113.0,uninj,V,CMPN,CMPN
CELL.3602,CELL.3602,1,Injury_20DPI_rep2_SS200000147BL_B4,3602,4,10273.0,2107.0,uninj,V,CMPN,CMPN
CELL.3603,CELL.3603,3,Injury_20DPI_rep2_SS200000147BL_B4,3603,11,10515.0,2102.0,uninj,V,CCKIN,CCKIN
CELL.3604,CELL.3604,5,Injury_20DPI_rep2_SS200000147BL_B4,3604,4,10720.0,2103.0,uninj,V,CMPN,CMPN
CELL.3607,CELL.3607,1,Injury_20DPI_rep2_SS200000147BL_B4,3607,11,10592.0,2107.0,uninj,V,CCKIN,CCKIN
CELL.3615,CELL.3615,1,Injury_20DPI_rep2_SS200000147BL_B4,3615,17,10053.0,2112.0,uninj,V,NTNG1EX,NTNG1EX
CELL.3617,CELL.3617,6,Injury_20DPI_rep2_SS200000147BL_B4,3617,11,10832.0,2104.0,uninj,V,CCKIN,CCKIN
CELL.3619,CELL.3619,1,Injury_20DPI_rep2_SS200000147BL_B4,3619,4,10191.0,2116.0,uninj,V,CMPN,CMPN
CELL.3622,CELL.3622,3,Injury_20DPI_rep2_SS200000147BL_B4,3622,11,10656.0,2115.0,uninj,V,CCKIN,CCKIN
CELL.3626,CELL.3626,1,Injury_20DPI_rep2_SS200000147BL_B4,3626,14,10445.0,2113.0,uninj,V,SSTIN,SSTIN
CELL.3637,CELL.3637,6,Injury_20DPI_rep2_SS200000147BL_B4,3637,13,9794.0,2121.0,uninj,V,NPYIN,NPYIN
CELL.3638,CELL.3638,1,Injury_20DPI_rep2_SS200000147BL_B4,3638,17,10242.0,2123.0,uninj,V,NTNG1EX,NTNG1EX
CELL.3645,CELL.3645,3,Injury_20DPI_rep2_SS200000147BL_B4,3645,14,10408.0,2124.0,uninj,V,SSTIN,SSTIN
CELL.3647,CELL.3647,3,Injury_20DPI_rep2_SS200000147BL_B4,3647,11,10523.0,2126.0,uninj,V,CCKIN,CCKIN
CELL.3652,CELL.3652,3,Injury_20DPI_rep2_SS200000147BL_B4,3652,11,10493.0,2131.0,uninj,V,CCKIN,CCKIN
CELL.3653,CELL.3653,5,Injury_20DPI_rep2_SS200000147BL_B4,3653,9,9929.0,2122.0,uninj,V,VLMC,VLMC
CELL.3654,CELL.3654,5,Injury_20DPI_rep2_SS200000147BL_B4,3654,9,9116.0,2128.0,uninj,V,VLMC,VLMC
CELL.3656,CELL.3656,1,Injury_20DPI_rep2_SS200000147BL_B4,3656,11,10758.0,2127.0,uninj,V,CCKIN,CCKIN
CELL.3659,CELL.3659,1,Injury_20DPI_rep2_SS200000147BL_B4,3659,4,10356.0,2127.0,uninj,V,CMPN,CMPN
CELL.3662,CELL.3662,1,Injury_20DPI_rep2_SS200000147BL_B4,3662,7,9987.0,2135.0,uninj,V,VLMC,VLMC
CELL.3666,CELL.3666,3,Injury_20DPI_rep2_SS200000147BL_B4,3666,11,10605.0,2130.0,uninj,V,CCKIN,CCKIN
CELL.3667,CELL.3667,1,Injury_20DPI_rep2_SS200000147BL_B4,3667,11,10634.0,2134.0,uninj,V,CCKIN,CCKIN
CELL.3671,CELL.3671,1,Injury_20DPI_rep2_SS200000147BL_B4,3671,13,9833.0,2130.0,uninj,V,NPYIN,NPYIN
CELL.3673,CELL.3673,1,Injury_20DPI_rep2_SS200000147BL_B4,3673,17,10869.0,2134.0,uninj,V,NTNG1EX,NTNG1EX
CELL.3674,CELL.3674,1,Injury_20DPI_rep2_SS200000147BL_B4,3674,4,10019.0,2143.0,uninj,V,CMPN,CMPN
CELL.3675,CELL.3675,1,Injury_20DPI_rep2_SS200000147BL_B4,3675,4,10297.0,2139.0,uninj,V,CMPN,CMPN
CELL.3678,CELL.3678,3,Injury_20DPI_rep2_SS200000147BL_B4,3678,11,10685.0,2139.0,uninj,V,CCKIN,CCKIN
CELL.3680,CELL.3680,1,Injury_20DPI_rep2_SS200000147BL_B4,3680,4,10162.0,2137.0,uninj,V,CMPN,CMPN
CELL.3684,CELL.3684,6,Injury_20DPI_rep2_SS200000147BL_B4,3684,4,10229.0,2142.0,uninj,V,CMPN,CMPN
CELL.3686,CELL.3686,5,Injury_20DPI_rep2_SS200000147BL_B4,3686,9,8985.0,2146.0,uninj,V,VLMC,VLMC
CELL.3688,CELL.3688,1,Injury_20DPI_rep2_SS200000147BL_B4,3688,14,10074.0,2144.0,uninj,V,SSTIN,SSTIN
CELL.3689,CELL.3689,1,Injury_20DPI_rep2_SS200000147BL_B4,3689,17,10106.0,2145.0,uninj,V,NTNG1EX,NTNG1EX
CELL.3690,CELL.3690,1,Injury_20DPI_rep2_SS200000147BL_B4,3690,4,10203.0,2140.0,uninj,V,CMPN,CMPN
CELL.3691,CELL.3691,3,Injury_20DPI_rep2_SS200000147BL_B4,3691,11,10429.0,2141.0,uninj,V,CCKIN,CCKIN
CELL.3693,CELL.3693,1,Injury_20DPI_rep2_SS200000147BL_B4,3693,4,10389.0,2149.0,uninj,V,CMPN,CMPN
CELL.3694,CELL.3694,3,Injury_20DPI_rep2_SS200000147BL_B4,3694,11,10552.0,2147.0,uninj,V,CCKIN,CCKIN
CELL.3699,CELL.3699,6,Injury_20DPI_rep2_SS200000147BL_B4,3699,7,11308.0,2146.0,uninj,V,VLMC,VLMC
CELL.3702,CELL.3702,5,Injury_20DPI_rep2_SS200000147BL_B4,3702,7,9007.0,2149.0,uninj,V,VLMC,VLMC
CELL.3703,CELL.3703,1,Injury_20DPI_rep2_SS200000147BL_B4,3703,9,9952.0,2141.0,uninj,V,VLMC,VLMC
CELL.3705,CELL.3705,3,Injury_20DPI_rep2_SS200000147BL_B4,3705,11,10661.0,2154.0,uninj,V,CCKIN,CCKIN
CELL.3710,CELL.3710,6,Injury_20DPI_rep2_SS200000147BL_B4,3710,7,9141.0,2154.0,uninj,V,VLMC,VLMC
CELL.3711,CELL.3711,1,Injury_20DPI_rep2_SS200000147BL_B4,3711,7,9635.0,2153.0,uninj,V,CMPN,CMPN
CELL.3712,CELL.3712,3,Injury_20DPI_rep2_SS200000147BL_B4,3712,11,10478.0,2156.0,uninj,V,CCKIN,CCKIN
CELL.3717,CELL.3717,1,Injury_20DPI_rep2_SS200000147BL_B4,3717,4,10252.0,2158.0,uninj,V,CMPN,CMPN
CELL.3718,CELL.3718,3,Injury_20DPI_rep2_SS200000147BL_B4,3718,11,10614.0,2161.0,uninj,V,CCKIN,CCKIN
CELL.3721,CELL.3721,1,Injury_20DPI_rep2_SS200000147BL_B4,3721,11,10797.0,2165.0,uninj,V,CCKIN,CCKIN
CELL.3729,CELL.3729,3,Injury_20DPI_rep2_SS200000147BL_B4,3729,11,10521.0,2161.0,uninj,V,CCKIN,CCKIN
CELL.3732,CELL.3732,1,Injury_20DPI_rep2_SS200000147BL_B4,3732,4,10409.0,2164.0,uninj,V,CMPN,CMPN
CELL.3733,CELL.3733,3,Injury_20DPI_rep2_SS200000147BL_B4,3733,11,10699.0,2166.0,uninj,V,CCKIN,CCKIN
CELL.3736,CELL.3736,1,Injury_20DPI_rep2_SS200000147BL_B4,3736,7,9971.0,2166.0,uninj,V,VLMC,VLMC
CELL.3737,CELL.3737,1,Injury_20DPI_rep2_SS200000147BL_B4,3737,4,10283.0,2164.0,uninj,V,CMPN,CMPN
CELL.3738,CELL.3738,1,Injury_20DPI_rep2_SS200000147BL_B4,3738,4,10354.0,2163.0,uninj,V,CMPN,CMPN
CELL.3741,CELL.3741,3,Injury_20DPI_rep2_SS200000147BL_B4,3741,11,10639.0,2168.0,uninj,V,CCKIN,CCKIN
CELL.3745,CELL.3745,1,Injury_20DPI_rep2_SS200000147BL_B4,3745,7,9462.0,2172.0,uninj,V,VLMC,VLMC
CELL.3746,CELL.3746,1,Injury_20DPI_rep2_SS200000147BL_B4,3746,7,9396.0,2167.0,uninj,V,VLMC,VLMC
CELL.3747,CELL.3747,1,Injury_20DPI_rep2_SS200000147BL_B4,3747,10,10964.0,2173.0,uninj,V,Striatum IN,MSN
CELL.3749,CELL.3749,5,Injury_20DPI_rep2_SS200000147BL_B4,3749,9,9000.0,2167.0,uninj,V,VLMC,VLMC
CELL.3750,CELL.3750,1,Injury_20DPI_rep2_SS200000147BL_B4,3750,4,10035.0,2166.0,uninj,V,CMPN,CMPN
CELL.3751,CELL.3751,3,Injury_20DPI_rep2_SS200000147BL_B4,3751,4,10227.0,2168.0,uninj,V,CMPN,CMPN
CELL.3755,CELL.3755,1,Injury_20DPI_rep2_SS200000147BL_B4,3755,4,10170.0,2165.0,uninj,V,CMPN,CMPN
CELL.3756,CELL.3756,1,Injury_20DPI_rep2_SS200000147BL_B4,3756,4,10002.0,2178.0,uninj,V,CMPN,CMPN
CELL.3757,CELL.3757,1,Injury_20DPI_rep2_SS200000147BL_B4,3757,11,10326.0,2178.0,uninj,V,CCKIN,CCKIN
CELL.3758,CELL.3758,5,Injury_20DPI_rep2_SS200000147BL_B4,3758,7,8974.0,2175.0,uninj,V,VLMC,VLMC
CELL.3759,CELL.3759,3,Injury_20DPI_rep2_SS200000147BL_B4,3759,11,10766.0,2177.0,uninj,V,CCKIN,CCKIN
CELL.3761,CELL.3761,3,Injury_20DPI_rep2_SS200000147BL_B4,3761,11,10544.0,2179.0,uninj,V,CCKIN,CCKIN
CELL.3764,CELL.3764,1,Injury_20DPI_rep2_SS200000147BL_B4,3764,17,10110.0,2179.0,uninj,V,NTNG1EX,NTNG1EX
CELL.3774,CELL.3774,3,Injury_20DPI_rep2_SS200000147BL_B4,3774,11,10455.0,2182.0,uninj,V,CCKIN,CCKIN
CELL.3777,CELL.3777,3,Injury_20DPI_rep2_SS200000147BL_B4,3777,11,10607.0,2189.0,uninj,V,CCKIN,CCKIN
CELL.3783,CELL.3783,1,Injury_20DPI_rep2_SS200000147BL_B4,3783,14,10364.0,2184.0,uninj,V,SSTIN,SSTIN
CELL.3784,CELL.3784,3,Injury_20DPI_rep2_SS200000147BL_B4,3784,11,10671.0,2185.0,uninj,V,CCKIN,CCKIN
CELL.3786,CELL.3786,5,Injury_20DPI_rep2_SS200000147BL_B4,3786,9,7578.0,2198.0,inj,V,VLMC,VLMC
CELL.3787,CELL.3787,1,Injury_20DPI_rep2_SS200000147BL_B4,3787,13,9719.0,2190.0,uninj,V,NPYIN,NPYIN
CELL.3788,CELL.3788,1,Injury_20DPI_rep2_SS200000147BL_B4,3788,4,10077.0,2188.0,uninj,V,CMPN,CMPN
CELL.3789,CELL.3789,1,Injury_20DPI_rep2_SS200000147BL_B4,3789,4,10941.0,2190.0,uninj,V,CMPN,CMPN
CELL.3791,CELL.3791,1,Injury_20DPI_rep2_SS200000147BL_B4,3791,4,10273.0,2190.0,uninj,V,CMPN,CMPN
CELL.3792,CELL.3792,3,Injury_20DPI_rep2_SS200000147BL_B4,3792,11,10479.0,2187.0,uninj,V,CCKIN,CCKIN
CELL.3793,CELL.3793,3,Injury_20DPI_rep2_SS200000147BL_B4,3793,11,10414.0,2187.0,uninj,V,CCKIN,CCKIN
CELL.3794,CELL.3794,1,Injury_20DPI_rep2_SS200000147BL_B4,3794,11,10735.0,2187.0,uninj,V,CCKIN,CCKIN
CELL.3797,CELL.3797,1,Injury_20DPI_rep2_SS200000147BL_B4,3797,4,9924.0,2189.0,uninj,V,CMPN,CMPN
