,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,x_center,y_center,inj_uninj,D_V,inj_M_L,Annotation_Final,Annotation_0306
CELL.18013,CELL.18013,2,Injury_10DPI_rep1_SS200000147BL_B5,18013,5,5184.0,2616.0,uninj,D,NO,VLMC,VLMC
CELL.18017,CELL.18017,2,Injury_10DPI_rep1_SS200000147BL_B5,18017,3,5502.0,2613.0,uninj,D,NO,VLMC,VLMC
CELL.18021,CELL.18021,6,Injury_10DPI_rep1_SS200000147BL_B5,18021,3,4973.0,2616.0,uninj,V,NO,VLMC,VLMC
CELL.18038,CELL.18038,2,Injury_10DPI_rep1_SS200000147BL_B5,18038,3,5389.0,2622.0,uninj,D,NO,VLMC,VLMC
CELL.18049,CELL.18049,2,Injury_10DPI_rep1_SS200000147BL_B5,18049,3,5439.0,2621.0,uninj,D,NO,VLMC,VLMC
CELL.18068,CELL.18068,2,Injury_10DPI_rep1_SS200000147BL_B5,18068,3,5542.0,2627.0,uninj,D,NO,VLMC,VLMC
CELL.18082,CELL.18082,2,Injury_10DPI_rep1_SS200000147BL_B5,18082,3,5611.0,2629.0,uninj,D,NO,VLMC,VLMC
CELL.18085,CELL.18085,6,Injury_10DPI_rep1_SS200000147BL_B5,18085,3,5345.0,2636.0,uninj,D,NO,VLMC,VLMC
CELL.18086,CELL.18086,2,Injury_10DPI_rep1_SS200000147BL_B5,18086,3,5585.0,2629.0,uninj,D,NO,VLMC,VLMC
CELL.18088,CELL.18088,2,Injury_10DPI_rep1_SS200000147BL_B5,18088,3,4733.0,2632.0,uninj,V,NO,VLMC,VLMC
CELL.18095,CELL.18095,2,Injury_10DPI_rep1_SS200000147BL_B5,18095,5,5247.0,2636.0,uninj,D,NO,VLMC,VLMC
CELL.18100,CELL.18100,2,Injury_10DPI_rep1_SS200000147BL_B5,18100,5,5295.0,2634.0,uninj,D,NO,VLMC,VLMC
CELL.18103,CELL.18103,6,Injury_10DPI_rep1_SS200000147BL_B5,18103,3,5376.0,2642.0,uninj,D,NO,VLMC,VLMC
CELL.18116,CELL.18116,2,Injury_10DPI_rep1_SS200000147BL_B5,18116,3,5648.0,2640.0,uninj,D,NO,VLMC,VLMC
CELL.18145,CELL.18145,2,Injury_10DPI_rep1_SS200000147BL_B5,18145,3,4472.0,2664.0,uninj,V,NO,VLMC,VLMC
CELL.18146,CELL.18146,2,Injury_10DPI_rep1_SS200000147BL_B5,18146,3,5699.0,2657.0,uninj,D,NO,VLMC,VLMC
CELL.18157,CELL.18157,2,Injury_10DPI_rep1_SS200000147BL_B5,18157,3,4536.0,2662.0,uninj,V,NO,VLMC,VLMC
CELL.18163,CELL.18163,6,Injury_10DPI_rep1_SS200000147BL_B5,18163,3,4434.0,2664.0,uninj,V,NO,VLMC,VLMC
CELL.18166,CELL.18166,2,Injury_10DPI_rep1_SS200000147BL_B5,18166,3,4586.0,2661.0,uninj,V,NO,VLMC,VLMC
CELL.18167,CELL.18167,2,Injury_10DPI_rep1_SS200000147BL_B5,18167,3,5793.0,2669.0,uninj,D,NO,VLMC,VLMC
CELL.18194,CELL.18194,2,Injury_10DPI_rep1_SS200000147BL_B5,18194,3,5847.0,2678.0,uninj,D,NO,VLMC,VLMC
CELL.18206,CELL.18206,2,Injury_10DPI_rep1_SS200000147BL_B5,18206,3,5745.0,2677.0,uninj,D,NO,VLMC,VLMC
CELL.18227,CELL.18227,2,Injury_10DPI_rep1_SS200000147BL_B5,18227,3,5897.0,2693.0,uninj,D,NO,VLMC,VLMC
CELL.18264,CELL.18264,2,Injury_10DPI_rep1_SS200000147BL_B5,18264,3,5805.0,2689.0,uninj,D,NO,VLMC,VLMC
CELL.18274,CELL.18274,2,Injury_10DPI_rep1_SS200000147BL_B5,18274,3,4413.0,2692.0,uninj,V,NO,VLMC,VLMC
CELL.18283,CELL.18283,2,Injury_10DPI_rep1_SS200000147BL_B5,18283,3,5985.0,2707.0,uninj,D,NO,VLMC,VLMC
CELL.18285,CELL.18285,0,Injury_10DPI_rep1_SS200000147BL_B5,18285,1,4837.0,2705.0,uninj,V,NO,Striatum IN,MSN
CELL.18301,CELL.18301,2,Injury_10DPI_rep1_SS200000147BL_B5,18301,3,5359.0,2702.0,uninj,D,NO,VLMC,VLMC
CELL.18307,CELL.18307,2,Injury_10DPI_rep1_SS200000147BL_B5,18307,3,5957.0,2705.0,uninj,D,NO,VLMC,VLMC
CELL.18311,CELL.18311,1,Injury_10DPI_rep1_SS200000147BL_B5,18311,10,5445.0,2707.0,uninj,D,NO,SCGNIN,SCGNIN
CELL.18314,CELL.18314,2,Injury_10DPI_rep1_SS200000147BL_B5,18314,3,5830.0,2703.0,uninj,D,NO,VLMC,VLMC
CELL.18346,CELL.18346,2,Injury_10DPI_rep1_SS200000147BL_B5,18346,3,4291.0,2717.0,uninj,V,NO,VLMC,VLMC
CELL.18352,CELL.18352,6,Injury_10DPI_rep1_SS200000147BL_B5,18352,3,6042.0,2720.0,uninj,D,NO,VLMC,VLMC
CELL.18367,CELL.18367,1,Injury_10DPI_rep1_SS200000147BL_B5,18367,0,5495.0,2725.0,uninj,D,NO,MSN,MSN
CELL.18377,CELL.18377,2,Injury_10DPI_rep1_SS200000147BL_B5,18377,5,4179.0,2730.0,uninj,V,NO,VLMC,VLMC
CELL.18378,CELL.18378,2,Injury_10DPI_rep1_SS200000147BL_B5,18378,5,4225.0,2725.0,uninj,V,NO,VLMC,VLMC
CELL.18388,CELL.18388,1,Injury_10DPI_rep1_SS200000147BL_B5,18388,0,5654.0,2731.0,uninj,D,NO,MSN,MSN
CELL.18392,CELL.18392,2,Injury_10DPI_rep1_SS200000147BL_B5,18392,3,4102.0,2740.0,uninj,V,NO,VLMC,VLMC
CELL.18393,CELL.18393,2,Injury_10DPI_rep1_SS200000147BL_B5,18393,3,6011.0,2727.0,uninj,D,NO,VLMC,VLMC
CELL.18400,CELL.18400,2,Injury_10DPI_rep1_SS200000147BL_B5,18400,5,4147.0,2732.0,uninj,V,NO,VLMC,VLMC
CELL.18403,CELL.18403,2,Injury_10DPI_rep1_SS200000147BL_B5,18403,3,6093.0,2740.0,uninj,D,NO,VLMC,VLMC
CELL.18418,CELL.18418,9,Injury_10DPI_rep1_SS200000147BL_B5,18418,8,5774.0,2739.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.18429,CELL.18429,2,Injury_10DPI_rep1_SS200000147BL_B5,18429,3,5857.0,2730.0,uninj,D,NO,VLMC,VLMC
CELL.18434,CELL.18434,1,Injury_10DPI_rep1_SS200000147BL_B5,18434,10,5583.0,2740.0,uninj,D,NO,SCGNIN,SCGNIN
CELL.18448,CELL.18448,2,Injury_10DPI_rep1_SS200000147BL_B5,18448,5,4225.0,2747.0,uninj,V,NO,VLMC,VLMC
CELL.18449,CELL.18449,2,Injury_10DPI_rep1_SS200000147BL_B5,18449,5,5204.0,2757.0,uninj,D,NO,VLMC,VLMC
CELL.18451,CELL.18451,2,Injury_10DPI_rep1_SS200000147BL_B5,18451,3,4068.0,2751.0,uninj,V,NO,VLMC,VLMC
CELL.18452,CELL.18452,1,Injury_10DPI_rep1_SS200000147BL_B5,18452,5,5025.0,2751.0,uninj,V,NO,VLMC,VLMC
CELL.18453,CELL.18453,2,Injury_10DPI_rep1_SS200000147BL_B5,18453,3,6119.0,2756.0,uninj,D,NO,VLMC,VLMC
CELL.18459,CELL.18459,1,Injury_10DPI_rep1_SS200000147BL_B5,18459,6,5107.0,2744.0,uninj,D,NO,OBNBL,OBNBL
CELL.18460,CELL.18460,1,Injury_10DPI_rep1_SS200000147BL_B5,18460,6,5701.0,2759.0,uninj,D,NO,OBNBL,OBNBL
CELL.18476,CELL.18476,1,Injury_10DPI_rep1_SS200000147BL_B5,18476,6,5147.0,2763.0,uninj,D,NO,OBNBL,OBNBL
CELL.18481,CELL.18481,1,Injury_10DPI_rep1_SS200000147BL_B5,18481,0,5177.0,2755.0,uninj,D,NO,MSN,MSN
CELL.18485,CELL.18485,2,Injury_10DPI_rep1_SS200000147BL_B5,18485,5,4193.0,2753.0,uninj,V,NO,VLMC,VLMC
CELL.18490,CELL.18490,2,Injury_10DPI_rep1_SS200000147BL_B5,18490,3,4026.0,2768.0,uninj,V,NO,VLMC,VLMC
CELL.18492,CELL.18492,2,Injury_10DPI_rep1_SS200000147BL_B5,18492,3,6025.0,2754.0,uninj,D,NO,VLMC,VLMC
CELL.18496,CELL.18496,0,Injury_10DPI_rep1_SS200000147BL_B5,18496,3,5238.0,2756.0,uninj,D,NO,VLMC,VLMC
CELL.18503,CELL.18503,1,Injury_10DPI_rep1_SS200000147BL_B5,18503,0,5454.0,2760.0,uninj,D,NO,MSN,MSN
CELL.18504,CELL.18504,1,Injury_10DPI_rep1_SS200000147BL_B5,18504,6,5665.0,2756.0,uninj,D,NO,OBNBL,OBNBL
CELL.18507,CELL.18507,2,Injury_10DPI_rep1_SS200000147BL_B5,18507,5,4185.0,2766.0,uninj,V,NO,VLMC,VLMC
CELL.18519,CELL.18519,1,Injury_10DPI_rep1_SS200000147BL_B5,18519,3,5746.0,2768.0,uninj,D,NO,VLMC,VLMC
CELL.18527,CELL.18527,1,Injury_10DPI_rep1_SS200000147BL_B5,18527,5,4941.0,2766.0,uninj,V,NO,VLMC,VLMC
CELL.18530,CELL.18530,2,Injury_10DPI_rep1_SS200000147BL_B5,18530,5,3998.0,2769.0,uninj,V,NO,VLMC,VLMC
CELL.18536,CELL.18536,1,Injury_10DPI_rep1_SS200000147BL_B5,18536,0,5509.0,2766.0,uninj,D,NO,MSN,MSN
CELL.18541,CELL.18541,2,Injury_10DPI_rep1_SS200000147BL_B5,18541,3,4055.0,2770.0,uninj,V,NO,VLMC,VLMC
CELL.18542,CELL.18542,6,Injury_10DPI_rep1_SS200000147BL_B5,18542,5,4232.0,2766.0,uninj,V,NO,VLMC,VLMC
CELL.18543,CELL.18543,1,Injury_10DPI_rep1_SS200000147BL_B5,18543,0,5636.0,2760.0,uninj,D,NO,MSN,MSN
CELL.18544,CELL.18544,2,Injury_10DPI_rep1_SS200000147BL_B5,18544,3,6096.0,2770.0,uninj,D,NO,VLMC,VLMC
CELL.18545,CELL.18545,2,Injury_10DPI_rep1_SS200000147BL_B5,18545,3,6143.0,2773.0,uninj,D,NO,VLMC,VLMC
CELL.18557,CELL.18557,2,Injury_10DPI_rep1_SS200000147BL_B5,18557,5,4143.0,2768.0,uninj,V,NO,VLMC,VLMC
CELL.18558,CELL.18558,6,Injury_10DPI_rep1_SS200000147BL_B5,18558,6,5086.0,2771.0,uninj,D,NO,OBNBL,OBNBL
CELL.18559,CELL.18559,1,Injury_10DPI_rep1_SS200000147BL_B5,18559,3,5818.0,2772.0,uninj,D,NO,VLMC,VLMC
CELL.18568,CELL.18568,2,Injury_10DPI_rep1_SS200000147BL_B5,18568,3,4114.0,2773.0,uninj,V,NO,VLMC,VLMC
CELL.18569,CELL.18569,2,Injury_10DPI_rep1_SS200000147BL_B5,18569,3,5222.0,2776.0,uninj,D,NO,VLMC,VLMC
CELL.18578,CELL.18578,1,Injury_10DPI_rep1_SS200000147BL_B5,18578,10,5543.0,2775.0,uninj,D,NO,SCGNIN,SCGNIN
CELL.18579,CELL.18579,1,Injury_10DPI_rep1_SS200000147BL_B5,18579,10,5595.0,2778.0,uninj,D,NO,SCGNIN,SCGNIN
CELL.18607,CELL.18607,2,Injury_10DPI_rep1_SS200000147BL_B5,18607,5,3911.0,2798.0,uninj,V,NO,VLMC,VLMC
CELL.18608,CELL.18608,1,Injury_10DPI_rep1_SS200000147BL_B5,18608,0,5793.0,2786.0,uninj,D,NO,MSN,MSN
CELL.18611,CELL.18611,1,Injury_10DPI_rep1_SS200000147BL_B5,18611,0,5408.0,2786.0,uninj,D,NO,MSN,MSN
CELL.18615,CELL.18615,2,Injury_10DPI_rep1_SS200000147BL_B5,18615,5,3985.0,2790.0,uninj,V,NO,VLMC,VLMC
CELL.18616,CELL.18616,1,Injury_10DPI_rep1_SS200000147BL_B5,18616,5,5010.0,2790.0,uninj,V,NO,VLMC,VLMC
CELL.18626,CELL.18626,2,Injury_10DPI_rep1_SS200000147BL_B5,18626,3,6131.0,2785.0,uninj,D,NO,VLMC,VLMC
CELL.18633,CELL.18633,2,Injury_10DPI_rep1_SS200000147BL_B5,18633,3,4086.0,2785.0,uninj,V,NO,VLMC,VLMC
CELL.18637,CELL.18637,2,Injury_10DPI_rep1_SS200000147BL_B5,18637,5,3958.0,2800.0,uninj,V,NO,VLMC,VLMC
CELL.18646,CELL.18646,1,Injury_10DPI_rep1_SS200000147BL_B5,18646,1,4855.0,2794.0,uninj,V,NO,Striatum IN,MSN
CELL.18651,CELL.18651,2,Injury_10DPI_rep1_SS200000147BL_B5,18651,5,4014.0,2800.0,uninj,V,NO,VLMC,VLMC
CELL.18653,CELL.18653,2,Injury_10DPI_rep1_SS200000147BL_B5,18653,3,6200.0,2797.0,uninj,D,NO,VLMC,VLMC
CELL.18659,CELL.18659,2,Injury_10DPI_rep1_SS200000147BL_B5,18659,3,4163.0,2795.0,uninj,V,NO,VLMC,VLMC
CELL.18664,CELL.18664,1,Injury_10DPI_rep1_SS200000147BL_B5,18664,3,4956.0,2800.0,uninj,V,NO,VLMC,VLMC
CELL.18678,CELL.18678,4,Injury_10DPI_rep1_SS200000147BL_B5,18678,0,5819.0,2807.0,uninj,D,NO,MSN,MSN
CELL.18679,CELL.18679,2,Injury_10DPI_rep1_SS200000147BL_B5,18679,3,6165.0,2800.0,uninj,D,NO,VLMC,VLMC
CELL.18687,CELL.18687,6,Injury_10DPI_rep1_SS200000147BL_B5,18687,1,5373.0,2803.0,uninj,D,NO,Striatum IN,MSN
CELL.18692,CELL.18692,2,Injury_10DPI_rep1_SS200000147BL_B5,18692,5,4045.0,2798.0,uninj,V,NO,VLMC,VLMC
CELL.18693,CELL.18693,2,Injury_10DPI_rep1_SS200000147BL_B5,18693,3,4115.0,2799.0,uninj,V,NO,VLMC,VLMC
CELL.18708,CELL.18708,9,Injury_10DPI_rep1_SS200000147BL_B5,18708,6,5196.0,2816.0,uninj,D,NO,OBNBL,OBNBL
CELL.18709,CELL.18709,1,Injury_10DPI_rep1_SS200000147BL_B5,18709,10,5339.0,2809.0,uninj,D,NO,SCGNIN,SCGNIN
CELL.18710,CELL.18710,4,Injury_10DPI_rep1_SS200000147BL_B5,18710,6,5732.0,2799.0,uninj,D,NO,OBNBL,OBNBL
CELL.18713,CELL.18713,0,Injury_10DPI_rep1_SS200000147BL_B5,18713,6,5164.0,2812.0,uninj,D,NO,OBNBL,OBNBL
CELL.18721,CELL.18721,4,Injury_10DPI_rep1_SS200000147BL_B5,18721,0,5771.0,2818.0,uninj,D,NO,MSN,MSN
CELL.18739,CELL.18739,1,Injury_10DPI_rep1_SS200000147BL_B5,18739,0,5846.0,2820.0,uninj,D,NO,MSN,MSN
CELL.18746,CELL.18746,2,Injury_10DPI_rep1_SS200000147BL_B5,18746,5,3933.0,2818.0,uninj,V,NO,VLMC,VLMC
CELL.18749,CELL.18749,1,Injury_10DPI_rep1_SS200000147BL_B5,18749,0,5455.0,2824.0,uninj,D,NO,MSN,MSN
CELL.18769,CELL.18769,1,Injury_10DPI_rep1_SS200000147BL_B5,18769,6,5026.0,2829.0,uninj,V,NO,OBNBL,OBNBL
CELL.18776,CELL.18776,4,Injury_10DPI_rep1_SS200000147BL_B5,18776,0,4922.0,2831.0,uninj,V,NO,MSN,MSN
CELL.18780,CELL.18780,2,Injury_10DPI_rep1_SS200000147BL_B5,18780,5,3982.0,2825.0,uninj,V,NO,VLMC,VLMC
CELL.18781,CELL.18781,6,Injury_10DPI_rep1_SS200000147BL_B5,18781,8,5128.0,2832.0,uninj,D,NO,NPTXEX,NPTXEX
CELL.18782,CELL.18782,1,Injury_10DPI_rep1_SS200000147BL_B5,18782,0,5399.0,2842.0,uninj,D,NO,MSN,MSN
CELL.18784,CELL.18784,2,Injury_10DPI_rep1_SS200000147BL_B5,18784,3,6259.0,2835.0,uninj,D,NO,VLMC,VLMC
CELL.18791,CELL.18791,2,Injury_10DPI_rep1_SS200000147BL_B5,18791,5,4018.0,2830.0,uninj,V,NO,VLMC,VLMC
CELL.18800,CELL.18800,2,Injury_10DPI_rep1_SS200000147BL_B5,18800,5,4057.0,2830.0,uninj,V,NO,VLMC,VLMC
CELL.18806,CELL.18806,2,Injury_10DPI_rep1_SS200000147BL_B5,18806,5,3876.0,2838.0,uninj,V,NO,VLMC,VLMC
CELL.18816,CELL.18816,1,Injury_10DPI_rep1_SS200000147BL_B5,18816,0,5427.0,2847.0,uninj,D,NO,MSN,MSN
CELL.18825,CELL.18825,1,Injury_10DPI_rep1_SS200000147BL_B5,18825,1,4882.0,2846.0,uninj,V,NO,Striatum IN,MSN
CELL.18826,CELL.18826,4,Injury_10DPI_rep1_SS200000147BL_B5,18826,10,5811.0,2846.0,uninj,D,NO,SCGNIN,SCGNIN
CELL.18832,CELL.18832,4,Injury_10DPI_rep1_SS200000147BL_B5,18832,0,5787.0,2841.0,uninj,D,NO,MSN,MSN
CELL.18840,CELL.18840,4,Injury_10DPI_rep1_SS200000147BL_B5,18840,10,5846.0,2852.0,uninj,D,NO,SCGNIN,SCGNIN
CELL.18846,CELL.18846,2,Injury_10DPI_rep1_SS200000147BL_B5,18846,3,3914.0,2849.0,uninj,V,NO,VLMC,VLMC
CELL.18864,CELL.18864,2,Injury_10DPI_rep1_SS200000147BL_B5,18864,3,3838.0,2862.0,uninj,V,NO,VLMC,VLMC
CELL.18865,CELL.18865,1,Injury_10DPI_rep1_SS200000147BL_B5,18865,0,5054.0,2859.0,uninj,V,NO,MSN,MSN
CELL.18873,CELL.18873,6,Injury_10DPI_rep1_SS200000147BL_B5,18873,6,5724.0,2858.0,uninj,D,NO,MSN,MSN
CELL.18875,CELL.18875,2,Injury_10DPI_rep1_SS200000147BL_B5,18875,5,3966.0,2863.0,uninj,V,NO,VLMC,VLMC
CELL.18880,CELL.18880,0,Injury_10DPI_rep1_SS200000147BL_B5,18880,1,4591.0,2866.0,uninj,V,NO,CMPN,CMPN
CELL.18881,CELL.18881,1,Injury_10DPI_rep1_SS200000147BL_B5,18881,10,5477.0,2857.0,uninj,D,NO,SCGNIN,SCGNIN
CELL.18891,CELL.18891,1,Injury_10DPI_rep1_SS200000147BL_B5,18891,6,5123.0,2868.0,uninj,D,NO,OBNBL,OBNBL
CELL.18892,CELL.18892,1,Injury_10DPI_rep1_SS200000147BL_B5,18892,6,5254.0,2864.0,uninj,D,NO,OBNBL,OBNBL
CELL.18893,CELL.18893,6,Injury_10DPI_rep1_SS200000147BL_B5,18893,6,5652.0,2862.0,uninj,D,NO,OBNBL,OBNBL
CELL.18897,CELL.18897,1,Injury_10DPI_rep1_SS200000147BL_B5,18897,6,5008.0,2866.0,uninj,V,NO,OBNBL,OBNBL
CELL.18898,CELL.18898,1,Injury_10DPI_rep1_SS200000147BL_B5,18898,6,5089.0,2866.0,uninj,D,NO,OBNBL,OBNBL
CELL.18902,CELL.18902,4,Injury_10DPI_rep1_SS200000147BL_B5,18902,0,5375.0,2861.0,uninj,D,NO,MSN,MSN
CELL.18906,CELL.18906,1,Injury_10DPI_rep1_SS200000147BL_B5,18906,0,4825.0,2864.0,uninj,V,NO,MSN,MSN
CELL.18911,CELL.18911,1,Injury_10DPI_rep1_SS200000147BL_B5,18911,6,5150.0,2875.0,uninj,D,NO,OBNBL,OBNBL
CELL.18913,CELL.18913,1,Injury_10DPI_rep1_SS200000147BL_B5,18913,10,5790.0,2866.0,uninj,D,NO,SCGNIN,SCGNIN
CELL.18921,CELL.18921,1,Injury_10DPI_rep1_SS200000147BL_B5,18921,6,5525.0,2872.0,uninj,D,NO,OBNBL,OBNBL
CELL.18931,CELL.18931,1,Injury_10DPI_rep1_SS200000147BL_B5,18931,0,5418.0,2869.0,uninj,D,NO,MSN,MSN
CELL.18934,CELL.18934,6,Injury_10DPI_rep1_SS200000147BL_B5,18934,3,4425.0,2881.0,uninj,V,NO,VLMC,VLMC
CELL.18937,CELL.18937,1,Injury_10DPI_rep1_SS200000147BL_B5,18937,6,4788.0,2877.0,uninj,V,NO,MSN,MSN
CELL.18939,CELL.18939,6,Injury_10DPI_rep1_SS200000147BL_B5,18939,1,4337.0,2877.0,uninj,V,NO,CMPN,CMPN
CELL.18946,CELL.18946,4,Injury_10DPI_rep1_SS200000147BL_B5,18946,0,5607.0,2881.0,uninj,D,NO,MSN,MSN
CELL.18949,CELL.18949,2,Injury_10DPI_rep1_SS200000147BL_B5,18949,3,4171.0,2882.0,uninj,V,NO,VLMC,VLMC
CELL.18963,CELL.18963,1,Injury_10DPI_rep1_SS200000147BL_B5,18963,6,5570.0,2887.0,uninj,D,NO,OBNBL,OBNBL
CELL.18964,CELL.18964,4,Injury_10DPI_rep1_SS200000147BL_B5,18964,10,5823.0,2882.0,uninj,D,NO,SCGNIN,SCGNIN
CELL.18967,CELL.18967,1,Injury_10DPI_rep1_SS200000147BL_B5,18967,10,5688.0,2888.0,uninj,D,NO,SCGNIN,SCGNIN
CELL.18990,CELL.18990,1,Injury_10DPI_rep1_SS200000147BL_B5,18990,1,5952.0,2890.0,uninj,D,NO,Striatum IN,MSN
CELL.18994,CELL.18994,1,Injury_10DPI_rep1_SS200000147BL_B5,18994,1,5039.0,2886.0,uninj,V,NO,Striatum IN,MSN
CELL.18998,CELL.18998,2,Injury_10DPI_rep1_SS200000147BL_B5,18998,3,6420.0,2895.0,uninj,D,NO,VLMC,VLMC
CELL.19002,CELL.19002,0,Injury_10DPI_rep1_SS200000147BL_B5,19002,3,5985.0,2889.0,uninj,D,NO,VLMC,VLMC
CELL.19005,CELL.19005,2,Injury_10DPI_rep1_SS200000147BL_B5,19005,3,3778.0,2895.0,uninj,V,NO,VLMC,VLMC
CELL.19006,CELL.19006,4,Injury_10DPI_rep1_SS200000147BL_B5,19006,0,5729.0,2903.0,uninj,D,NO,MSN,MSN
CELL.19010,CELL.19010,1,Injury_10DPI_rep1_SS200000147BL_B5,19010,0,5876.0,2898.0,uninj,D,NO,MSN,MSN
CELL.19014,CELL.19014,2,Injury_10DPI_rep1_SS200000147BL_B5,19014,3,3859.0,2895.0,uninj,V,NO,VLMC,VLMC
CELL.19015,CELL.19015,6,Injury_10DPI_rep1_SS200000147BL_B5,19015,1,4347.0,2898.0,uninj,V,NO,Striatum IN,MSN
CELL.19019,CELL.19019,6,Injury_10DPI_rep1_SS200000147BL_B5,19019,7,3916.0,2896.0,uninj,V,NO,VLMC,VLMC
CELL.19020,CELL.19020,1,Injury_10DPI_rep1_SS200000147BL_B5,19020,10,5633.0,2898.0,uninj,D,NO,SCGNIN,SCGNIN
CELL.19026,CELL.19026,1,Injury_10DPI_rep1_SS200000147BL_B5,19026,0,4611.0,2896.0,uninj,V,NO,MSN,MSN
CELL.19027,CELL.19027,6,Injury_10DPI_rep1_SS200000147BL_B5,19027,1,5969.0,2900.0,uninj,D,NO,Striatum IN,MSN
CELL.19034,CELL.19034,1,Injury_10DPI_rep1_SS200000147BL_B5,19034,6,4959.0,2891.0,uninj,V,NO,OBNBL,OBNBL
CELL.19035,CELL.19035,1,Injury_10DPI_rep1_SS200000147BL_B5,19035,6,5100.0,2895.0,uninj,D,NO,OBNBL,OBNBL
CELL.19036,CELL.19036,1,Injury_10DPI_rep1_SS200000147BL_B5,19036,6,5130.0,2900.0,uninj,D,NO,MSN,MSN
CELL.19041,CELL.19041,1,Injury_10DPI_rep1_SS200000147BL_B5,19041,1,5077.0,2893.0,uninj,V,NO,Striatum IN,MSN
CELL.19042,CELL.19042,4,Injury_10DPI_rep1_SS200000147BL_B5,19042,0,5790.0,2901.0,uninj,D,NO,MSN,MSN
CELL.19046,CELL.19046,6,Injury_10DPI_rep1_SS200000147BL_B5,19046,6,4920.0,2904.0,uninj,V,NO,OBNBL,OBNBL
CELL.19047,CELL.19047,1,Injury_10DPI_rep1_SS200000147BL_B5,19047,8,5057.0,2898.0,uninj,V,NO,NPTXEX,NPTXEX
CELL.19050,CELL.19050,6,Injury_10DPI_rep1_SS200000147BL_B5,19050,3,6468.0,2904.0,uninj,D,NO,VLMC,VLMC
CELL.19060,CELL.19060,4,Injury_10DPI_rep1_SS200000147BL_B5,19060,10,5511.0,2913.0,uninj,D,NO,SCGNIN,SCGNIN
CELL.19063,CELL.19063,1,Injury_10DPI_rep1_SS200000147BL_B5,19063,0,5393.0,2909.0,uninj,D,NO,MSN,MSN
CELL.19069,CELL.19069,4,Injury_10DPI_rep1_SS200000147BL_B5,19069,0,5601.0,2910.0,uninj,D,NO,MSN,MSN
CELL.19070,CELL.19070,2,Injury_10DPI_rep1_SS200000147BL_B5,19070,3,6379.0,2905.0,uninj,D,NO,VLMC,VLMC
CELL.19078,CELL.19078,2,Injury_10DPI_rep1_SS200000147BL_B5,19078,3,4182.0,2909.0,uninj,V,NO,VLMC,VLMC
CELL.19090,CELL.19090,1,Injury_10DPI_rep1_SS200000147BL_B5,19090,0,5214.0,2916.0,uninj,D,NO,MSN,MSN
CELL.19095,CELL.19095,2,Injury_10DPI_rep1_SS200000147BL_B5,19095,3,3792.0,2919.0,uninj,V,NO,VLMC,VLMC
CELL.19096,CELL.19096,1,Injury_10DPI_rep1_SS200000147BL_B5,19096,0,5630.0,2919.0,uninj,D,NO,SCGNIN,SCGNIN
CELL.19111,CELL.19111,2,Injury_10DPI_rep1_SS200000147BL_B5,19111,3,6456.0,2921.0,uninj,D,NO,VLMC,VLMC
