,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,Celltype,inj_uninj,D_V,Annotation_Final,Annotation_0306
CELL.66,CELL.66,5,Injury_60DPI_rep3_FP200000264BL_A6,66,9,NPTXEX,inj,D,DPEX,DPEX
CELL.67,CELL.67,4,Injury_60DPI_rep3_FP200000264BL_A6,67,14,VLMC,uninj,D,VLMC,VLMC
CELL.68,CELL.68,4,Injury_60DPI_rep3_FP200000264BL_A6,68,0,CP,inj,D,VLMC,VLMC
CELL.69,CELL.69,4,Injury_60DPI_rep3_FP200000264BL_A6,69,14,VLMC,inj,D,VLMC,VLMC
CELL.70,CELL.70,5,Injury_60DPI_rep3_FP200000264BL_A6,70,0,VLMC,inj,D,VLMC,VLMC
CELL.71,CELL.71,5,Injury_60DPI_rep3_FP200000264BL_A6,71,0,SSTIN,uninj,D,VLMC,VLMC
CELL.72,CELL.72,5,Injury_60DPI_rep3_FP200000264BL_A6,72,14,VLMC,inj,D,VLMC,VLMC
CELL.73,CELL.73,4,Injury_60DPI_rep3_FP200000264BL_A6,73,0,CP,uninj,D,VLMC,VLMC
CELL.75,CELL.75,5,Injury_60DPI_rep3_FP200000264BL_A6,75,0,CP,inj,D,VLMC,VLMC
CELL.76,CELL.76,5,Injury_60DPI_rep3_FP200000264BL_A6,76,0,CP,uninj,D,VLMC,VLMC
CELL.77,CELL.77,5,Injury_60DPI_rep3_FP200000264BL_A6,77,14,VLMC,inj,D,VLMC,VLMC
CELL.78,CELL.78,5,Injury_60DPI_rep3_FP200000264BL_A6,78,0,VLMC,inj,D,VLMC,VLMC
CELL.79,CELL.79,4,Injury_60DPI_rep3_FP200000264BL_A6,79,4,CP,inj,D,VLMC,VLMC
CELL.81,CELL.81,5,Injury_60DPI_rep3_FP200000264BL_A6,81,0,VLMC,inj,D,VLMC,VLMC
CELL.82,CELL.82,5,Injury_60DPI_rep3_FP200000264BL_A6,82,0,VLMC,inj,D,VLMC,VLMC
CELL.86,CELL.86,5,Injury_60DPI_rep3_FP200000264BL_A6,86,14,VLMC,inj,D,VLMC,VLMC
CELL.87,CELL.87,4,Injury_60DPI_rep3_FP200000264BL_A6,87,0,CP,inj,D,VLMC,VLMC
CELL.88,CELL.88,4,Injury_60DPI_rep3_FP200000264BL_A6,88,14,VLMC,uninj,D,VLMC,VLMC
CELL.90,CELL.90,3,Injury_60DPI_rep3_FP200000264BL_A6,90,0,SSTIN,uninj,D,VLMC,VLMC
CELL.92,CELL.92,5,Injury_60DPI_rep3_FP200000264BL_A6,92,14,VLMC,inj,D,VLMC,VLMC
CELL.93,CELL.93,4,Injury_60DPI_rep3_FP200000264BL_A6,93,14,CP,inj,D,VLMC,VLMC
CELL.94,CELL.94,5,Injury_60DPI_rep3_FP200000264BL_A6,94,14,VLMC,inj,D,VLMC,VLMC
CELL.95,CELL.95,5,Injury_60DPI_rep3_FP200000264BL_A6,95,14,VLMC,inj,D,VLMC,VLMC
CELL.97,CELL.97,4,Injury_60DPI_rep3_FP200000264BL_A6,97,14,VLMC,uninj,D,VLMC,VLMC
CELL.99,CELL.99,5,Injury_60DPI_rep3_FP200000264BL_A6,99,9,NPTXEX,inj,D,DPEX,DPEX
CELL.100,CELL.100,4,Injury_60DPI_rep3_FP200000264BL_A6,100,14,VLMC,uninj,D,VLMC,VLMC
CELL.102,CELL.102,5,Injury_60DPI_rep3_FP200000264BL_A6,102,0,CP,inj,D,VLMC,VLMC
CELL.109,CELL.109,5,Injury_60DPI_rep3_FP200000264BL_A6,109,0,VLMC,inj,D,VLMC,VLMC
CELL.110,CELL.110,5,Injury_60DPI_rep3_FP200000264BL_A6,110,14,VLMC,uninj,D,VLMC,VLMC
CELL.111,CELL.111,5,Injury_60DPI_rep3_FP200000264BL_A6,111,0,CP,uninj,D,VLMC,VLMC
CELL.112,CELL.112,4,Injury_60DPI_rep3_FP200000264BL_A6,112,4,CP,inj,D,VLMC,VLMC
CELL.113,CELL.113,5,Injury_60DPI_rep3_FP200000264BL_A6,113,0,CP,inj,D,VLMC,VLMC
CELL.115,CELL.115,5,Injury_60DPI_rep3_FP200000264BL_A6,115,14,VLMC,inj,D,VLMC,VLMC
CELL.116,CELL.116,5,Injury_60DPI_rep3_FP200000264BL_A6,116,4,CP,inj,D,VLMC,VLMC
CELL.117,CELL.117,4,Injury_60DPI_rep3_FP200000264BL_A6,117,4,CP,inj,D,VLMC,VLMC
CELL.120,CELL.120,5,Injury_60DPI_rep3_FP200000264BL_A6,120,4,CP,uninj,D,VLMC,VLMC
CELL.123,CELL.123,5,Injury_60DPI_rep3_FP200000264BL_A6,123,5,NPYIN,inj,D,MSN,MSN
CELL.128,CELL.128,5,Injury_60DPI_rep3_FP200000264BL_A6,128,14,VLMC,uninj,D,VLMC,VLMC
CELL.129,CELL.129,5,Injury_60DPI_rep3_FP200000264BL_A6,129,14,VLMC,inj,D,VLMC,VLMC
CELL.134,CELL.134,6,Injury_60DPI_rep3_FP200000264BL_A6,134,12,SSTIN,uninj,D,MPEX,MPEX
CELL.136,CELL.136,5,Injury_60DPI_rep3_FP200000264BL_A6,136,0,CP,inj,D,VLMC,VLMC
CELL.137,CELL.137,5,Injury_60DPI_rep3_FP200000264BL_A6,137,0,CP,inj,D,VLMC,VLMC
CELL.138,CELL.138,4,Injury_60DPI_rep3_FP200000264BL_A6,138,14,VLMC,uninj,D,VLMC,VLMC
CELL.139,CELL.139,5,Injury_60DPI_rep3_FP200000264BL_A6,139,14,VLMC,uninj,D,VLMC,VLMC
CELL.141,CELL.141,4,Injury_60DPI_rep3_FP200000264BL_A6,141,4,CP,inj,D,VLMC,VLMC
CELL.144,CELL.144,4,Injury_60DPI_rep3_FP200000264BL_A6,144,14,VLMC,uninj,D,VLMC,VLMC
CELL.146,CELL.146,5,Injury_60DPI_rep3_FP200000264BL_A6,146,11,BKC,inj,D,CCKIN,CCKIN
CELL.148,CELL.148,4,Injury_60DPI_rep3_FP200000264BL_A6,148,14,VLMC,uninj,D,VLMC,VLMC
CELL.151,CELL.151,5,Injury_60DPI_rep3_FP200000264BL_A6,151,0,CP,inj,D,VLMC,VLMC
CELL.153,CELL.153,4,Injury_60DPI_rep3_FP200000264BL_A6,153,14,VLMC,uninj,D,VLMC,VLMC
CELL.154,CELL.154,4,Injury_60DPI_rep3_FP200000264BL_A6,154,14,VLMC,uninj,D,VLMC,VLMC
CELL.156,CELL.156,1,Injury_60DPI_rep3_FP200000264BL_A6,156,9,NPTXEX,uninj,D,DPEX,DPEX
CELL.157,CELL.157,5,Injury_60DPI_rep3_FP200000264BL_A6,157,0,CP,inj,D,VLMC,VLMC
CELL.158,CELL.158,4,Injury_60DPI_rep3_FP200000264BL_A6,158,14,VLMC,uninj,D,VLMC,VLMC
CELL.159,CELL.159,5,Injury_60DPI_rep3_FP200000264BL_A6,159,0,CP,inj,D,VLMC,VLMC
CELL.160,CELL.160,5,Injury_60DPI_rep3_FP200000264BL_A6,160,14,VLMC,inj,D,VLMC,VLMC
CELL.161,CELL.161,7,Injury_60DPI_rep3_FP200000264BL_A6,161,7,NPTXEX,inj,D,NPTXEX,NPTXEX
CELL.163,CELL.163,5,Injury_60DPI_rep3_FP200000264BL_A6,163,14,VLMC,inj,D,VLMC,VLMC
CELL.164,CELL.164,4,Injury_60DPI_rep3_FP200000264BL_A6,164,4,CP,inj,D,VLMC,VLMC
CELL.165,CELL.165,4,Injury_60DPI_rep3_FP200000264BL_A6,165,0,CP,inj,D,VLMC,VLMC
CELL.166,CELL.166,4,Injury_60DPI_rep3_FP200000264BL_A6,166,14,VLMC,inj,D,VLMC,VLMC
CELL.167,CELL.167,5,Injury_60DPI_rep3_FP200000264BL_A6,167,7,NPTXEX,inj,D,NPTXEX,NPTXEX
CELL.171,CELL.171,5,Injury_60DPI_rep3_FP200000264BL_A6,171,14,VLMC,inj,D,VLMC,VLMC
CELL.173,CELL.173,5,Injury_60DPI_rep3_FP200000264BL_A6,173,0,CP,inj,D,VLMC,VLMC
CELL.175,CELL.175,6,Injury_60DPI_rep3_FP200000264BL_A6,175,12,MPEX,uninj,D,MPEX,MPEX
CELL.177,CELL.177,5,Injury_60DPI_rep3_FP200000264BL_A6,177,0,CP,inj,D,VLMC,VLMC
CELL.181,CELL.181,6,Injury_60DPI_rep3_FP200000264BL_A6,181,12,SSTIN,uninj,D,SSTIN,SSTIN
CELL.182,CELL.182,4,Injury_60DPI_rep3_FP200000264BL_A6,182,14,VLMC,uninj,D,VLMC,VLMC
CELL.183,CELL.183,5,Injury_60DPI_rep3_FP200000264BL_A6,183,0,CP,inj,D,VLMC,VLMC
CELL.185,CELL.185,4,Injury_60DPI_rep3_FP200000264BL_A6,185,4,CP,uninj,D,VLMC,VLMC
CELL.186,CELL.186,6,Injury_60DPI_rep3_FP200000264BL_A6,186,9,NPTXEX,uninj,D,DPEX,DPEX
CELL.187,CELL.187,5,Injury_60DPI_rep3_FP200000264BL_A6,187,5,SSTIN,inj,D,MSN,MSN
CELL.188,CELL.188,4,Injury_60DPI_rep3_FP200000264BL_A6,188,0,VLMC,inj,D,VLMC,VLMC
CELL.189,CELL.189,5,Injury_60DPI_rep3_FP200000264BL_A6,189,5,StriatumIN,inj,D,MSN,MSN
CELL.190,CELL.190,4,Injury_60DPI_rep3_FP200000264BL_A6,190,0,CP,inj,D,VLMC,VLMC
CELL.191,CELL.191,5,Injury_60DPI_rep3_FP200000264BL_A6,191,12,MPEX,inj,D,MPIN,MPIN
CELL.193,CELL.193,4,Injury_60DPI_rep3_FP200000264BL_A6,193,4,CP,uninj,D,VLMC,VLMC
CELL.194,CELL.194,5,Injury_60DPI_rep3_FP200000264BL_A6,194,0,CP,inj,D,VLMC,VLMC
CELL.198,CELL.198,5,Injury_60DPI_rep3_FP200000264BL_A6,198,14,VLMC,uninj,D,VLMC,VLMC
CELL.202,CELL.202,5,Injury_60DPI_rep3_FP200000264BL_A6,202,0,CP,inj,D,VLMC,VLMC
CELL.203,CELL.203,5,Injury_60DPI_rep3_FP200000264BL_A6,203,0,CP,inj,D,VLMC,VLMC
CELL.205,CELL.205,5,Injury_60DPI_rep3_FP200000264BL_A6,205,5,StriatumIN,inj,D,MSN,MSN
CELL.208,CELL.208,5,Injury_60DPI_rep3_FP200000264BL_A6,208,9,NPTXEX,inj,D,DPEX,DPEX
CELL.209,CELL.209,6,Injury_60DPI_rep3_FP200000264BL_A6,209,9,NPTXEX,uninj,D,DPEX,DPEX
CELL.210,CELL.210,4,Injury_60DPI_rep3_FP200000264BL_A6,210,14,VLMC,uninj,D,VLMC,VLMC
CELL.211,CELL.211,5,Injury_60DPI_rep3_FP200000264BL_A6,211,0,CP,inj,D,VLMC,VLMC
CELL.216,CELL.216,5,Injury_60DPI_rep3_FP200000264BL_A6,216,14,VLMC,inj,D,VLMC,VLMC
CELL.217,CELL.217,4,Injury_60DPI_rep3_FP200000264BL_A6,217,4,CP,uninj,D,VLMC,VLMC
CELL.218,CELL.218,5,Injury_60DPI_rep3_FP200000264BL_A6,218,14,VLMC,inj,D,VLMC,VLMC
CELL.219,CELL.219,5,Injury_60DPI_rep3_FP200000264BL_A6,219,0,CP,inj,D,VLMC,VLMC
CELL.221,CELL.221,4,Injury_60DPI_rep3_FP200000264BL_A6,221,4,CP,inj,D,VLMC,VLMC
CELL.222,CELL.222,4,Injury_60DPI_rep3_FP200000264BL_A6,222,14,VLMC,uninj,D,VLMC,VLMC
CELL.225,CELL.225,5,Injury_60DPI_rep3_FP200000264BL_A6,225,14,VLMC,inj,D,VLMC,VLMC
CELL.226,CELL.226,4,Injury_60DPI_rep3_FP200000264BL_A6,226,14,VLMC,inj,D,VLMC,VLMC
CELL.227,CELL.227,5,Injury_60DPI_rep3_FP200000264BL_A6,227,0,CP,inj,D,VLMC,VLMC
CELL.228,CELL.228,5,Injury_60DPI_rep3_FP200000264BL_A6,228,0,CP,inj,D,VLMC,VLMC
CELL.231,CELL.231,4,Injury_60DPI_rep3_FP200000264BL_A6,231,0,CP,inj,D,VLMC,VLMC
CELL.232,CELL.232,5,Injury_60DPI_rep3_FP200000264BL_A6,232,0,CP,inj,D,VLMC,VLMC
CELL.233,CELL.233,6,Injury_60DPI_rep3_FP200000264BL_A6,233,12,SSTIN,uninj,D,MPEX,MPEX
CELL.234,CELL.234,5,Injury_60DPI_rep3_FP200000264BL_A6,234,0,CP,inj,D,VLMC,VLMC
CELL.238,CELL.238,4,Injury_60DPI_rep3_FP200000264BL_A6,238,4,CP,inj,D,VLMC,VLMC
CELL.239,CELL.239,6,Injury_60DPI_rep3_FP200000264BL_A6,239,9,NPTXEX,uninj,D,DPEX,DPEX
CELL.242,CELL.242,6,Injury_60DPI_rep3_FP200000264BL_A6,242,9,NPTXEX,uninj,D,DPEX,DPEX
CELL.243,CELL.243,5,Injury_60DPI_rep3_FP200000264BL_A6,243,0,CP,inj,D,VLMC,VLMC
CELL.244,CELL.244,1,Injury_60DPI_rep3_FP200000264BL_A6,244,0,CP,uninj,D,VLMC,VLMC
CELL.245,CELL.245,4,Injury_60DPI_rep3_FP200000264BL_A6,245,4,CP,inj,D,VLMC,VLMC
CELL.246,CELL.246,5,Injury_60DPI_rep3_FP200000264BL_A6,246,0,CP,inj,D,VLMC,VLMC
CELL.247,CELL.247,4,Injury_60DPI_rep3_FP200000264BL_A6,247,14,VLMC,uninj,D,VLMC,VLMC
CELL.249,CELL.249,6,Injury_60DPI_rep3_FP200000264BL_A6,249,12,MPEX,uninj,D,MPIN,MPIN
CELL.251,CELL.251,4,Injury_60DPI_rep3_FP200000264BL_A6,251,0,CP,uninj,D,VLMC,VLMC
CELL.252,CELL.252,4,Injury_60DPI_rep3_FP200000264BL_A6,252,14,VLMC,uninj,D,VLMC,VLMC
CELL.256,CELL.256,5,Injury_60DPI_rep3_FP200000264BL_A6,256,0,CP,inj,D,VLMC,VLMC
CELL.257,CELL.257,3,Injury_60DPI_rep3_FP200000264BL_A6,257,12,SSTIN,inj,D,MPEX,MPEX
CELL.260,CELL.260,6,Injury_60DPI_rep3_FP200000264BL_A6,260,12,SSTIN,uninj,D,MPEX,MPEX
CELL.261,CELL.261,5,Injury_60DPI_rep3_FP200000264BL_A6,261,0,CP,inj,D,VLMC,VLMC
CELL.262,CELL.262,6,Injury_60DPI_rep3_FP200000264BL_A6,262,9,NPTXEX,uninj,D,DPEX,DPEX
CELL.265,CELL.265,3,Injury_60DPI_rep3_FP200000264BL_A6,265,12,SSTIN,inj,D,MPEX,MPEX
CELL.266,CELL.266,4,Injury_60DPI_rep3_FP200000264BL_A6,266,4,CP,inj,D,VLMC,VLMC
CELL.270,CELL.270,4,Injury_60DPI_rep3_FP200000264BL_A6,270,4,CP,inj,D,VLMC,VLMC
CELL.274,CELL.274,6,Injury_60DPI_rep3_FP200000264BL_A6,274,9,NPTXEX,uninj,D,DPEX,DPEX
CELL.275,CELL.275,5,Injury_60DPI_rep3_FP200000264BL_A6,275,14,VLMC,inj,D,VLMC,VLMC
CELL.278,CELL.278,5,Injury_60DPI_rep3_FP200000264BL_A6,278,0,CP,uninj,D,VLMC,VLMC
CELL.280,CELL.280,4,Injury_60DPI_rep3_FP200000264BL_A6,280,4,CP,uninj,D,VLMC,VLMC
CELL.281,CELL.281,5,Injury_60DPI_rep3_FP200000264BL_A6,281,9,NPTXEX,inj,D,NPTXEX,NPTXEX
CELL.283,CELL.283,6,Injury_60DPI_rep3_FP200000264BL_A6,283,9,NPTXEX,uninj,D,DPEX,DPEX
CELL.285,CELL.285,4,Injury_60DPI_rep3_FP200000264BL_A6,285,14,VLMC,uninj,D,VLMC,VLMC
CELL.291,CELL.291,6,Injury_60DPI_rep3_FP200000264BL_A6,291,12,SSTIN,uninj,D,SSTIN,SSTIN
CELL.292,CELL.292,6,Injury_60DPI_rep3_FP200000264BL_A6,292,9,NPTXEX,inj,D,DPEX,DPEX
CELL.295,CELL.295,6,Injury_60DPI_rep3_FP200000264BL_A6,295,9,DPEX,uninj,D,DPEX,DPEX
CELL.297,CELL.297,4,Injury_60DPI_rep3_FP200000264BL_A6,297,0,CP,uninj,D,VLMC,VLMC
CELL.299,CELL.299,6,Injury_60DPI_rep3_FP200000264BL_A6,299,12,SSTIN,uninj,D,MPEX,MPEX
CELL.300,CELL.300,5,Injury_60DPI_rep3_FP200000264BL_A6,300,14,VLMC,inj,D,VLMC,VLMC
CELL.302,CELL.302,4,Injury_60DPI_rep3_FP200000264BL_A6,302,14,VLMC,uninj,D,VLMC,VLMC
CELL.304,CELL.304,6,Injury_60DPI_rep3_FP200000264BL_A6,304,9,NPTXEX,uninj,D,DPEX,DPEX
CELL.305,CELL.305,5,Injury_60DPI_rep3_FP200000264BL_A6,305,0,CP,inj,D,VLMC,VLMC
CELL.306,CELL.306,5,Injury_60DPI_rep3_FP200000264BL_A6,306,0,VLMC,inj,D,VLMC,VLMC
CELL.307,CELL.307,6,Injury_60DPI_rep3_FP200000264BL_A6,307,5,StriatumIN,uninj,D,MSN,MSN
CELL.308,CELL.308,6,Injury_60DPI_rep3_FP200000264BL_A6,308,9,NPTXEX,uninj,D,DPEX,DPEX
CELL.310,CELL.310,5,Injury_60DPI_rep3_FP200000264BL_A6,310,0,CP,uninj,D,VLMC,VLMC
CELL.311,CELL.311,5,Injury_60DPI_rep3_FP200000264BL_A6,311,0,CP,inj,D,VLMC,VLMC
CELL.314,CELL.314,5,Injury_60DPI_rep3_FP200000264BL_A6,314,4,CP,inj,D,VLMC,VLMC
CELL.315,CELL.315,3,Injury_60DPI_rep3_FP200000264BL_A6,315,0,CP,uninj,D,VLMC,VLMC
CELL.317,CELL.317,4,Injury_60DPI_rep3_FP200000264BL_A6,317,4,CP,uninj,D,VLMC,VLMC
CELL.319,CELL.319,5,Injury_60DPI_rep3_FP200000264BL_A6,319,14,VLMC,inj,D,VLMC,VLMC
CELL.321,CELL.321,6,Injury_60DPI_rep3_FP200000264BL_A6,321,12,SSTIN,uninj,D,SSTIN,SSTIN
CELL.322,CELL.322,5,Injury_60DPI_rep3_FP200000264BL_A6,322,0,CP,uninj,D,VLMC,VLMC
CELL.323,CELL.323,5,Injury_60DPI_rep3_FP200000264BL_A6,323,12,MPEX,inj,D,MPIN,MPIN
CELL.327,CELL.327,4,Injury_60DPI_rep3_FP200000264BL_A6,327,0,CP,inj,D,VLMC,VLMC
CELL.331,CELL.331,6,Injury_60DPI_rep3_FP200000264BL_A6,331,9,MPEX,uninj,D,MPEX,MPEX
CELL.332,CELL.332,6,Injury_60DPI_rep3_FP200000264BL_A6,332,9,NPTXEX,uninj,D,DPEX,DPEX
CELL.334,CELL.334,4,Injury_60DPI_rep3_FP200000264BL_A6,334,4,CP,inj,D,VLMC,VLMC
CELL.335,CELL.335,5,Injury_60DPI_rep3_FP200000264BL_A6,335,10,WNTRGC,uninj,D,Immature EX,TLNBL
CELL.336,CELL.336,4,Injury_60DPI_rep3_FP200000264BL_A6,336,14,VLMC,uninj,D,VLMC,VLMC
CELL.339,CELL.339,6,Injury_60DPI_rep3_FP200000264BL_A6,339,12,SSTIN,uninj,D,SSTIN,SSTIN
CELL.340,CELL.340,6,Injury_60DPI_rep3_FP200000264BL_A6,340,12,SSTIN,uninj,D,MPEX,MPEX
CELL.344,CELL.344,5,Injury_60DPI_rep3_FP200000264BL_A6,344,9,NPTXEX,inj,D,DPEX,DPEX
CELL.346,CELL.346,3,Injury_60DPI_rep3_FP200000264BL_A6,346,12,SSTIN,uninj,D,MPEX,MPEX
CELL.347,CELL.347,5,Injury_60DPI_rep3_FP200000264BL_A6,347,12,MPEX,inj,D,MPIN,MPIN
CELL.349,CELL.349,6,Injury_60DPI_rep3_FP200000264BL_A6,349,12,SSTIN,uninj,D,SSTIN,SSTIN
CELL.350,CELL.350,6,Injury_60DPI_rep3_FP200000264BL_A6,350,12,SSTIN,uninj,D,MPEX,MPEX
CELL.353,CELL.353,4,Injury_60DPI_rep3_FP200000264BL_A6,353,14,VLMC,inj,D,VLMC,VLMC
CELL.354,CELL.354,6,Injury_60DPI_rep3_FP200000264BL_A6,354,9,NPTXEX,uninj,D,DPEX,DPEX
CELL.355,CELL.355,5,Injury_60DPI_rep3_FP200000264BL_A6,355,0,CP,inj,D,VLMC,VLMC
CELL.356,CELL.356,6,Injury_60DPI_rep3_FP200000264BL_A6,356,7,StriatumIN,inj,D,NPTXEX,NPTXEX
CELL.357,CELL.357,6,Injury_60DPI_rep3_FP200000264BL_A6,357,16,NPYIN,uninj,D,NPYIN,NPYIN
CELL.359,CELL.359,6,Injury_60DPI_rep3_FP200000264BL_A6,359,9,NPTXEX,inj,D,DPEX,DPEX
CELL.361,CELL.361,6,Injury_60DPI_rep3_FP200000264BL_A6,361,9,NPTXEX,inj,D,DPEX,DPEX
CELL.362,CELL.362,1,Injury_60DPI_rep3_FP200000264BL_A6,362,9,NPTXEX,uninj,D,DPEX,DPEX
CELL.363,CELL.363,6,Injury_60DPI_rep3_FP200000264BL_A6,363,12,SSTIN,uninj,D,SSTIN,SSTIN
CELL.364,CELL.364,4,Injury_60DPI_rep3_FP200000264BL_A6,364,14,VLMC,inj,D,VLMC,VLMC
CELL.365,CELL.365,4,Injury_60DPI_rep3_FP200000264BL_A6,365,14,VLMC,uninj,D,VLMC,VLMC
CELL.366,CELL.366,4,Injury_60DPI_rep3_FP200000264BL_A6,366,14,VLMC,uninj,D,VLMC,VLMC
CELL.367,CELL.367,6,Injury_60DPI_rep3_FP200000264BL_A6,367,10,DPEX,uninj,D,DPEX,DPEX
CELL.368,CELL.368,7,Injury_60DPI_rep3_FP200000264BL_A6,368,9,NPTXEX,uninj,D,DPEX,DPEX
CELL.369,CELL.369,4,Injury_60DPI_rep3_FP200000264BL_A6,369,0,VLMC,inj,D,VLMC,VLMC
CELL.374,CELL.374,6,Injury_60DPI_rep3_FP200000264BL_A6,374,10,DPEX,uninj,D,DPEX,DPEX
CELL.377,CELL.377,6,Injury_60DPI_rep3_FP200000264BL_A6,377,9,NPTXEX,uninj,D,DPEX,DPEX
