,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,y_center,x_center,inj_uninj,D_V,inj_M_L,Annotation_Final,Annotation_0306
CELL.25,CELL.25,0,Injury_2DPI_rep1_SS200000147BL_D5,25,9,4916.0,2897.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.26,CELL.26,0,Injury_2DPI_rep1_SS200000147BL_D5,26,2,4911.0,2978.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.27,CELL.27,0,Injury_2DPI_rep1_SS200000147BL_D5,27,2,4914.0,3103.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.28,CELL.28,0,Injury_2DPI_rep1_SS200000147BL_D5,28,9,4918.0,2741.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.29,CELL.29,0,Injury_2DPI_rep1_SS200000147BL_D5,29,9,4929.0,2494.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.30,CELL.30,0,Injury_2DPI_rep1_SS200000147BL_D5,30,2,4926.0,3131.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.31,CELL.31,0,Injury_2DPI_rep1_SS200000147BL_D5,31,9,4916.0,3308.0,inj,V,NO,VLMC,VLMC
CELL.32,CELL.32,0,Injury_2DPI_rep1_SS200000147BL_D5,32,9,4917.0,3395.0,inj,V,NO,VLMC,VLMC
CELL.33,CELL.33,0,Injury_2DPI_rep1_SS200000147BL_D5,33,9,4924.0,2602.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.34,CELL.34,0,Injury_2DPI_rep1_SS200000147BL_D5,34,2,4927.0,3042.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.35,CELL.35,0,Injury_2DPI_rep1_SS200000147BL_D5,35,9,4942.0,2554.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.36,CELL.36,0,Injury_2DPI_rep1_SS200000147BL_D5,36,2,4920.0,3012.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.37,CELL.37,0,Injury_2DPI_rep1_SS200000147BL_D5,37,9,4919.0,2702.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.38,CELL.38,0,Injury_2DPI_rep1_SS200000147BL_D5,38,9,4932.0,2861.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.39,CELL.39,0,Injury_2DPI_rep1_SS200000147BL_D5,39,9,4931.0,3487.0,inj,V,NO,VLMC,VLMC
CELL.40,CELL.40,0,Injury_2DPI_rep1_SS200000147BL_D5,40,9,4932.0,2676.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.41,CELL.41,0,Injury_2DPI_rep1_SS200000147BL_D5,41,2,4932.0,2939.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.42,CELL.42,0,Injury_2DPI_rep1_SS200000147BL_D5,42,9,4942.0,2449.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.43,CELL.43,0,Injury_2DPI_rep1_SS200000147BL_D5,43,9,4941.0,3561.0,inj,V,NO,VLMC,VLMC
CELL.44,CELL.44,0,Injury_2DPI_rep1_SS200000147BL_D5,44,2,4933.0,3078.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.45,CELL.45,0,Injury_2DPI_rep1_SS200000147BL_D5,45,9,4950.0,2421.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.46,CELL.46,0,Injury_2DPI_rep1_SS200000147BL_D5,46,9,4946.0,3425.0,inj,V,NO,VLMC,VLMC
CELL.47,CELL.47,0,Injury_2DPI_rep1_SS200000147BL_D5,47,9,4946.0,2640.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.49,CELL.49,0,Injury_2DPI_rep1_SS200000147BL_D5,49,9,4956.0,3647.0,inj,V,NO,VLMC,VLMC
CELL.50,CELL.50,0,Injury_2DPI_rep1_SS200000147BL_D5,50,9,4952.0,3379.0,inj,V,NO,VLMC,VLMC
CELL.52,CELL.52,0,Injury_2DPI_rep1_SS200000147BL_D5,52,9,4968.0,3687.0,inj,V,NO,VLMC,VLMC
CELL.53,CELL.53,5,Injury_2DPI_rep1_SS200000147BL_D5,53,11,4966.0,2594.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.54,CELL.54,0,Injury_2DPI_rep1_SS200000147BL_D5,54,9,4961.0,2522.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.55,CELL.55,0,Injury_2DPI_rep1_SS200000147BL_D5,55,9,4960.0,2477.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.56,CELL.56,0,Injury_2DPI_rep1_SS200000147BL_D5,56,13,4965.0,3540.0,inj,V,NO,REARGC,REAEGC
CELL.57,CELL.57,1,Injury_2DPI_rep1_SS200000147BL_D5,57,9,4976.0,2626.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.58,CELL.58,0,Injury_2DPI_rep1_SS200000147BL_D5,58,2,4973.0,3065.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.59,CELL.59,0,Injury_2DPI_rep1_SS200000147BL_D5,59,13,4972.0,3566.0,inj,V,NO,REARGC,REAEGC
CELL.60,CELL.60,0,Injury_2DPI_rep1_SS200000147BL_D5,60,2,4975.0,2996.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.61,CELL.61,0,Injury_2DPI_rep1_SS200000147BL_D5,61,2,4987.0,3720.0,inj,V,NO,VLMC,VLMC
CELL.62,CELL.62,0,Injury_2DPI_rep1_SS200000147BL_D5,62,9,4982.0,2351.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.63,CELL.63,0,Injury_2DPI_rep1_SS200000147BL_D5,63,13,4978.0,3513.0,inj,V,NO,REARGC,REAEGC
CELL.64,CELL.64,0,Injury_2DPI_rep1_SS200000147BL_D5,64,9,4983.0,3467.0,inj,V,NO,VLMC,VLMC
CELL.65,CELL.65,0,Injury_2DPI_rep1_SS200000147BL_D5,65,9,4978.0,2403.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.66,CELL.66,0,Injury_2DPI_rep1_SS200000147BL_D5,66,9,4980.0,2445.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.67,CELL.67,0,Injury_2DPI_rep1_SS200000147BL_D5,67,9,4983.0,3627.0,inj,V,NO,VLMC,VLMC
CELL.68,CELL.68,0,Injury_2DPI_rep1_SS200000147BL_D5,68,9,4988.0,3588.0,inj,V,NO,VLMC,VLMC
CELL.70,CELL.70,0,Injury_2DPI_rep1_SS200000147BL_D5,70,9,4999.0,2374.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.71,CELL.71,0,Injury_2DPI_rep1_SS200000147BL_D5,71,2,5006.0,3758.0,inj,V,NO,VLMC,VLMC
CELL.72,CELL.72,0,Injury_2DPI_rep1_SS200000147BL_D5,72,9,5001.0,3611.0,inj,V,NO,VLMC,VLMC
CELL.73,CELL.73,0,Injury_2DPI_rep1_SS200000147BL_D5,73,2,5000.0,3072.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.74,CELL.74,0,Injury_2DPI_rep1_SS200000147BL_D5,74,2,5005.0,3689.0,inj,V,NO,VLMC,VLMC
CELL.75,CELL.75,0,Injury_2DPI_rep1_SS200000147BL_D5,75,2,5007.0,3669.0,inj,V,NO,VLMC,VLMC
CELL.77,CELL.77,0,Injury_2DPI_rep1_SS200000147BL_D5,77,9,5012.0,2353.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.78,CELL.78,1,Injury_2DPI_rep1_SS200000147BL_D5,78,5,5017.0,2601.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.79,CELL.79,0,Injury_2DPI_rep1_SS200000147BL_D5,79,9,5018.0,2313.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.83,CELL.83,0,Injury_2DPI_rep1_SS200000147BL_D5,83,2,5027.0,3731.0,inj,V,NO,VLMC,VLMC
CELL.84,CELL.84,0,Injury_2DPI_rep1_SS200000147BL_D5,84,2,5042.0,2271.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.88,CELL.88,0,Injury_2DPI_rep1_SS200000147BL_D5,88,9,5053.0,3814.0,inj,V,NO,VLMC,VLMC
CELL.89,CELL.89,0,Injury_2DPI_rep1_SS200000147BL_D5,89,9,5053.0,2641.0,inj,D,inj_D_LP,Microglia,MCG
CELL.91,CELL.91,0,Injury_2DPI_rep1_SS200000147BL_D5,91,2,5058.0,3571.0,inj,V,NO,VLMC,VLMC
CELL.94,CELL.94,0,Injury_2DPI_rep1_SS200000147BL_D5,94,2,5073.0,3461.0,inj,V,NO,VLMC,VLMC
CELL.95,CELL.95,0,Injury_2DPI_rep1_SS200000147BL_D5,95,9,5083.0,3827.0,inj,V,NO,VLMC,VLMC
CELL.96,CELL.96,0,Injury_2DPI_rep1_SS200000147BL_D5,96,2,5078.0,2744.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.97,CELL.97,0,Injury_2DPI_rep1_SS200000147BL_D5,97,2,5078.0,2274.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.99,CELL.99,0,Injury_2DPI_rep1_SS200000147BL_D5,99,10,5081.0,2651.0,inj,D,inj_D_LP,SCGNIN,SCGNIN
CELL.102,CELL.102,0,Injury_2DPI_rep1_SS200000147BL_D5,102,2,5088.0,3756.0,inj,V,NO,VLMC,VLMC
CELL.103,CELL.103,0,Injury_2DPI_rep1_SS200000147BL_D5,103,2,5089.0,3168.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.104,CELL.104,0,Injury_2DPI_rep1_SS200000147BL_D5,104,2,5093.0,3211.0,inj,V,NO,VLMC,VLMC
CELL.107,CELL.107,0,Injury_2DPI_rep1_SS200000147BL_D5,107,2,5097.0,2971.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.108,CELL.108,0,Injury_2DPI_rep1_SS200000147BL_D5,108,2,5105.0,2744.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.110,CELL.110,0,Injury_2DPI_rep1_SS200000147BL_D5,110,2,5087.0,2228.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.111,CELL.111,0,Injury_2DPI_rep1_SS200000147BL_D5,111,2,5102.0,3134.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.113,CELL.113,0,Injury_2DPI_rep1_SS200000147BL_D5,113,9,5106.0,3453.0,inj,V,NO,Microglia,MCG
CELL.114,CELL.114,0,Injury_2DPI_rep1_SS200000147BL_D5,114,2,5110.0,2176.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.115,CELL.115,0,Injury_2DPI_rep1_SS200000147BL_D5,115,9,5107.0,3780.0,inj,V,NO,Microglia,MCG
CELL.117,CELL.117,0,Injury_2DPI_rep1_SS200000147BL_D5,117,2,5114.0,2692.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.118,CELL.118,0,Injury_2DPI_rep1_SS200000147BL_D5,118,2,5121.0,2134.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.120,CELL.120,0,Injury_2DPI_rep1_SS200000147BL_D5,120,2,5134.0,2096.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.122,CELL.122,0,Injury_2DPI_rep1_SS200000147BL_D5,122,2,5125.0,3196.0,inj,V,NO,VLMC,VLMC
CELL.123,CELL.123,0,Injury_2DPI_rep1_SS200000147BL_D5,123,2,5126.0,3230.0,inj,V,NO,VLMC,VLMC
CELL.124,CELL.124,0,Injury_2DPI_rep1_SS200000147BL_D5,124,2,5127.0,2368.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.125,CELL.125,0,Injury_2DPI_rep1_SS200000147BL_D5,125,2,5136.0,3258.0,inj,V,NO,VLMC,VLMC
CELL.126,CELL.126,0,Injury_2DPI_rep1_SS200000147BL_D5,126,2,5120.0,3102.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.127,CELL.127,0,Injury_2DPI_rep1_SS200000147BL_D5,127,9,5139.0,3483.0,inj,V,NO,Microglia,MCG
CELL.128,CELL.128,0,Injury_2DPI_rep1_SS200000147BL_D5,128,9,5149.0,3890.0,inj,V,NO,VLMC,VLMC
CELL.130,CELL.130,0,Injury_2DPI_rep1_SS200000147BL_D5,130,2,5149.0,3357.0,inj,V,NO,VLMC,VLMC
CELL.132,CELL.132,0,Injury_2DPI_rep1_SS200000147BL_D5,132,2,5151.0,2077.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.133,CELL.133,0,Injury_2DPI_rep1_SS200000147BL_D5,133,2,5150.0,2130.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.134,CELL.134,0,Injury_2DPI_rep1_SS200000147BL_D5,134,2,5160.0,2413.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.135,CELL.135,0,Injury_2DPI_rep1_SS200000147BL_D5,135,2,5161.0,2039.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.136,CELL.136,0,Injury_2DPI_rep1_SS200000147BL_D5,136,2,5141.0,2725.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.140,CELL.140,0,Injury_2DPI_rep1_SS200000147BL_D5,140,2,5159.0,3213.0,inj,V,NO,VLMC,VLMC
CELL.141,CELL.141,0,Injury_2DPI_rep1_SS200000147BL_D5,141,9,5175.0,1997.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.142,CELL.142,5,Injury_2DPI_rep1_SS200000147BL_D5,142,2,5177.0,2162.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.143,CELL.143,5,Injury_2DPI_rep1_SS200000147BL_D5,143,2,5173.0,2540.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.144,CELL.144,0,Injury_2DPI_rep1_SS200000147BL_D5,144,2,5174.0,3245.0,inj,V,NO,VLMC,VLMC
CELL.145,CELL.145,0,Injury_2DPI_rep1_SS200000147BL_D5,145,9,5180.0,3923.0,inj,V,NO,VLMC,VLMC
CELL.146,CELL.146,0,Injury_2DPI_rep1_SS200000147BL_D5,146,2,5176.0,2200.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.148,CELL.148,0,Injury_2DPI_rep1_SS200000147BL_D5,148,9,5179.0,1967.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.151,CELL.151,0,Injury_2DPI_rep1_SS200000147BL_D5,151,2,5189.0,3347.0,inj,V,NO,VLMC,VLMC
CELL.153,CELL.153,0,Injury_2DPI_rep1_SS200000147BL_D5,153,2,5194.0,1933.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.155,CELL.155,0,Injury_2DPI_rep1_SS200000147BL_D5,155,2,5196.0,3396.0,inj,V,NO,VLMC,VLMC
CELL.156,CELL.156,0,Injury_2DPI_rep1_SS200000147BL_D5,156,2,5204.0,1968.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.158,CELL.158,0,Injury_2DPI_rep1_SS200000147BL_D5,158,2,5203.0,3143.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.160,CELL.160,0,Injury_2DPI_rep1_SS200000147BL_D5,160,2,5220.0,1902.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.161,CELL.161,0,Injury_2DPI_rep1_SS200000147BL_D5,161,2,5209.0,3622.0,inj,V,NO,VLMC,VLMC
CELL.162,CELL.162,5,Injury_2DPI_rep1_SS200000147BL_D5,162,5,5205.0,2156.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.164,CELL.164,5,Injury_2DPI_rep1_SS200000147BL_D5,164,2,5216.0,2504.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.165,CELL.165,0,Injury_2DPI_rep1_SS200000147BL_D5,165,2,5218.0,2562.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.166,CELL.166,5,Injury_2DPI_rep1_SS200000147BL_D5,166,11,5225.0,2105.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.174,CELL.174,0,Injury_2DPI_rep1_SS200000147BL_D5,174,2,5224.0,1941.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.176,CELL.176,0,Injury_2DPI_rep1_SS200000147BL_D5,176,2,5233.0,2639.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.177,CELL.177,5,Injury_2DPI_rep1_SS200000147BL_D5,177,11,5234.0,2141.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.178,CELL.178,5,Injury_2DPI_rep1_SS200000147BL_D5,178,2,5246.0,2029.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.180,CELL.180,5,Injury_2DPI_rep1_SS200000147BL_D5,180,5,5257.0,2478.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.181,CELL.181,5,Injury_2DPI_rep1_SS200000147BL_D5,181,5,5252.0,2515.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.183,CELL.183,0,Injury_2DPI_rep1_SS200000147BL_D5,183,2,5248.0,1920.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.185,CELL.185,5,Injury_2DPI_rep1_SS200000147BL_D5,185,11,5261.0,2158.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.186,CELL.186,5,Injury_2DPI_rep1_SS200000147BL_D5,186,11,5255.0,2322.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.187,CELL.187,0,Injury_2DPI_rep1_SS200000147BL_D5,187,2,5255.0,2213.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.188,CELL.188,0,Injury_2DPI_rep1_SS200000147BL_D5,188,2,5251.0,2599.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.189,CELL.189,5,Injury_2DPI_rep1_SS200000147BL_D5,189,2,5263.0,2547.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.190,CELL.190,0,Injury_2DPI_rep1_SS200000147BL_D5,190,2,5259.0,3794.0,inj,V,NO,VLMC,VLMC
CELL.191,CELL.191,0,Injury_2DPI_rep1_SS200000147BL_D5,191,2,5261.0,1813.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.192,CELL.192,5,Injury_2DPI_rep1_SS200000147BL_D5,192,11,5263.0,2054.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.193,CELL.193,0,Injury_2DPI_rep1_SS200000147BL_D5,193,2,5265.0,3917.0,inj,V,NO,VLMC,VLMC
CELL.194,CELL.194,0,Injury_2DPI_rep1_SS200000147BL_D5,194,11,5267.0,2350.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.195,CELL.195,5,Injury_2DPI_rep1_SS200000147BL_D5,195,11,5272.0,2083.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.196,CELL.196,5,Injury_2DPI_rep1_SS200000147BL_D5,196,11,5268.0,2112.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.197,CELL.197,0,Injury_2DPI_rep1_SS200000147BL_D5,197,2,5283.0,4072.0,inj,V,NO,VLMC,VLMC
CELL.198,CELL.198,5,Injury_2DPI_rep1_SS200000147BL_D5,198,0,5271.0,2427.0,inj,D,inj_D_LP,MSN,MSN
CELL.199,CELL.199,0,Injury_2DPI_rep1_SS200000147BL_D5,199,9,5263.0,3966.0,inj,V,NO,VLMC,VLMC
CELL.200,CELL.200,0,Injury_2DPI_rep1_SS200000147BL_D5,200,9,5271.0,4010.0,inj,V,NO,VLMC,VLMC
CELL.201,CELL.201,5,Injury_2DPI_rep1_SS200000147BL_D5,201,11,5279.0,2182.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.202,CELL.202,0,Injury_2DPI_rep1_SS200000147BL_D5,202,2,5272.0,1865.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.203,CELL.203,0,Injury_2DPI_rep1_SS200000147BL_D5,203,2,5283.0,3784.0,inj,V,NO,VLMC,VLMC
CELL.204,CELL.204,5,Injury_2DPI_rep1_SS200000147BL_D5,204,11,5281.0,2529.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.205,CELL.205,5,Injury_2DPI_rep1_SS200000147BL_D5,205,11,5295.0,2452.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.208,CELL.208,5,Injury_2DPI_rep1_SS200000147BL_D5,208,5,5287.0,2715.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.209,CELL.209,0,Injury_2DPI_rep1_SS200000147BL_D5,209,11,5285.0,2346.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.210,CELL.210,0,Injury_2DPI_rep1_SS200000147BL_D5,210,2,5283.0,3948.0,inj,V,NO,VLMC,VLMC
CELL.211,CELL.211,0,Injury_2DPI_rep1_SS200000147BL_D5,211,9,5297.0,1787.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.213,CELL.213,0,Injury_2DPI_rep1_SS200000147BL_D5,213,2,5297.0,3976.0,inj,V,NO,VLMC,VLMC
CELL.214,CELL.214,0,Injury_2DPI_rep1_SS200000147BL_D5,214,9,5298.0,4002.0,inj,V,NO,VLMC,VLMC
CELL.215,CELL.215,0,Injury_2DPI_rep1_SS200000147BL_D5,215,2,5311.0,4108.0,inj,V,NO,VLMC,VLMC
CELL.216,CELL.216,5,Injury_2DPI_rep1_SS200000147BL_D5,216,11,5304.0,2505.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.217,CELL.217,0,Injury_2DPI_rep1_SS200000147BL_D5,217,9,5298.0,3519.0,inj,V,NO,VLMC,VLMC
CELL.218,CELL.218,0,Injury_2DPI_rep1_SS200000147BL_D5,218,2,5303.0,4075.0,inj,V,NO,VLMC,VLMC
CELL.219,CELL.219,5,Injury_2DPI_rep1_SS200000147BL_D5,219,11,5302.0,2071.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.220,CELL.220,5,Injury_2DPI_rep1_SS200000147BL_D5,220,11,5312.0,2040.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.221,CELL.221,5,Injury_2DPI_rep1_SS200000147BL_D5,221,11,5308.0,2114.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.222,CELL.222,5,Injury_2DPI_rep1_SS200000147BL_D5,222,11,5292.0,2143.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.223,CELL.223,5,Injury_2DPI_rep1_SS200000147BL_D5,223,11,5312.0,2482.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.224,CELL.224,5,Injury_2DPI_rep1_SS200000147BL_D5,224,11,5305.0,2550.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.225,CELL.225,5,Injury_2DPI_rep1_SS200000147BL_D5,225,11,5307.0,2759.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.226,CELL.226,5,Injury_2DPI_rep1_SS200000147BL_D5,226,11,5312.0,2191.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.227,CELL.227,0,Injury_2DPI_rep1_SS200000147BL_D5,227,9,5312.0,1822.0,inj,D,inj_D_LP,Microglia,MCG
CELL.228,CELL.228,5,Injury_2DPI_rep1_SS200000147BL_D5,228,2,5315.0,2579.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.229,CELL.229,5,Injury_2DPI_rep1_SS200000147BL_D5,229,11,5324.0,2399.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.230,CELL.230,5,Injury_2DPI_rep1_SS200000147BL_D5,230,2,5324.0,2631.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.231,CELL.231,0,Injury_2DPI_rep1_SS200000147BL_D5,231,2,5324.0,4050.0,inj,V,NO,VLMC,VLMC
CELL.234,CELL.234,0,Injury_2DPI_rep1_SS200000147BL_D5,234,2,5328.0,4147.0,inj,V,NO,VLMC,VLMC
CELL.235,CELL.235,5,Injury_2DPI_rep1_SS200000147BL_D5,235,11,5326.0,2087.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.236,CELL.236,5,Injury_2DPI_rep1_SS200000147BL_D5,236,11,5329.0,2373.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.237,CELL.237,0,Injury_2DPI_rep1_SS200000147BL_D5,237,2,5324.0,3973.0,inj,V,NO,VLMC,VLMC
CELL.238,CELL.238,0,Injury_2DPI_rep1_SS200000147BL_D5,238,9,5332.0,1705.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.239,CELL.239,0,Injury_2DPI_rep1_SS200000147BL_D5,239,9,5327.0,1775.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.241,CELL.241,0,Injury_2DPI_rep1_SS200000147BL_D5,241,3,5324.0,2935.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.242,CELL.242,1,Injury_2DPI_rep1_SS200000147BL_D5,242,11,5331.0,2463.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.244,CELL.244,5,Injury_2DPI_rep1_SS200000147BL_D5,244,0,5329.0,2430.0,inj,D,inj_D_LP,SCGNIN,SCGNIN
CELL.245,CELL.245,0,Injury_2DPI_rep1_SS200000147BL_D5,245,5,5333.0,2880.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.247,CELL.247,5,Injury_2DPI_rep1_SS200000147BL_D5,247,11,5343.0,2105.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.248,CELL.248,5,Injury_2DPI_rep1_SS200000147BL_D5,248,11,5345.0,2566.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.249,CELL.249,5,Injury_2DPI_rep1_SS200000147BL_D5,249,11,5355.0,2052.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.250,CELL.250,5,Injury_2DPI_rep1_SS200000147BL_D5,250,11,5355.0,2516.0,inj,D,inj_D_LP,OBNBL,OBNBL
CELL.251,CELL.251,5,Injury_2DPI_rep1_SS200000147BL_D5,251,11,5351.0,2074.0,inj,D,inj_D_LP,OBNBL,OBNBL
