,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,y_center,x_center,inj_uninj,D_V,Annotation_Final,Annotation_0306
CELL.34,CELL.34,1,Injury_20DPI_rep3_SS200000147BL_B5,34,3,92.0,2184.0,uninj,V,VLMC,VLMC
CELL.35,CELL.35,1,Injury_20DPI_rep3_SS200000147BL_B5,35,3,88.0,2221.0,uninj,V,VLMC,VLMC
CELL.36,CELL.36,1,Injury_20DPI_rep3_SS200000147BL_B5,36,3,94.0,2159.0,uninj,V,VLMC,VLMC
CELL.37,CELL.37,1,Injury_20DPI_rep3_SS200000147BL_B5,37,11,99.0,3271.0,uninj,D,VLMC,VLMC
CELL.38,CELL.38,1,Injury_20DPI_rep3_SS200000147BL_B5,38,3,103.0,2690.0,uninj,D,VLMC,VLMC
CELL.40,CELL.40,1,Injury_20DPI_rep3_SS200000147BL_B5,40,3,109.0,2135.0,uninj,V,VLMC,VLMC
CELL.41,CELL.41,1,Injury_20DPI_rep3_SS200000147BL_B5,41,3,107.0,2076.0,uninj,V,VLMC,VLMC
CELL.43,CELL.43,1,Injury_20DPI_rep3_SS200000147BL_B5,43,3,120.0,2096.0,uninj,V,VLMC,VLMC
CELL.45,CELL.45,1,Injury_20DPI_rep3_SS200000147BL_B5,45,3,138.0,2699.0,uninj,D,VLMC,VLMC
CELL.46,CELL.46,1,Injury_20DPI_rep3_SS200000147BL_B5,46,3,149.0,1888.0,uninj,V,VLMC,VLMC
CELL.48,CELL.48,1,Injury_20DPI_rep3_SS200000147BL_B5,48,3,143.0,3491.0,uninj,D,VLMC,VLMC
CELL.49,CELL.49,1,Injury_20DPI_rep3_SS200000147BL_B5,49,11,160.0,3507.0,uninj,D,VLMC,VLMC
CELL.53,CELL.53,1,Injury_20DPI_rep3_SS200000147BL_B5,53,3,174.0,1862.0,uninj,V,VLMC,VLMC
CELL.54,CELL.54,1,Injury_20DPI_rep3_SS200000147BL_B5,54,11,182.0,3530.0,uninj,D,VLMC,VLMC
CELL.55,CELL.55,1,Injury_20DPI_rep3_SS200000147BL_B5,55,3,181.0,2561.0,uninj,V,VLMC,VLMC
CELL.62,CELL.62,1,Injury_20DPI_rep3_SS200000147BL_B5,62,3,204.0,2574.0,uninj,V,VLMC,VLMC
CELL.63,CELL.63,1,Injury_20DPI_rep3_SS200000147BL_B5,63,3,214.0,3558.0,uninj,D,VLMC,VLMC
CELL.65,CELL.65,1,Injury_20DPI_rep3_SS200000147BL_B5,65,3,249.0,1585.0,uninj,V,VLMC,VLMC
CELL.66,CELL.66,1,Injury_20DPI_rep3_SS200000147BL_B5,66,3,247.0,3600.0,uninj,D,VLMC,VLMC
CELL.68,CELL.68,1,Injury_20DPI_rep3_SS200000147BL_B5,68,3,254.0,2706.0,uninj,D,VLMC,VLMC
CELL.69,CELL.69,1,Injury_20DPI_rep3_SS200000147BL_B5,69,3,257.0,1558.0,uninj,V,VLMC,VLMC
CELL.72,CELL.72,1,Injury_20DPI_rep3_SS200000147BL_B5,72,3,261.0,1614.0,uninj,V,VLMC,VLMC
CELL.74,CELL.74,1,Injury_20DPI_rep3_SS200000147BL_B5,74,3,271.0,1535.0,uninj,V,VLMC,VLMC
CELL.75,CELL.75,1,Injury_20DPI_rep3_SS200000147BL_B5,75,11,265.0,3659.0,uninj,D,VLMC,VLMC
CELL.76,CELL.76,1,Injury_20DPI_rep3_SS200000147BL_B5,76,11,273.0,3702.0,uninj,D,VLMC,VLMC
CELL.77,CELL.77,1,Injury_20DPI_rep3_SS200000147BL_B5,77,3,278.0,2378.0,uninj,V,VLMC,VLMC
CELL.79,CELL.79,1,Injury_20DPI_rep3_SS200000147BL_B5,79,11,292.0,3774.0,uninj,D,VLMC,VLMC
CELL.80,CELL.80,1,Injury_20DPI_rep3_SS200000147BL_B5,80,3,285.0,2300.0,uninj,V,VLMC,VLMC
CELL.81,CELL.81,1,Injury_20DPI_rep3_SS200000147BL_B5,81,3,289.0,1645.0,uninj,V,VLMC,VLMC
CELL.84,CELL.84,1,Injury_20DPI_rep3_SS200000147BL_B5,84,11,293.0,3803.0,uninj,D,VLMC,VLMC
CELL.85,CELL.85,1,Injury_20DPI_rep3_SS200000147BL_B5,85,3,291.0,2500.0,uninj,V,VLMC,VLMC
CELL.90,CELL.90,1,Injury_20DPI_rep3_SS200000147BL_B5,90,6,304.0,1342.0,uninj,V,RIPC2,RIPC4
CELL.91,CELL.91,1,Injury_20DPI_rep3_SS200000147BL_B5,91,3,292.0,2696.0,uninj,D,VLMC,VLMC
CELL.93,CELL.93,1,Injury_20DPI_rep3_SS200000147BL_B5,93,13,307.0,3219.0,uninj,D,Immature Neuron-Wound,IMN
CELL.96,CELL.96,1,Injury_20DPI_rep3_SS200000147BL_B5,96,3,312.0,2189.0,uninj,V,VLMC,VLMC
CELL.98,CELL.98,1,Injury_20DPI_rep3_SS200000147BL_B5,98,3,318.0,1870.0,uninj,V,VLMC,VLMC
CELL.100,CELL.100,1,Injury_20DPI_rep3_SS200000147BL_B5,100,3,317.0,2509.0,uninj,V,VLMC,VLMC
CELL.101,CELL.101,1,Injury_20DPI_rep3_SS200000147BL_B5,101,3,319.0,3776.0,uninj,D,VLMC,VLMC
CELL.104,CELL.104,1,Injury_20DPI_rep3_SS200000147BL_B5,104,11,328.0,1325.0,uninj,V,VLMC,VLMC
CELL.105,CELL.105,1,Injury_20DPI_rep3_SS200000147BL_B5,105,6,328.0,1365.0,uninj,V,RIPC2,RIPC4
CELL.108,CELL.108,1,Injury_20DPI_rep3_SS200000147BL_B5,108,0,338.0,1821.0,uninj,V,MSN,MSN
CELL.109,CELL.109,1,Injury_20DPI_rep3_SS200000147BL_B5,109,3,339.0,1859.0,uninj,V,VLMC,VLMC
CELL.111,CELL.111,1,Injury_20DPI_rep3_SS200000147BL_B5,111,2,341.0,1888.0,uninj,V,CCKIN,CCKIN
CELL.112,CELL.112,7,Injury_20DPI_rep3_SS200000147BL_B5,112,0,346.0,2785.0,uninj,D,MSN,MSN
CELL.115,CELL.115,7,Injury_20DPI_rep3_SS200000147BL_B5,115,10,345.0,3585.0,uninj,D,NPTXEX,NPTXEX
CELL.116,CELL.116,7,Injury_20DPI_rep3_SS200000147BL_B5,116,3,344.0,2971.0,uninj,D,VLMC,VLMC
CELL.117,CELL.117,7,Injury_20DPI_rep3_SS200000147BL_B5,117,3,347.0,2540.0,uninj,V,VLMC,VLMC
CELL.118,CELL.118,1,Injury_20DPI_rep3_SS200000147BL_B5,118,3,342.0,3613.0,uninj,D,VLMC,VLMC
CELL.119,CELL.119,1,Injury_20DPI_rep3_SS200000147BL_B5,119,11,346.0,1345.0,uninj,V,VLMC,VLMC
CELL.122,CELL.122,1,Injury_20DPI_rep3_SS200000147BL_B5,122,3,357.0,2183.0,uninj,V,VLMC,VLMC
CELL.123,CELL.123,1,Injury_20DPI_rep3_SS200000147BL_B5,123,11,363.0,1305.0,uninj,V,VLMC,VLMC
CELL.124,CELL.124,1,Injury_20DPI_rep3_SS200000147BL_B5,124,12,362.0,2415.0,uninj,V,SSTIN,SSTIN
CELL.128,CELL.128,7,Injury_20DPI_rep3_SS200000147BL_B5,128,6,368.0,2602.0,uninj,D,Microglia,MCG
CELL.129,CELL.129,1,Injury_20DPI_rep3_SS200000147BL_B5,129,11,370.0,1267.0,uninj,V,VLMC,VLMC
CELL.130,CELL.130,1,Injury_20DPI_rep3_SS200000147BL_B5,130,3,371.0,3066.0,uninj,D,VLMC,VLMC
CELL.131,CELL.131,7,Injury_20DPI_rep3_SS200000147BL_B5,131,10,372.0,3301.0,uninj,D,DPEX,DPEX
CELL.133,CELL.133,1,Injury_20DPI_rep3_SS200000147BL_B5,133,0,377.0,1919.0,uninj,V,DIPC,TLNBL
CELL.134,CELL.134,1,Injury_20DPI_rep3_SS200000147BL_B5,134,3,382.0,1646.0,uninj,V,VLMC,VLMC
CELL.135,CELL.135,1,Injury_20DPI_rep3_SS200000147BL_B5,135,3,386.0,2324.0,uninj,V,VLMC,VLMC
CELL.136,CELL.136,7,Injury_20DPI_rep3_SS200000147BL_B5,136,3,382.0,2979.0,uninj,D,VLMC,VLMC
CELL.138,CELL.138,0,Injury_20DPI_rep3_SS200000147BL_B5,138,2,386.0,2537.0,uninj,V,CCKIN,CCKIN
CELL.139,CELL.139,1,Injury_20DPI_rep3_SS200000147BL_B5,139,3,391.0,3959.0,uninj,D,VLMC,VLMC
CELL.140,CELL.140,1,Injury_20DPI_rep3_SS200000147BL_B5,140,3,386.0,2242.0,uninj,V,VLMC,VLMC
CELL.141,CELL.141,1,Injury_20DPI_rep3_SS200000147BL_B5,141,3,392.0,3024.0,uninj,D,VLMC,VLMC
CELL.142,CELL.142,1,Injury_20DPI_rep3_SS200000147BL_B5,142,2,390.0,2498.0,uninj,V,CCKIN,CCKIN
CELL.143,CELL.143,1,Injury_20DPI_rep3_SS200000147BL_B5,143,3,393.0,2350.0,uninj,V,VLMC,VLMC
CELL.144,CELL.144,0,Injury_20DPI_rep3_SS200000147BL_B5,144,0,391.0,2452.0,uninj,V,MSN,MSN
CELL.146,CELL.146,1,Injury_20DPI_rep3_SS200000147BL_B5,146,3,405.0,2214.0,uninj,V,VLMC,VLMC
CELL.147,CELL.147,9,Injury_20DPI_rep3_SS200000147BL_B5,147,13,395.0,2411.0,uninj,V,Immature Neuron-Wound,IMN
CELL.149,CELL.149,1,Injury_20DPI_rep3_SS200000147BL_B5,149,11,398.0,1204.0,uninj,V,VLMC,VLMC
CELL.152,CELL.152,4,Injury_20DPI_rep3_SS200000147BL_B5,152,12,402.0,3148.0,uninj,D,SSTIN,SSTIN
CELL.153,CELL.153,1,Injury_20DPI_rep3_SS200000147BL_B5,153,11,407.0,1225.0,uninj,V,VLMC,VLMC
CELL.155,CELL.155,1,Injury_20DPI_rep3_SS200000147BL_B5,155,3,409.0,3990.0,uninj,D,VLMC,VLMC
CELL.156,CELL.156,7,Injury_20DPI_rep3_SS200000147BL_B5,156,10,416.0,2797.0,uninj,D,NPTXEX,NPTXEX
CELL.161,CELL.161,1,Injury_20DPI_rep3_SS200000147BL_B5,161,3,407.0,3058.0,uninj,D,VLMC,VLMC
CELL.163,CELL.163,1,Injury_20DPI_rep3_SS200000147BL_B5,163,3,408.0,3920.0,uninj,D,VLMC,VLMC
CELL.164,CELL.164,0,Injury_20DPI_rep3_SS200000147BL_B5,164,2,410.0,2522.0,uninj,V,CCKIN,CCKIN
CELL.166,CELL.166,1,Injury_20DPI_rep3_SS200000147BL_B5,166,3,419.0,4037.0,uninj,D,VLMC,VLMC
CELL.168,CELL.168,2,Injury_20DPI_rep3_SS200000147BL_B5,168,3,419.0,2103.0,uninj,V,VLMC,VLMC
CELL.169,CELL.169,7,Injury_20DPI_rep3_SS200000147BL_B5,169,10,417.0,3094.0,uninj,D,NPTXEX,NPTXEX
CELL.171,CELL.171,1,Injury_20DPI_rep3_SS200000147BL_B5,171,3,419.0,2990.0,uninj,D,VLMC,VLMC
CELL.172,CELL.172,7,Injury_20DPI_rep3_SS200000147BL_B5,172,10,422.0,3235.0,uninj,D,NPTXEX,NPTXEX
CELL.175,CELL.175,0,Injury_20DPI_rep3_SS200000147BL_B5,175,2,423.0,2432.0,uninj,V,CCKIN,CCKIN
CELL.176,CELL.176,7,Injury_20DPI_rep3_SS200000147BL_B5,176,3,429.0,2947.0,uninj,D,VLMC,VLMC
CELL.178,CELL.178,1,Injury_20DPI_rep3_SS200000147BL_B5,178,0,428.0,2328.0,uninj,V,MSN,MSN
CELL.179,CELL.179,1,Injury_20DPI_rep3_SS200000147BL_B5,179,3,422.0,3030.0,uninj,D,VLMC,VLMC
CELL.181,CELL.181,1,Injury_20DPI_rep3_SS200000147BL_B5,181,13,437.0,1879.0,uninj,V,Immature Neuron-Wound,IMN
CELL.182,CELL.182,1,Injury_20DPI_rep3_SS200000147BL_B5,182,13,436.0,1906.0,uninj,V,Immature Neuron-Wound,IMN
CELL.183,CELL.183,7,Injury_20DPI_rep3_SS200000147BL_B5,183,10,433.0,2020.0,uninj,V,NPTXEX,NPTXEX
CELL.184,CELL.184,1,Injury_20DPI_rep3_SS200000147BL_B5,184,3,432.0,2237.0,uninj,V,VLMC,VLMC
CELL.185,CELL.185,1,Injury_20DPI_rep3_SS200000147BL_B5,185,6,437.0,1151.0,uninj,V,RIPC2,RIPC4
CELL.186,CELL.186,0,Injury_20DPI_rep3_SS200000147BL_B5,186,2,431.0,2537.0,uninj,V,CCKIN,CCKIN
CELL.187,CELL.187,1,Injury_20DPI_rep3_SS200000147BL_B5,187,11,437.0,4065.0,uninj,D,VLMC,VLMC
CELL.188,CELL.188,1,Injury_20DPI_rep3_SS200000147BL_B5,188,0,453.0,1731.0,uninj,V,MSN,MSN
CELL.189,CELL.189,1,Injury_20DPI_rep3_SS200000147BL_B5,189,13,441.0,2592.0,uninj,V,Immature Neuron-Wound,IMN
CELL.190,CELL.190,1,Injury_20DPI_rep3_SS200000147BL_B5,190,3,442.0,2647.0,uninj,D,VLMC,VLMC
CELL.191,CELL.191,7,Injury_20DPI_rep3_SS200000147BL_B5,191,10,447.0,2913.0,uninj,D,DPEX,DPEX
CELL.192,CELL.192,7,Injury_20DPI_rep3_SS200000147BL_B5,192,10,450.0,2184.0,uninj,V,DPEX,DPEX
CELL.193,CELL.193,0,Injury_20DPI_rep3_SS200000147BL_B5,193,2,448.0,2487.0,uninj,V,CCKIN,CCKIN
CELL.195,CELL.195,0,Injury_20DPI_rep3_SS200000147BL_B5,195,3,453.0,2319.0,uninj,V,VLMC,VLMC
CELL.196,CELL.196,7,Injury_20DPI_rep3_SS200000147BL_B5,196,10,448.0,2961.0,uninj,D,DPEX,DPEX
CELL.197,CELL.197,1,Injury_20DPI_rep3_SS200000147BL_B5,197,3,447.0,3004.0,uninj,D,VLMC,VLMC
CELL.198,CELL.198,1,Injury_20DPI_rep3_SS200000147BL_B5,198,6,452.0,1179.0,uninj,V,RIPC2,RIPC4
CELL.199,CELL.199,1,Injury_20DPI_rep3_SS200000147BL_B5,199,3,456.0,1331.0,uninj,V,VLMC,VLMC
CELL.200,CELL.200,7,Injury_20DPI_rep3_SS200000147BL_B5,200,10,452.0,2863.0,uninj,D,DPEX,DPEX
CELL.201,CELL.201,7,Injury_20DPI_rep3_SS200000147BL_B5,201,10,456.0,2753.0,uninj,D,DPEX,DPEX
CELL.202,CELL.202,7,Injury_20DPI_rep3_SS200000147BL_B5,202,10,458.0,2779.0,uninj,D,NPTXEX,NPTXEX
CELL.203,CELL.203,1,Injury_20DPI_rep3_SS200000147BL_B5,203,3,443.0,4024.0,uninj,D,VLMC,VLMC
CELL.204,CELL.204,1,Injury_20DPI_rep3_SS200000147BL_B5,204,0,466.0,1819.0,uninj,V,MSN,MSN
CELL.205,CELL.205,1,Injury_20DPI_rep3_SS200000147BL_B5,205,3,454.0,2100.0,uninj,V,VLMC,VLMC
CELL.206,CELL.206,1,Injury_20DPI_rep3_SS200000147BL_B5,206,3,450.0,1959.0,uninj,V,VLMC,VLMC
CELL.208,CELL.208,0,Injury_20DPI_rep3_SS200000147BL_B5,208,3,457.0,2372.0,uninj,V,VLMC,VLMC
CELL.209,CELL.209,1,Injury_20DPI_rep3_SS200000147BL_B5,209,11,459.0,1148.0,uninj,V,VLMC,VLMC
CELL.210,CELL.210,7,Injury_20DPI_rep3_SS200000147BL_B5,210,10,459.0,2201.0,uninj,V,NPTXEX,NPTXEX
CELL.211,CELL.211,1,Injury_20DPI_rep3_SS200000147BL_B5,211,11,461.0,4123.0,uninj,D,VLMC,VLMC
CELL.212,CELL.212,2,Injury_20DPI_rep3_SS200000147BL_B5,212,3,460.0,2132.0,uninj,V,VLMC,VLMC
CELL.213,CELL.213,7,Injury_20DPI_rep3_SS200000147BL_B5,213,10,463.0,3227.0,uninj,D,DPEX,DPEX
CELL.214,CELL.214,0,Injury_20DPI_rep3_SS200000147BL_B5,214,7,464.0,2425.0,uninj,V,CMPN,CMPN
CELL.216,CELL.216,1,Injury_20DPI_rep3_SS200000147BL_B5,216,0,461.0,1878.0,uninj,V,MSN,MSN
CELL.217,CELL.217,7,Injury_20DPI_rep3_SS200000147BL_B5,217,10,464.0,2931.0,uninj,D,NPTXEX,NPTXEX
CELL.219,CELL.219,7,Injury_20DPI_rep3_SS200000147BL_B5,219,0,467.0,1907.0,uninj,V,DPEX,DPEX
CELL.220,CELL.220,1,Injury_20DPI_rep3_SS200000147BL_B5,220,3,471.0,2238.0,uninj,V,VLMC,VLMC
CELL.221,CELL.221,1,Injury_20DPI_rep3_SS200000147BL_B5,221,11,475.0,1481.0,uninj,V,VLMC,VLMC
CELL.222,CELL.222,0,Injury_20DPI_rep3_SS200000147BL_B5,222,0,470.0,2614.0,uninj,D,MSN,MSN
CELL.223,CELL.223,1,Injury_20DPI_rep3_SS200000147BL_B5,223,0,472.0,1664.0,uninj,V,MSN,MSN
CELL.224,CELL.224,1,Injury_20DPI_rep3_SS200000147BL_B5,224,10,473.0,3033.0,uninj,D,DPEX,DPEX
CELL.225,CELL.225,0,Injury_20DPI_rep3_SS200000147BL_B5,225,0,477.0,2555.0,uninj,V,MSN,MSN
CELL.226,CELL.226,1,Injury_20DPI_rep3_SS200000147BL_B5,226,10,475.0,3536.0,uninj,D,DPEX,DPEX
CELL.227,CELL.227,7,Injury_20DPI_rep3_SS200000147BL_B5,227,10,478.0,2806.0,uninj,D,NPTXEX,NPTXEX
CELL.228,CELL.228,7,Injury_20DPI_rep3_SS200000147BL_B5,228,10,482.0,3093.0,uninj,D,DPEX,DPEX
CELL.229,CELL.229,1,Injury_20DPI_rep3_SS200000147BL_B5,229,3,488.0,4029.0,uninj,D,VLMC,VLMC
CELL.230,CELL.230,7,Injury_20DPI_rep3_SS200000147BL_B5,230,10,477.0,2919.0,uninj,D,DPEX,DPEX
CELL.231,CELL.231,1,Injury_20DPI_rep3_SS200000147BL_B5,231,3,484.0,2315.0,uninj,V,VLMC,VLMC
CELL.232,CELL.232,7,Injury_20DPI_rep3_SS200000147BL_B5,232,10,487.0,2686.0,uninj,D,DPEX,DPEX
CELL.233,CELL.233,7,Injury_20DPI_rep3_SS200000147BL_B5,233,0,483.0,2764.0,uninj,D,MSN,MSN
CELL.234,CELL.234,0,Injury_20DPI_rep3_SS200000147BL_B5,234,0,489.0,2483.0,uninj,V,MSN,MSN
CELL.235,CELL.235,1,Injury_20DPI_rep3_SS200000147BL_B5,235,11,497.0,1465.0,uninj,V,VLMC,VLMC
CELL.236,CELL.236,1,Injury_20DPI_rep3_SS200000147BL_B5,236,3,489.0,2131.0,uninj,V,VLMC,VLMC
CELL.237,CELL.237,0,Injury_20DPI_rep3_SS200000147BL_B5,237,0,490.0,2451.0,uninj,V,MSN,MSN
CELL.238,CELL.238,7,Injury_20DPI_rep3_SS200000147BL_B5,238,11,496.0,3244.0,uninj,D,VLMC,VLMC
CELL.239,CELL.239,0,Injury_20DPI_rep3_SS200000147BL_B5,239,3,494.0,1688.0,uninj,V,VLMC,VLMC
CELL.242,CELL.242,7,Injury_20DPI_rep3_SS200000147BL_B5,242,11,497.0,3270.0,uninj,D,VLMC,VLMC
CELL.243,CELL.243,0,Injury_20DPI_rep3_SS200000147BL_B5,243,0,495.0,2658.0,uninj,D,MSN,MSN
CELL.245,CELL.245,1,Injury_20DPI_rep3_SS200000147BL_B5,245,11,496.0,1489.0,uninj,V,VLMC,VLMC
CELL.246,CELL.246,1,Injury_20DPI_rep3_SS200000147BL_B5,246,10,498.0,3533.0,uninj,D,DPEX,DPEX
CELL.248,CELL.248,7,Injury_20DPI_rep3_SS200000147BL_B5,248,10,499.0,2984.0,uninj,D,NPTXEX,NPTXEX
CELL.249,CELL.249,1,Injury_20DPI_rep3_SS200000147BL_B5,249,10,499.0,2959.0,uninj,D,DPEX,DPEX
CELL.250,CELL.250,0,Injury_20DPI_rep3_SS200000147BL_B5,250,0,501.0,2422.0,uninj,V,MSN,MSN
CELL.251,CELL.251,7,Injury_20DPI_rep3_SS200000147BL_B5,251,10,504.0,3219.0,uninj,D,DPEX,DPEX
CELL.252,CELL.252,7,Injury_20DPI_rep3_SS200000147BL_B5,252,10,508.0,3352.0,uninj,D,NPTXEX,NPTXEX
CELL.253,CELL.253,1,Injury_20DPI_rep3_SS200000147BL_B5,253,3,504.0,2151.0,uninj,V,VLMC,VLMC
CELL.254,CELL.254,0,Injury_20DPI_rep3_SS200000147BL_B5,254,0,507.0,2573.0,uninj,V,MSN,MSN
CELL.255,CELL.255,7,Injury_20DPI_rep3_SS200000147BL_B5,255,10,506.0,2808.0,uninj,D,DPEX,DPEX
CELL.256,CELL.256,0,Injury_20DPI_rep3_SS200000147BL_B5,256,0,508.0,2396.0,uninj,V,MSN,MSN
CELL.257,CELL.257,7,Injury_20DPI_rep3_SS200000147BL_B5,257,10,508.0,2840.0,uninj,D,DPEX,DPEX
CELL.258,CELL.258,1,Injury_20DPI_rep3_SS200000147BL_B5,258,11,513.0,1080.0,uninj,V,VLMC,VLMC
CELL.259,CELL.259,0,Injury_20DPI_rep3_SS200000147BL_B5,259,0,512.0,1981.0,uninj,V,MSN,MSN
CELL.260,CELL.260,1,Injury_20DPI_rep3_SS200000147BL_B5,260,13,509.0,2884.0,uninj,D,Immature Neuron-Wound,IMN
CELL.261,CELL.261,7,Injury_20DPI_rep3_SS200000147BL_B5,261,10,515.0,3088.0,uninj,D,NPTXEX,NPTXEX
CELL.262,CELL.262,1,Injury_20DPI_rep3_SS200000147BL_B5,262,3,511.0,1842.0,uninj,V,VLMC,VLMC
CELL.263,CELL.263,0,Injury_20DPI_rep3_SS200000147BL_B5,263,3,511.0,2311.0,uninj,V,VLMC,VLMC
CELL.265,CELL.265,1,Injury_20DPI_rep3_SS200000147BL_B5,265,3,514.0,1768.0,uninj,V,VLMC,VLMC
CELL.266,CELL.266,0,Injury_20DPI_rep3_SS200000147BL_B5,266,3,504.0,2265.0,uninj,V,VLMC,VLMC
CELL.267,CELL.267,7,Injury_20DPI_rep3_SS200000147BL_B5,267,10,505.0,3419.0,uninj,D,NPTXEX,NPTXEX
CELL.268,CELL.268,7,Injury_20DPI_rep3_SS200000147BL_B5,268,10,513.0,3115.0,uninj,D,DPEX,DPEX
CELL.269,CELL.269,1,Injury_20DPI_rep3_SS200000147BL_B5,269,3,515.0,1802.0,uninj,V,VLMC,VLMC
CELL.270,CELL.270,0,Injury_20DPI_rep3_SS200000147BL_B5,270,3,509.0,2224.0,uninj,V,VLMC,VLMC
CELL.271,CELL.271,1,Injury_20DPI_rep3_SS200000147BL_B5,271,10,516.0,2545.0,uninj,V,DPEX,DPEX
CELL.272,CELL.272,0,Injury_20DPI_rep3_SS200000147BL_B5,272,0,521.0,2600.0,uninj,V,MSN,MSN
CELL.273,CELL.273,7,Injury_20DPI_rep3_SS200000147BL_B5,273,0,522.0,2688.0,uninj,D,MSN,MSN
CELL.274,CELL.274,1,Injury_20DPI_rep3_SS200000147BL_B5,274,11,519.0,1101.0,uninj,V,VLMC,VLMC
CELL.275,CELL.275,7,Injury_20DPI_rep3_SS200000147BL_B5,275,10,518.0,3032.0,uninj,D,NPTXEX,NPTXEX
CELL.276,CELL.276,7,Injury_20DPI_rep3_SS200000147BL_B5,276,10,519.0,3153.0,uninj,D,DPEX,DPEX
CELL.277,CELL.277,7,Injury_20DPI_rep3_SS200000147BL_B5,277,11,522.0,3242.0,uninj,D,VLMC,VLMC
CELL.278,CELL.278,0,Injury_20DPI_rep3_SS200000147BL_B5,278,0,528.0,1906.0,uninj,V,DIPC,TLNBL
CELL.279,CELL.279,7,Injury_20DPI_rep3_SS200000147BL_B5,279,10,525.0,2776.0,uninj,D,DPEX,DPEX
CELL.280,CELL.280,1,Injury_20DPI_rep3_SS200000147BL_B5,280,3,522.0,4171.0,uninj,D,VLMC,VLMC
CELL.281,CELL.281,0,Injury_20DPI_rep3_SS200000147BL_B5,281,0,526.0,1935.0,uninj,V,DIPC,TLNBL
CELL.282,CELL.282,1,Injury_20DPI_rep3_SS200000147BL_B5,282,3,527.0,2191.0,uninj,V,VLMC,VLMC
