,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,Celltype,inj_uninj,D_V,Annotation_Final,Annotation_0306
CELL.67,CELL.67,4,Injury_15DPI_C_rep1_FP200000266TR_E6,67,4,VLMC,uninj,V,VLMC,VLMC
CELL.68,CELL.68,7,Injury_15DPI_C_rep1_FP200000266TR_E6,68,4,CP,inj,V,VLMC,VLMC
CELL.69,CELL.69,0,Injury_15DPI_C_rep1_FP200000266TR_E6,69,4,CP,inj,V,VLMC,VLMC
CELL.70,CELL.70,4,Injury_15DPI_C_rep1_FP200000266TR_E6,70,5,VLMC,inj,V,VLMC,VLMC
CELL.71,CELL.71,4,Injury_15DPI_C_rep1_FP200000266TR_E6,71,5,VLMC,uninj,V,VLMC,VLMC
CELL.72,CELL.72,4,Injury_15DPI_C_rep1_FP200000266TR_E6,72,4,CP,inj,V,VLMC,VLMC
CELL.73,CELL.73,0,Injury_15DPI_C_rep1_FP200000266TR_E6,73,14,NBL,inj,V,CMPN,CMPN
CELL.74,CELL.74,4,Injury_15DPI_C_rep1_FP200000266TR_E6,74,4,CP,inj,V,VLMC,VLMC
CELL.75,CELL.75,7,Injury_15DPI_C_rep1_FP200000266TR_E6,75,4,CP,inj,V,VLMC,VLMC
CELL.76,CELL.76,4,Injury_15DPI_C_rep1_FP200000266TR_E6,76,5,VLMC,uninj,V,VLMC,VLMC
CELL.77,CELL.77,4,Injury_15DPI_C_rep1_FP200000266TR_E6,77,4,VLMC,uninj,V,VLMC,VLMC
CELL.78,CELL.78,0,Injury_15DPI_C_rep1_FP200000266TR_E6,78,14,NBL,uninj,V,CMPN,CMPN
CELL.79,CELL.79,0,Injury_15DPI_C_rep1_FP200000266TR_E6,79,14,NBL,uninj,V,CMPN,CMPN
CELL.80,CELL.80,7,Injury_15DPI_C_rep1_FP200000266TR_E6,80,5,CP,inj,V,VLMC,VLMC
CELL.81,CELL.81,4,Injury_15DPI_C_rep1_FP200000266TR_E6,81,4,CP,inj,V,VLMC,VLMC
CELL.82,CELL.82,7,Injury_15DPI_C_rep1_FP200000266TR_E6,82,3,CP,uninj,V,VLMC,VLMC
CELL.83,CELL.83,4,Injury_15DPI_C_rep1_FP200000266TR_E6,83,4,CP,inj,V,VLMC,VLMC
CELL.84,CELL.84,4,Injury_15DPI_C_rep1_FP200000266TR_E6,84,5,CP,inj,V,VLMC,VLMC
CELL.86,CELL.86,4,Injury_15DPI_C_rep1_FP200000266TR_E6,86,4,CP,inj,V,VLMC,VLMC
CELL.87,CELL.87,0,Injury_15DPI_C_rep1_FP200000266TR_E6,87,5,CP,inj,V,VLMC,VLMC
CELL.88,CELL.88,4,Injury_15DPI_C_rep1_FP200000266TR_E6,88,4,CP,inj,V,VLMC,VLMC
CELL.89,CELL.89,4,Injury_15DPI_C_rep1_FP200000266TR_E6,89,5,VLMC,inj,V,VLMC,VLMC
CELL.91,CELL.91,4,Injury_15DPI_C_rep1_FP200000266TR_E6,91,4,VLMC,uninj,V,VLMC,VLMC
CELL.92,CELL.92,0,Injury_15DPI_C_rep1_FP200000266TR_E6,92,14,NBL,uninj,V,CMPN,CMPN
CELL.93,CELL.93,4,Injury_15DPI_C_rep1_FP200000266TR_E6,93,4,CP,uninj,V,VLMC,VLMC
CELL.94,CELL.94,4,Injury_15DPI_C_rep1_FP200000266TR_E6,94,5,VLMC,uninj,V,VLMC,VLMC
CELL.95,CELL.95,4,Injury_15DPI_C_rep1_FP200000266TR_E6,95,4,VLMC,uninj,V,VLMC,VLMC
CELL.96,CELL.96,0,Injury_15DPI_C_rep1_FP200000266TR_E6,96,4,CP,inj,V,VLMC,VLMC
CELL.97,CELL.97,0,Injury_15DPI_C_rep1_FP200000266TR_E6,97,5,NBL,uninj,V,VLMC,VLMC
CELL.98,CELL.98,7,Injury_15DPI_C_rep1_FP200000266TR_E6,98,4,CP,uninj,V,VLMC,VLMC
CELL.99,CELL.99,7,Injury_15DPI_C_rep1_FP200000266TR_E6,99,5,VLMC,inj,V,VLMC,VLMC
CELL.100,CELL.100,0,Injury_15DPI_C_rep1_FP200000266TR_E6,100,4,CP,inj,V,VLMC,VLMC
CELL.101,CELL.101,0,Injury_15DPI_C_rep1_FP200000266TR_E6,101,4,CP,inj,V,VLMC,VLMC
CELL.103,CELL.103,4,Injury_15DPI_C_rep1_FP200000266TR_E6,103,4,CP,inj,V,VLMC,VLMC
CELL.104,CELL.104,0,Injury_15DPI_C_rep1_FP200000266TR_E6,104,14,NBL,uninj,V,CMPN,CMPN
CELL.105,CELL.105,4,Injury_15DPI_C_rep1_FP200000266TR_E6,105,4,CP,inj,V,VLMC,VLMC
CELL.106,CELL.106,4,Injury_15DPI_C_rep1_FP200000266TR_E6,106,4,VLMC,inj,V,VLMC,VLMC
CELL.107,CELL.107,0,Injury_15DPI_C_rep1_FP200000266TR_E6,107,5,CP,inj,V,VLMC,VLMC
CELL.108,CELL.108,0,Injury_15DPI_C_rep1_FP200000266TR_E6,108,4,CP,inj,V,VLMC,VLMC
CELL.109,CELL.109,4,Injury_15DPI_C_rep1_FP200000266TR_E6,109,4,VLMC,uninj,V,VLMC,VLMC
CELL.111,CELL.111,0,Injury_15DPI_C_rep1_FP200000266TR_E6,111,5,CP,inj,V,VLMC,VLMC
CELL.112,CELL.112,4,Injury_15DPI_C_rep1_FP200000266TR_E6,112,4,VLMC,inj,V,VLMC,VLMC
CELL.113,CELL.113,0,Injury_15DPI_C_rep1_FP200000266TR_E6,113,5,CP,inj,V,VLMC,VLMC
CELL.114,CELL.114,4,Injury_15DPI_C_rep1_FP200000266TR_E6,114,5,VLMC,uninj,V,VLMC,VLMC
CELL.115,CELL.115,0,Injury_15DPI_C_rep1_FP200000266TR_E6,115,14,NBL,inj,V,CMPN,CMPN
CELL.117,CELL.117,0,Injury_15DPI_C_rep1_FP200000266TR_E6,117,14,NBL,uninj,V,CMPN,CMPN
CELL.118,CELL.118,7,Injury_15DPI_C_rep1_FP200000266TR_E6,118,5,VLMC,uninj,V,VLMC,VLMC
CELL.119,CELL.119,0,Injury_15DPI_C_rep1_FP200000266TR_E6,119,4,VLMC,uninj,V,VLMC,VLMC
CELL.121,CELL.121,0,Injury_15DPI_C_rep1_FP200000266TR_E6,121,5,CP,inj,V,VLMC,VLMC
CELL.122,CELL.122,4,Injury_15DPI_C_rep1_FP200000266TR_E6,122,4,VLMC,uninj,V,VLMC,VLMC
CELL.123,CELL.123,4,Injury_15DPI_C_rep1_FP200000266TR_E6,123,5,VLMC,uninj,V,VLMC,VLMC
CELL.124,CELL.124,4,Injury_15DPI_C_rep1_FP200000266TR_E6,124,5,VLMC,uninj,V,VLMC,VLMC
CELL.125,CELL.125,4,Injury_15DPI_C_rep1_FP200000266TR_E6,125,4,VLMC,inj,V,VLMC,VLMC
CELL.126,CELL.126,0,Injury_15DPI_C_rep1_FP200000266TR_E6,126,14,NBL,uninj,V,CMPN,CMPN
CELL.127,CELL.127,0,Injury_15DPI_C_rep1_FP200000266TR_E6,127,14,NBL,uninj,V,CMPN,CMPN
CELL.128,CELL.128,0,Injury_15DPI_C_rep1_FP200000266TR_E6,128,5,CP,uninj,V,VLMC,VLMC
CELL.129,CELL.129,4,Injury_15DPI_C_rep1_FP200000266TR_E6,129,4,VLMC,uninj,V,VLMC,VLMC
CELL.130,CELL.130,4,Injury_15DPI_C_rep1_FP200000266TR_E6,130,5,VLMC,uninj,V,VLMC,VLMC
CELL.131,CELL.131,4,Injury_15DPI_C_rep1_FP200000266TR_E6,131,4,VLMC,inj,V,VLMC,VLMC
CELL.132,CELL.132,4,Injury_15DPI_C_rep1_FP200000266TR_E6,132,4,VLMC,inj,V,VLMC,VLMC
CELL.133,CELL.133,4,Injury_15DPI_C_rep1_FP200000266TR_E6,133,4,VLMC,uninj,V,VLMC,VLMC
CELL.134,CELL.134,4,Injury_15DPI_C_rep1_FP200000266TR_E6,134,5,VLMC,uninj,V,VLMC,VLMC
CELL.135,CELL.135,0,Injury_15DPI_C_rep1_FP200000266TR_E6,135,5,CP,inj,V,VLMC,VLMC
CELL.136,CELL.136,4,Injury_15DPI_C_rep1_FP200000266TR_E6,136,4,VLMC,uninj,V,VLMC,VLMC
CELL.137,CELL.137,4,Injury_15DPI_C_rep1_FP200000266TR_E6,137,5,VLMC,uninj,V,VLMC,VLMC
CELL.138,CELL.138,7,Injury_15DPI_C_rep1_FP200000266TR_E6,138,5,CP,inj,V,VLMC,VLMC
CELL.139,CELL.139,4,Injury_15DPI_C_rep1_FP200000266TR_E6,139,5,VLMC,uninj,V,VLMC,VLMC
CELL.140,CELL.140,0,Injury_15DPI_C_rep1_FP200000266TR_E6,140,4,CP,inj,V,VLMC,VLMC
CELL.142,CELL.142,0,Injury_15DPI_C_rep1_FP200000266TR_E6,142,14,NBL,uninj,V,CMPN,CMPN
CELL.143,CELL.143,0,Injury_15DPI_C_rep1_FP200000266TR_E6,143,2,NBL,inj,V,CMPN,CMPN
CELL.145,CELL.145,4,Injury_15DPI_C_rep1_FP200000266TR_E6,145,4,VLMC,inj,V,VLMC,VLMC
CELL.146,CELL.146,4,Injury_15DPI_C_rep1_FP200000266TR_E6,146,4,VLMC,uninj,V,VLMC,VLMC
CELL.147,CELL.147,0,Injury_15DPI_C_rep1_FP200000266TR_E6,147,14,NBL,uninj,V,CMPN,CMPN
CELL.148,CELL.148,0,Injury_15DPI_C_rep1_FP200000266TR_E6,148,14,NBL,uninj,V,CMPN,CMPN
CELL.149,CELL.149,0,Injury_15DPI_C_rep1_FP200000266TR_E6,149,14,NBL,uninj,V,CMPN,CMPN
CELL.150,CELL.150,0,Injury_15DPI_C_rep1_FP200000266TR_E6,150,14,NBL,uninj,V,CMPN,CMPN
CELL.151,CELL.151,4,Injury_15DPI_C_rep1_FP200000266TR_E6,151,4,VLMC,inj,V,VLMC,VLMC
CELL.152,CELL.152,4,Injury_15DPI_C_rep1_FP200000266TR_E6,152,4,VLMC,uninj,V,VLMC,VLMC
CELL.153,CELL.153,0,Injury_15DPI_C_rep1_FP200000266TR_E6,153,14,NBL,uninj,V,CMPN,CMPN
CELL.154,CELL.154,0,Injury_15DPI_C_rep1_FP200000266TR_E6,154,2,CMPN,uninj,V,CMPN,CMPN
CELL.156,CELL.156,0,Injury_15DPI_C_rep1_FP200000266TR_E6,156,14,NBL,uninj,V,CMPN,CMPN
CELL.157,CELL.157,4,Injury_15DPI_C_rep1_FP200000266TR_E6,157,5,VLMC,inj,V,VLMC,VLMC
CELL.159,CELL.159,4,Injury_15DPI_C_rep1_FP200000266TR_E6,159,4,VLMC,uninj,V,VLMC,VLMC
CELL.160,CELL.160,0,Injury_15DPI_C_rep1_FP200000266TR_E6,160,14,NBL,uninj,V,CMPN,CMPN
CELL.161,CELL.161,0,Injury_15DPI_C_rep1_FP200000266TR_E6,161,14,NBL,uninj,V,CMPN,CMPN
CELL.162,CELL.162,4,Injury_15DPI_C_rep1_FP200000266TR_E6,162,4,VLMC,uninj,V,VLMC,VLMC
CELL.163,CELL.163,0,Injury_15DPI_C_rep1_FP200000266TR_E6,163,14,NBL,uninj,V,CMPN,CMPN
CELL.164,CELL.164,4,Injury_15DPI_C_rep1_FP200000266TR_E6,164,4,VLMC,inj,V,VLMC,VLMC
CELL.165,CELL.165,0,Injury_15DPI_C_rep1_FP200000266TR_E6,165,14,NBL,uninj,V,CMPN,CMPN
CELL.166,CELL.166,4,Injury_15DPI_C_rep1_FP200000266TR_E6,166,5,VLMC,uninj,V,VLMC,VLMC
CELL.167,CELL.167,0,Injury_15DPI_C_rep1_FP200000266TR_E6,167,5,CP,inj,V,VLMC,VLMC
CELL.168,CELL.168,0,Injury_15DPI_C_rep1_FP200000266TR_E6,168,4,VLMC,inj,V,VLMC,VLMC
CELL.169,CELL.169,0,Injury_15DPI_C_rep1_FP200000266TR_E6,169,5,CP,inj,V,VLMC,VLMC
CELL.170,CELL.170,4,Injury_15DPI_C_rep1_FP200000266TR_E6,170,5,VLMC,uninj,V,VLMC,VLMC
CELL.171,CELL.171,4,Injury_15DPI_C_rep1_FP200000266TR_E6,171,4,VLMC,inj,V,VLMC,VLMC
CELL.172,CELL.172,0,Injury_15DPI_C_rep1_FP200000266TR_E6,172,14,NBL,uninj,V,CMPN,CMPN
CELL.173,CELL.173,4,Injury_15DPI_C_rep1_FP200000266TR_E6,173,4,VLMC,inj,V,VLMC,VLMC
CELL.174,CELL.174,4,Injury_15DPI_C_rep1_FP200000266TR_E6,174,5,VLMC,uninj,V,VLMC,VLMC
CELL.175,CELL.175,0,Injury_15DPI_C_rep1_FP200000266TR_E6,175,14,NBL,inj,V,CMPN,CMPN
CELL.176,CELL.176,7,Injury_15DPI_C_rep1_FP200000266TR_E6,176,3,CP,uninj,V,VLMC,VLMC
CELL.177,CELL.177,4,Injury_15DPI_C_rep1_FP200000266TR_E6,177,4,VLMC,inj,V,VLMC,VLMC
CELL.178,CELL.178,4,Injury_15DPI_C_rep1_FP200000266TR_E6,178,5,VLMC,uninj,V,VLMC,VLMC
CELL.181,CELL.181,4,Injury_15DPI_C_rep1_FP200000266TR_E6,181,5,VLMC,uninj,V,VLMC,VLMC
CELL.182,CELL.182,0,Injury_15DPI_C_rep1_FP200000266TR_E6,182,14,NBL,inj,V,CMPN,CMPN
CELL.183,CELL.183,0,Injury_15DPI_C_rep1_FP200000266TR_E6,183,14,NBL,uninj,V,CMPN,CMPN
CELL.185,CELL.185,4,Injury_15DPI_C_rep1_FP200000266TR_E6,185,5,VLMC,uninj,V,VLMC,VLMC
CELL.186,CELL.186,0,Injury_15DPI_C_rep1_FP200000266TR_E6,186,5,CP,inj,V,VLMC,VLMC
CELL.188,CELL.188,0,Injury_15DPI_C_rep1_FP200000266TR_E6,188,14,NBL,uninj,V,CMPN,CMPN
CELL.189,CELL.189,4,Injury_15DPI_C_rep1_FP200000266TR_E6,189,11,IMC,uninj,V,SCGNIN,SCGNIN
CELL.190,CELL.190,4,Injury_15DPI_C_rep1_FP200000266TR_E6,190,4,VLMC,inj,V,VLMC,VLMC
CELL.192,CELL.192,0,Injury_15DPI_C_rep1_FP200000266TR_E6,192,14,NBL,uninj,V,CMPN,CMPN
CELL.193,CELL.193,4,Injury_15DPI_C_rep1_FP200000266TR_E6,193,4,CP,inj,V,VLMC,VLMC
CELL.194,CELL.194,4,Injury_15DPI_C_rep1_FP200000266TR_E6,194,4,VLMC,inj,V,VLMC,VLMC
CELL.195,CELL.195,4,Injury_15DPI_C_rep1_FP200000266TR_E6,195,4,VLMC,uninj,V,VLMC,VLMC
CELL.196,CELL.196,0,Injury_15DPI_C_rep1_FP200000266TR_E6,196,14,NBL,uninj,V,CMPN,CMPN
CELL.197,CELL.197,0,Injury_15DPI_C_rep1_FP200000266TR_E6,197,14,NBL,uninj,V,CMPN,CMPN
CELL.198,CELL.198,0,Injury_15DPI_C_rep1_FP200000266TR_E6,198,14,NBL,inj,V,CMPN,CMPN
CELL.199,CELL.199,0,Injury_15DPI_C_rep1_FP200000266TR_E6,199,14,NBL,inj,V,CMPN,CMPN
CELL.200,CELL.200,0,Injury_15DPI_C_rep1_FP200000266TR_E6,200,14,NBL,uninj,V,CMPN,CMPN
CELL.201,CELL.201,0,Injury_15DPI_C_rep1_FP200000266TR_E6,201,2,CMPN,inj,V,CMPN,CMPN
CELL.202,CELL.202,0,Injury_15DPI_C_rep1_FP200000266TR_E6,202,14,NBL,uninj,V,CMPN,CMPN
CELL.203,CELL.203,0,Injury_15DPI_C_rep1_FP200000266TR_E6,203,14,NBL,uninj,V,CMPN,CMPN
CELL.204,CELL.204,0,Injury_15DPI_C_rep1_FP200000266TR_E6,204,14,NBL,uninj,V,CMPN,CMPN
CELL.205,CELL.205,4,Injury_15DPI_C_rep1_FP200000266TR_E6,205,5,VLMC,uninj,V,VLMC,VLMC
CELL.206,CELL.206,4,Injury_15DPI_C_rep1_FP200000266TR_E6,206,5,VLMC,uninj,V,VLMC,VLMC
CELL.207,CELL.207,0,Injury_15DPI_C_rep1_FP200000266TR_E6,207,14,NBL,inj,V,CMPN,CMPN
CELL.208,CELL.208,0,Injury_15DPI_C_rep1_FP200000266TR_E6,208,14,NBL,inj,V,CMPN,CMPN
CELL.210,CELL.210,0,Injury_15DPI_C_rep1_FP200000266TR_E6,210,14,NBL,inj,V,CMPN,CMPN
CELL.212,CELL.212,0,Injury_15DPI_C_rep1_FP200000266TR_E6,212,14,NBL,inj,V,CMPN,CMPN
CELL.213,CELL.213,0,Injury_15DPI_C_rep1_FP200000266TR_E6,213,14,NBL,uninj,V,CMPN,CMPN
CELL.214,CELL.214,4,Injury_15DPI_C_rep1_FP200000266TR_E6,214,5,VLMC,uninj,V,VLMC,VLMC
CELL.215,CELL.215,0,Injury_15DPI_C_rep1_FP200000266TR_E6,215,14,NBL,inj,V,CMPN,CMPN
CELL.216,CELL.216,0,Injury_15DPI_C_rep1_FP200000266TR_E6,216,14,NBL,uninj,V,CMPN,CMPN
CELL.217,CELL.217,0,Injury_15DPI_C_rep1_FP200000266TR_E6,217,14,NBL,uninj,V,CMPN,CMPN
CELL.218,CELL.218,4,Injury_15DPI_C_rep1_FP200000266TR_E6,218,4,VLMC,inj,V,VLMC,VLMC
CELL.219,CELL.219,0,Injury_15DPI_C_rep1_FP200000266TR_E6,219,14,NBL,inj,V,CMPN,CMPN
CELL.221,CELL.221,4,Injury_15DPI_C_rep1_FP200000266TR_E6,221,4,CP,inj,V,VLMC,VLMC
CELL.222,CELL.222,0,Injury_15DPI_C_rep1_FP200000266TR_E6,222,14,NBL,uninj,V,CMPN,CMPN
CELL.223,CELL.223,0,Injury_15DPI_C_rep1_FP200000266TR_E6,223,14,NBL,uninj,V,CMPN,CMPN
CELL.224,CELL.224,4,Injury_15DPI_C_rep1_FP200000266TR_E6,224,5,VLMC,inj,V,VLMC,VLMC
CELL.225,CELL.225,0,Injury_15DPI_C_rep1_FP200000266TR_E6,225,14,NBL,uninj,V,CMPN,CMPN
CELL.226,CELL.226,0,Injury_15DPI_C_rep1_FP200000266TR_E6,226,14,NBL,uninj,V,CMPN,CMPN
CELL.227,CELL.227,0,Injury_15DPI_C_rep1_FP200000266TR_E6,227,14,NBL,uninj,V,CMPN,CMPN
CELL.229,CELL.229,0,Injury_15DPI_C_rep1_FP200000266TR_E6,229,14,NBL,uninj,V,CMPN,CMPN
CELL.230,CELL.230,4,Injury_15DPI_C_rep1_FP200000266TR_E6,230,4,CP,inj,V,VLMC,VLMC
CELL.231,CELL.231,4,Injury_15DPI_C_rep1_FP200000266TR_E6,231,4,CP,inj,V,VLMC,VLMC
CELL.232,CELL.232,0,Injury_15DPI_C_rep1_FP200000266TR_E6,232,14,NBL,uninj,V,CMPN,CMPN
CELL.234,CELL.234,0,Injury_15DPI_C_rep1_FP200000266TR_E6,234,14,NBL,inj,V,CMPN,CMPN
CELL.235,CELL.235,4,Injury_15DPI_C_rep1_FP200000266TR_E6,235,4,CP,uninj,V,VLMC,VLMC
CELL.236,CELL.236,4,Injury_15DPI_C_rep1_FP200000266TR_E6,236,4,CP,inj,V,VLMC,VLMC
CELL.237,CELL.237,4,Injury_15DPI_C_rep1_FP200000266TR_E6,237,5,VLMC,uninj,V,VLMC,VLMC
CELL.238,CELL.238,0,Injury_15DPI_C_rep1_FP200000266TR_E6,238,2,CMPN,uninj,V,CMPN,CMPN
CELL.239,CELL.239,4,Injury_15DPI_C_rep1_FP200000266TR_E6,239,4,CP,inj,V,VLMC,VLMC
CELL.240,CELL.240,7,Injury_15DPI_C_rep1_FP200000266TR_E6,240,5,CP,inj,V,VLMC,VLMC
CELL.241,CELL.241,0,Injury_15DPI_C_rep1_FP200000266TR_E6,241,14,NBL,inj,V,CMPN,CMPN
CELL.242,CELL.242,0,Injury_15DPI_C_rep1_FP200000266TR_E6,242,14,NBL,inj,V,CMPN,CMPN
CELL.243,CELL.243,0,Injury_15DPI_C_rep1_FP200000266TR_E6,243,14,NBL,uninj,V,CMPN,CMPN
CELL.244,CELL.244,4,Injury_15DPI_C_rep1_FP200000266TR_E6,244,5,VLMC,uninj,V,VLMC,VLMC
CELL.245,CELL.245,0,Injury_15DPI_C_rep1_FP200000266TR_E6,245,14,NBL,inj,V,CMPN,CMPN
CELL.246,CELL.246,4,Injury_15DPI_C_rep1_FP200000266TR_E6,246,5,CP,inj,V,VLMC,VLMC
CELL.247,CELL.247,0,Injury_15DPI_C_rep1_FP200000266TR_E6,247,14,NBL,inj,V,CMPN,CMPN
CELL.249,CELL.249,4,Injury_15DPI_C_rep1_FP200000266TR_E6,249,5,VLMC,uninj,V,VLMC,VLMC
CELL.250,CELL.250,0,Injury_15DPI_C_rep1_FP200000266TR_E6,250,14,NBL,uninj,V,CMPN,CMPN
CELL.251,CELL.251,0,Injury_15DPI_C_rep1_FP200000266TR_E6,251,14,NBL,inj,V,CMPN,CMPN
CELL.252,CELL.252,0,Injury_15DPI_C_rep1_FP200000266TR_E6,252,14,NBL,uninj,V,CMPN,CMPN
CELL.253,CELL.253,0,Injury_15DPI_C_rep1_FP200000266TR_E6,253,14,NBL,uninj,V,CMPN,CMPN
CELL.254,CELL.254,0,Injury_15DPI_C_rep1_FP200000266TR_E6,254,14,NBL,uninj,V,CMPN,CMPN
CELL.255,CELL.255,4,Injury_15DPI_C_rep1_FP200000266TR_E6,255,4,VLMC,inj,V,VLMC,VLMC
CELL.256,CELL.256,0,Injury_15DPI_C_rep1_FP200000266TR_E6,256,14,NBL,inj,V,CMPN,CMPN
CELL.257,CELL.257,4,Injury_15DPI_C_rep1_FP200000266TR_E6,257,4,CP,inj,V,VLMC,VLMC
CELL.258,CELL.258,0,Injury_15DPI_C_rep1_FP200000266TR_E6,258,14,NBL,uninj,V,CMPN,CMPN
CELL.259,CELL.259,0,Injury_15DPI_C_rep1_FP200000266TR_E6,259,14,NBL,inj,V,CMPN,CMPN
CELL.260,CELL.260,7,Injury_15DPI_C_rep1_FP200000266TR_E6,260,4,CP,inj,V,VLMC,VLMC
CELL.261,CELL.261,0,Injury_15DPI_C_rep1_FP200000266TR_E6,261,14,NBL,uninj,V,CMPN,CMPN
CELL.262,CELL.262,0,Injury_15DPI_C_rep1_FP200000266TR_E6,262,2,NBL,inj,V,CMPN,CMPN
CELL.263,CELL.263,4,Injury_15DPI_C_rep1_FP200000266TR_E6,263,5,VLMC,uninj,V,VLMC,VLMC
CELL.264,CELL.264,0,Injury_15DPI_C_rep1_FP200000266TR_E6,264,14,NBL,inj,V,CMPN,CMPN
CELL.265,CELL.265,4,Injury_15DPI_C_rep1_FP200000266TR_E6,265,5,VLMC,inj,V,VLMC,VLMC
CELL.266,CELL.266,0,Injury_15DPI_C_rep1_FP200000266TR_E6,266,14,NBL,uninj,V,CMPN,CMPN
