X,CellID,Batch,Annotation,cell_id
CELL.76,CELL.76,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,76
CELL.77,CELL.77,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,77
CELL.78,CELL.78,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,78
CELL.79,CELL.79,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,79
CELL.81,CELL.81,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,81
CELL.82,CELL.82,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,82
CELL.84,CELL.84,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,84
CELL.85,CELL.85,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,85
CELL.86,CELL.86,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,86
CELL.88,CELL.88,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,88
CELL.89,CELL.89,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,89
CELL.91,CELL.91,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,91
CELL.92,CELL.92,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,92
CELL.93,CELL.93,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,93
CELL.94,CELL.94,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,94
CELL.95,CELL.95,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,95
CELL.96,CELL.96,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,96
CELL.97,CELL.97,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,97
CELL.98,CELL.98,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,98
CELL.99,CELL.99,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,99
CELL.100,CELL.100,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,100
CELL.101,CELL.101,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,101
CELL.102,CELL.102,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,102
CELL.103,CELL.103,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,103
CELL.104,CELL.104,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,104
CELL.106,CELL.106,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,106
CELL.107,CELL.107,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,107
CELL.108,CELL.108,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,108
CELL.109,CELL.109,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,109
CELL.110,CELL.110,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,110
CELL.111,CELL.111,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,111
CELL.112,CELL.112,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,112
CELL.113,CELL.113,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,113
CELL.114,CELL.114,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,114
CELL.115,CELL.115,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,115
CELL.116,CELL.116,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,116
CELL.117,CELL.117,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,117
CELL.118,CELL.118,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,118
CELL.119,CELL.119,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,119
CELL.121,CELL.121,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,121
CELL.123,CELL.123,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,123
CELL.124,CELL.124,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,124
CELL.125,CELL.125,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,125
CELL.126,CELL.126,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,126
CELL.127,CELL.127,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,127
CELL.128,CELL.128,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,128
CELL.129,CELL.129,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,129
CELL.130,CELL.130,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,130
CELL.131,CELL.131,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,131
CELL.132,CELL.132,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,132
CELL.133,CELL.133,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,133
CELL.134,CELL.134,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,134
CELL.135,CELL.135,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,135
CELL.136,CELL.136,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,136
CELL.137,CELL.137,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,137
CELL.138,CELL.138,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,138
CELL.139,CELL.139,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,139
CELL.140,CELL.140,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,140
CELL.141,CELL.141,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,141
CELL.142,CELL.142,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,142
CELL.143,CELL.143,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,143
CELL.145,CELL.145,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,145
CELL.146,CELL.146,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,146
CELL.147,CELL.147,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,147
CELL.148,CELL.148,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,148
CELL.149,CELL.149,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,149
CELL.150,CELL.150,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,150
CELL.151,CELL.151,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,151
CELL.152,CELL.152,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,152
CELL.153,CELL.153,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,153
CELL.154,CELL.154,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,154
CELL.155,CELL.155,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,155
CELL.157,CELL.157,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,157
CELL.158,CELL.158,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,158
CELL.159,CELL.159,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,159
CELL.160,CELL.160,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,160
CELL.161,CELL.161,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,161
CELL.162,CELL.162,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,162
CELL.163,CELL.163,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,163
CELL.164,CELL.164,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,164
CELL.165,CELL.165,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,165
CELL.166,CELL.166,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,166
CELL.167,CELL.167,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,167
CELL.170,CELL.170,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,170
CELL.171,CELL.171,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,171
CELL.172,CELL.172,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,172
CELL.173,CELL.173,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,173
CELL.175,CELL.175,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,175
CELL.176,CELL.176,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,176
CELL.178,CELL.178,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,178
CELL.179,CELL.179,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,179
CELL.181,CELL.181,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,181
CELL.182,CELL.182,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,182
CELL.183,CELL.183,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,183
CELL.184,CELL.184,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,184
CELL.186,CELL.186,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,186
CELL.188,CELL.188,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,188
CELL.191,CELL.191,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,191
CELL.192,CELL.192,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,192
CELL.193,CELL.193,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,193
CELL.194,CELL.194,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,194
CELL.195,CELL.195,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,195
CELL.197,CELL.197,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,197
CELL.200,CELL.200,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,200
CELL.201,CELL.201,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,201
CELL.202,CELL.202,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,202
CELL.203,CELL.203,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,203
CELL.204,CELL.204,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,204
CELL.206,CELL.206,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,206
CELL.208,CELL.208,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,208
CELL.210,CELL.210,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,210
CELL.213,CELL.213,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,213
CELL.214,CELL.214,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,214
CELL.220,CELL.220,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,220
CELL.221,CELL.221,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,221
CELL.223,CELL.223,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,223
CELL.224,CELL.224,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,224
CELL.225,CELL.225,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,225
CELL.226,CELL.226,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,226
CELL.227,CELL.227,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,227
CELL.228,CELL.228,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,228
CELL.231,CELL.231,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,231
CELL.234,CELL.234,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,234
CELL.235,CELL.235,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,235
CELL.236,CELL.236,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,236
CELL.237,CELL.237,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,237
CELL.238,CELL.238,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,238
CELL.241,CELL.241,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,241
CELL.243,CELL.243,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,243
CELL.247,CELL.247,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,247
CELL.249,CELL.249,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,249
CELL.251,CELL.251,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,251
CELL.252,CELL.252,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,252
CELL.253,CELL.253,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,253
CELL.254,CELL.254,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,254
CELL.256,CELL.256,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,256
CELL.257,CELL.257,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,257
CELL.260,CELL.260,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,260
CELL.262,CELL.262,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,262
CELL.264,CELL.264,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,264
CELL.265,CELL.265,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,265
CELL.268,CELL.268,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,268
CELL.269,CELL.269,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,269
CELL.270,CELL.270,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,270
CELL.272,CELL.272,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,272
CELL.275,CELL.275,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,275
CELL.280,CELL.280,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,280
CELL.281,CELL.281,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,281
CELL.282,CELL.282,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,282
CELL.283,CELL.283,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,283
CELL.286,CELL.286,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,286
CELL.290,CELL.290,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,290
CELL.291,CELL.291,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,291
CELL.292,CELL.292,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,292
CELL.294,CELL.294,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,294
CELL.295,CELL.295,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,295
CELL.296,CELL.296,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,296
CELL.297,CELL.297,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CP,297
CELL.299,CELL.299,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,299
CELL.300,CELL.300,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,300
CELL.301,CELL.301,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,301
CELL.303,CELL.303,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,303
CELL.304,CELL.304,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,304
CELL.305,CELL.305,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,305
CELL.308,CELL.308,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,308
CELL.311,CELL.311,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,311
CELL.313,CELL.313,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,313
CELL.315,CELL.315,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,315
CELL.317,CELL.317,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,317
CELL.319,CELL.319,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,319
CELL.321,CELL.321,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,321
CELL.322,CELL.322,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,322
CELL.328,CELL.328,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,328
CELL.329,CELL.329,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,329
CELL.330,CELL.330,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,330
CELL.332,CELL.332,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,332
CELL.339,CELL.339,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,339
CELL.340,CELL.340,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,340
CELL.342,CELL.342,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,342
CELL.343,CELL.343,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,343
CELL.346,CELL.346,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,346
CELL.347,CELL.347,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,347
CELL.348,CELL.348,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,348
CELL.349,CELL.349,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,349
CELL.351,CELL.351,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,351
CELL.352,CELL.352,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,352
CELL.353,CELL.353,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,353
CELL.356,CELL.356,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,356
CELL.358,CELL.358,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,358
CELL.359,CELL.359,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,359
CELL.360,CELL.360,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,360
CELL.361,CELL.361,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,361
CELL.363,CELL.363,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,363
CELL.364,CELL.364,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,364
CELL.366,CELL.366,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,366
CELL.368,CELL.368,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SSTIN,368
CELL.369,CELL.369,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,RIBEGC,369
CELL.371,CELL.371,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,371
CELL.372,CELL.372,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CP,372
CELL.375,CELL.375,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,SCGNIN,375
CELL.378,CELL.378,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,378
CELL.379,CELL.379,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,379
CELL.380,CELL.380,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,380
CELL.382,CELL.382,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,382
CELL.383,CELL.383,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,CMPN,383
CELL.385,CELL.385,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,385
CELL.386,CELL.386,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,386
CELL.387,CELL.387,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,387
CELL.388,CELL.388,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,388
CELL.389,CELL.389,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,NTNG1EX,389
